,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,62.5,0.5,1200,5,4,13,19721,646
1,125,62.5,0.5,1200,3,27,23,19721,646
2,125,62.5,0.5,800,5,30,19,20090,692
3,125,62.5,0.5,1200,1,31,23,19721,646
4,125,62.5,0.5,400,5,42,23,20215,343
5,125,62.5,0.5,200,5,42,21,19672,6
6,125,62.5,0.5,200,5,42,20,20032,148
7,125,62.5,0.5,400,3,43,22,20215,343
8,125,62.5,0.5,400,1,46,21,20215,343
9,125,62.5,0.5,200,3,46,20,20032,148
10,125,62.5,0.5,200,5,47,16,19229,144
11,125,62.5,0.5,1200,5,49,28,19693,13
12,125,62.5,0.5,200,1,50,21,20032,148
13,125,62.5,0.5,200,5,50,21,19776,20
14,125,62.5,0.5,200,3,51,17,19229,144
15,125,62.5,0.5,200,3,52,23,19776,20
16,125,62.5,0.5,1200,3,53,26,19693,13
17,125,62.5,0.5,200,1,54,22,19776,20
18,125,62.5,0.5,200,1,55,18,19229,144
19,125,62.5,0.5,400,5,56,21,20056,189
20,125,62.5,0.5,1200,1,57,27,19693,13
21,125,62.5,0.5,400,3,60,20,20056,189
22,125,62.5,0.5,400,1,64,19,20056,189
23,125,62.5,0.5,200,5,65,7,19989,1
24,125,62.5,0.5,200,3,67,7,19989,1
25,125,62.5,0.5,200,1,69,7,19989,1
26,125,62.5,0.5,200,5,72,22,19837,120
27,125,62.5,0.5,200,5,75,28,19716,54
28,125,62.5,0.5,200,3,76,24,19837,120
29,125,62.5,0.5,200,3,77,27,19716,54
30,125,62.5,0.5,200,1,79,28,19716,54
31,125,62.5,0.5,200,1,80,26,19837,120
32,125,62.5,0.5,200,5,99,19,19965,29
33,125,62.5,0.5,1200,5,101,40,20026,287
34,125,62.5,0.5,200,3,103,20,19965,29
35,125,62.5,0.5,1200,3,103,42,20026,287
36,125,62.5,0.5,1200,1,105,45,20026,287
37,125,62.5,0.5,200,5,106,29,20234,98
38,125,62.5,0.5,200,1,107,22,19965,29
39,125,62.5,0.5,200,5,107,18,20086,181
40,125,62.5,0.5,200,3,111,18,20086,181
41,125,62.5,0.5,200,1,115,19,20086,181
42,125,62.5,0.5,200,5,118,23,19594,97
43,125,62.5,0.5,200,5,132,26,19532,177
44,125,62.5,0.5,200,3,133,25,19532,177
45,125,62.5,0.5,200,5,137,22,19891,97
46,125,62.5,0.5,200,3,139,20,19891,97
47,125,62.5,0.5,200,1,141,21,19891,97
48,125,62.5,0.5,200,1,142,26,19532,177
49,125,62.5,0.5,200,5,151,27,20073,89
50,125,62.5,0.5,200,5,153,28,19648,87
51,125,62.5,0.5,1200,5,154,23,19489,365
52,125,62.5,0.5,200,3,155,29,20073,89
53,125,62.5,0.5,1200,3,156,24,19489,365
54,125,62.5,0.5,200,3,157,30,19648,87
55,125,62.5,0.5,1200,1,158,25,19489,365
56,125,62.5,0.5,200,5,159,28,19927,167
57,125,62.5,0.5,200,1,159,32,20073,89
58,125,62.5,0.5,200,3,161,26,19594,97
59,125,62.5,0.5,200,1,161,32,19648,87
