,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,62.5,0.5,800,5,1,11,20122,473
1,125,62.5,0.5,800,3,3,13,20122,473
2,125,62.5,0.5,800,5,3,13,19904,386
3,125,62.5,0.5,200,5,4,9,19256,97
4,125,62.5,0.5,800,3,4,10,20090,692
5,125,62.5,0.5,800,5,4,10,20090,692
6,125,62.5,0.5,400,5,4,8,19719,155
7,125,62.5,0.5,800,3,5,14,19904,386
8,125,62.5,0.5,200,5,12,8,19636,119
9,125,62.5,0.5,800,1,20,29,20122,473
10,125,62.5,0.5,200,5,20,15,19256,182
11,125,62.5,0.5,200,3,22,16,19256,182
12,125,62.5,0.5,400,5,23,22,20478,161
13,125,62.5,0.5,200,1,24,17,19256,182
14,125,62.5,0.5,200,5,27,16,19891,97
15,125,62.5,0.5,400,3,28,27,20478,161
16,125,62.5,0.5,200,3,29,17,19891,97
17,125,62.5,0.5,200,1,31,17,19891,97
18,125,62.5,0.5,800,1,38,31,19904,386
19,125,62.5,0.5,800,5,40,25,19758,51
20,125,62.5,0.5,800,3,44,28,19758,51
21,125,62.5,0.5,400,5,46,39,20298,153
22,125,62.5,0.5,800,1,48,32,19758,51
23,125,62.5,0.5,800,5,65,38,20381,734
24,125,62.5,0.5,200,5,66,39,19613,140
25,125,62.5,0.5,800,3,69,37,20381,734
26,125,62.5,0.5,200,3,70,41,19613,140
27,125,62.5,0.5,800,1,73,40,20381,734
28,125,62.5,0.5,200,1,74,42,19613,140
29,125,62.5,0.5,200,5,81,42,19963,21
30,125,62.5,0.5,200,5,82,36,20017,109
31,125,62.5,0.5,200,3,85,44,19963,21
32,125,62.5,0.5,800,5,85,46,19686,469
33,125,62.5,0.5,200,3,86,36,20017,109
34,125,62.5,0.5,200,1,89,46,19963,21
35,125,62.5,0.5,200,1,90,38,20017,109
36,125,62.5,0.5,200,5,101,30,19989,1
37,125,62.5,0.5,200,3,105,30,19989,1
38,125,62.5,0.5,200,1,109,29,19989,1
39,125,62.5,0.5,200,5,136,62,19716,54
40,125,62.5,0.5,200,3,140,61,19716,54
41,125,62.5,0.5,200,1,144,62,19716,54
42,125,62.5,0.5,200,5,149,62,19489,52
43,125,62.5,0.5,200,3,153,61,19489,52
44,125,62.5,0.5,200,1,157,62,19489,52
45,125,62.5,0.5,200,5,160,61,19775,171
46,125,62.5,0.5,200,3,164,61,19775,171
47,125,62.5,0.5,200,1,168,62,19775,171
48,125,62.5,0.5,200,5,205,66,20145,28
49,125,62.5,0.5,200,3,209,66,20145,28
50,125,62.5,0.5,200,1,213,68,20145,28
