,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,250,500,0.5,200,5,23,5,20064,20
1,250,500,0.5,200,3,27,5,20064,20
2,250,500,0.5,200,1,31,6,20064,20
3,250,500,0.5,800,5,48,9,20090,692
4,250,500,0.5,200,5,50,4,19183,12
5,250,500,0.5,800,3,52,9,20090,692
6,250,500,0.5,200,5,54,5,20046,23
7,250,500,0.5,200,3,54,5,19183,12
8,250,500,0.5,200,3,56,5,20046,23
9,250,500,0.5,200,5,56,6,19927,167
10,250,500,0.5,800,1,56,9,20090,692
11,250,500,0.5,200,1,58,5,20046,23
12,250,500,0.5,200,1,58,5,19183,12
13,250,500,0.5,200,3,60,6,19927,167
14,250,500,0.5,200,1,64,6,19927,167
15,250,500,0.5,200,5,68,7,19837,120
16,250,500,0.5,200,5,71,4,19963,21
17,250,500,0.5,200,3,72,8,19837,120
18,250,500,0.5,200,3,75,4,19963,21
19,250,500,0.5,200,1,76,8,19837,120
20,250,500,0.5,400,5,78,8,19851,78
21,250,500,0.5,200,1,79,4,19963,21
22,250,500,0.5,400,3,82,8,19851,78
23,250,500,0.5,400,1,86,8,19851,78
24,250,500,0.5,200,5,86,6,20342,155
25,250,500,0.5,400,5,88,5,20006,322
26,250,500,0.5,200,3,90,6,20342,155
27,250,500,0.5,800,5,92,12,20071,597
28,250,500,0.5,400,3,92,5,20006,322
29,250,500,0.5,800,3,94,12,20071,597
30,250,500,0.5,200,1,94,6,20342,155
31,250,500,0.5,800,1,96,13,20071,597
32,250,500,0.5,400,1,96,5,20006,322
33,250,500,0.5,400,5,107,6,20117,304
34,250,500,0.5,1200,5,108,11,20537,700
35,250,500,0.5,1200,3,110,11,20537,700
36,250,500,0.5,400,3,111,6,20117,304
37,250,500,0.5,200,5,111,7,20073,89
38,250,500,0.5,200,5,112,6,19675,83
39,250,500,0.5,1200,1,112,11,20537,700
40,250,500,0.5,200,5,114,5,20108,100
41,250,500,0.5,400,1,115,6,20117,304
42,250,500,0.5,200,3,115,8,20073,89
43,250,500,0.5,200,3,116,6,19675,83
44,250,500,0.5,200,5,117,6,19256,97
45,250,500,0.5,200,3,118,5,20108,100
46,250,500,0.5,1200,5,119,9,20026,287
47,250,500,0.5,200,1,119,8,20073,89
48,250,500,0.5,200,1,120,7,19675,83
49,250,500,0.5,200,3,121,6,19256,97
50,250,500,0.5,1200,3,121,9,20026,287
51,250,500,0.5,200,1,122,5,20108,100
52,250,500,0.5,1200,1,123,9,20026,287
53,250,500,0.5,200,1,125,6,19256,97
54,250,500,0.5,400,5,125,10,19819,42
55,250,500,0.5,400,3,127,10,19819,42
56,250,500,0.5,400,1,129,10,19819,42
57,250,500,0.5,1200,5,133,13,20364,561
58,250,500,0.5,200,5,134,11,20032,148
