,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,250,0.5,200,5,14,8,20613,75
1,125,250,0.5,200,3,16,9,20613,75
2,125,250,0.5,200,1,18,9,20613,75
3,125,250,0.5,200,5,20,6,20129,26
4,125,250,0.5,200,3,24,7,20129,26
5,125,250,0.5,200,1,28,8,20129,26
6,125,250,0.5,200,5,28,7,19989,33
7,125,250,0.5,400,5,31,9,19917,370
8,125,250,0.5,200,3,32,7,19989,33
9,125,250,0.5,400,3,35,9,19917,370
10,125,250,0.5,1200,5,36,16,19519,359
11,125,250,0.5,200,1,36,7,19989,33
12,125,250,0.5,400,1,39,9,19917,370
13,125,250,0.5,1200,3,40,16,19519,359
14,125,250,0.5,400,5,42,13,19336,319
15,125,250,0.5,400,3,44,13,19336,319
16,125,250,0.5,1200,1,44,14,19519,359
17,125,250,0.5,400,5,44,12,20033,384
18,125,250,0.5,400,1,46,13,19336,319
19,125,250,0.5,400,3,48,13,20033,384
20,125,250,0.5,400,5,49,17,20260,232
21,125,250,0.5,400,3,51,18,20260,232
22,125,250,0.5,400,5,52,14,19226,177
23,125,250,0.5,400,1,52,14,20033,384
24,125,250,0.5,200,5,53,12,19436,180
25,125,250,0.5,800,5,54,17,19020,9
26,125,250,0.5,1200,5,54,16,19341,612
27,125,250,0.5,1200,5,55,28,19191,56
28,125,250,0.5,800,5,56,18,19792,266
29,125,250,0.5,400,3,56,14,19226,177
30,125,250,0.5,800,3,56,17,19020,9
31,125,250,0.5,200,5,57,11,19847,41
32,125,250,0.5,200,3,57,13,19436,180
33,125,250,0.5,800,1,58,17,19020,9
34,125,250,0.5,1200,3,59,28,19191,56
35,125,250,0.5,200,3,59,11,19847,41
36,125,250,0.5,1200,3,59,17,19341,612
37,125,250,0.5,800,5,60,13,19619,407
38,125,250,0.5,200,5,60,8,20241,61
39,125,250,0.5,800,3,60,19,19792,266
40,125,250,0.5,200,5,61,11,20270,62
41,125,250,0.5,200,1,61,13,19847,41
42,125,250,0.5,1200,1,61,18,19341,612
43,125,250,0.5,200,1,61,14,19436,180
44,125,250,0.5,800,3,62,13,19619,407
45,125,250,0.5,1200,1,63,30,19191,56
46,125,250,0.5,800,1,64,13,19619,407
47,125,250,0.5,200,3,64,8,20241,61
48,125,250,0.5,800,1,64,19,19792,266
49,125,250,0.5,200,3,65,11,20270,62
50,125,250,0.5,400,1,66,17,19226,177
51,125,250,0.5,200,1,68,7,20241,61
52,125,250,0.5,400,5,69,15,20065,237
53,125,250,0.5,200,1,69,12,20270,62
54,125,250,0.5,400,3,71,16,20065,237
55,125,250,0.5,400,5,71,16,19767,43
56,125,250,0.5,400,1,73,16,20065,237
57,125,250,0.5,400,3,75,15,19767,43
58,125,250,0.5,400,5,78,15,19799,388
59,125,250,0.5,800,5,79,16,20372,748
60,125,250,0.5,200,5,81,15,19596,9
