,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,62.5,0.5,200,5,27,7,19041,163
1,125,62.5,0.5,200,5,29,8,19963,131
2,125,62.5,0.5,200,3,31,8,19041,163
3,125,62.5,0.5,200,3,31,8,19963,131
4,125,62.5,0.5,400,5,34,6,20298,35
5,125,62.5,0.5,200,1,35,8,19041,163
6,125,62.5,0.5,200,1,35,8,19963,131
7,125,62.5,0.5,400,3,38,7,20298,35
8,125,62.5,0.5,400,5,38,13,20293,314
9,125,62.5,0.5,1200,5,53,16,20965,1101
10,125,62.5,0.5,400,5,56,13,20174,65
11,125,62.5,0.5,1200,3,57,19,20965,1101
12,125,62.5,0.5,400,3,60,14,20174,65
13,125,62.5,0.5,1200,1,61,19,20965,1101
14,125,62.5,0.5,200,5,61,10,20349,174
15,125,62.5,0.5,400,1,64,14,20174,65
16,125,62.5,0.5,200,3,65,9,20349,174
17,125,62.5,0.5,200,1,69,9,20349,174
18,125,62.5,0.5,1200,5,75,17,20832,875
19,125,62.5,0.5,200,5,83,10,19979,2
20,125,62.5,0.5,200,5,84,9,20613,75
21,125,62.5,0.5,200,3,84,10,19979,2
22,125,62.5,0.5,200,5,87,11,20541,22
23,125,62.5,0.5,200,5,88,13,19588,174
24,125,62.5,0.5,1200,5,88,19,19309,308
25,125,62.5,0.5,200,3,89,11,20541,22
26,125,62.5,0.5,200,1,91,10,20541,22
27,125,62.5,0.5,1200,3,91,20,19309,308
28,125,62.5,0.5,200,3,92,13,19588,174
29,125,62.5,0.5,200,5,93,9,19633,82
30,125,62.5,0.5,400,3,93,16,20293,314
31,125,62.5,0.5,1200,1,95,22,19309,308
32,125,62.5,0.5,200,1,96,14,19588,174
33,125,62.5,0.5,200,3,97,10,19633,82
34,125,62.5,0.5,400,1,97,19,20293,314
35,125,62.5,0.5,400,5,99,15,19767,43
36,125,62.5,0.5,200,5,100,10,20601,84
37,125,62.5,0.5,200,1,101,10,19633,82
38,125,62.5,0.5,400,3,101,15,19767,43
39,125,62.5,0.5,1200,5,101,17,19973,125
40,125,62.5,0.5,200,5,102,18,19264,129
41,125,62.5,0.5,400,1,103,16,19767,43
42,125,62.5,0.5,200,5,103,13,19692,114
43,125,62.5,0.5,1200,3,103,17,19973,125
44,125,62.5,0.5,200,5,103,8,19438,159
45,125,62.5,0.5,200,3,104,18,19264,129
46,125,62.5,0.5,200,3,104,11,20601,84
47,125,62.5,0.5,200,5,105,15,19325,191
48,125,62.5,0.5,1200,1,105,18,19973,125
49,125,62.5,0.5,200,1,106,19,19264,129
50,125,62.5,0.5,200,3,107,14,19692,114
51,125,62.5,0.5,200,3,107,8,19438,159
52,125,62.5,0.5,200,1,108,13,20601,84
53,125,62.5,0.5,1200,3,109,20,20832,875
54,125,62.5,0.5,200,3,109,15,19325,191
55,125,62.5,0.5,200,5,110,18,20250,121
56,125,62.5,0.5,200,5,110,10,20627,25
57,125,62.5,0.5,200,1,111,14,19692,114
58,125,62.5,0.5,200,1,111,8,19438,159
59,125,62.5,0.5,1200,1,113,21,20832,875
60,125,62.5,0.5,200,1,113,15,19325,191
61,125,62.5,0.5,200,3,114,18,20250,121
62,125,62.5,0.5,200,3,114,11,20627,25
63,125,62.5,0.5,200,1,115,8,19979,2
64,125,62.5,0.5,200,3,118,6,20613,75
65,125,62.5,0.5,200,1,118,17,20250,121
66,125,62.5,0.5,200,1,118,12,20627,25
67,125,62.5,0.5,200,5,119,15,20533,62
68,125,62.5,0.5,200,3,121,14,20533,62
69,125,62.5,0.5,200,1,122,7,20613,75
70,125,62.5,0.5,200,1,123,14,20533,62
71,125,62.5,0.5,400,5,124,16,19799,388
72,125,62.5,0.5,400,5,127,9,19938,87
73,125,62.5,0.5,400,5,127,17,19197,133
74,125,62.5,0.5,200,5,128,14,20131,154
75,125,62.5,0.5,400,3,128,19,19197,133
76,125,62.5,0.5,400,3,128,17,19799,388
77,125,62.5,0.5,200,3,129,14,20131,154
78,125,62.5,0.5,400,1,130,19,19197,133
79,125,62.5,0.5,200,5,131,19,19369,107
80,125,62.5,0.5,200,5,131,16,20270,62
81,125,62.5,0.5,200,1,132,13,20131,154
82,125,62.5,0.5,400,1,132,17,19799,388
83,125,62.5,0.5,200,3,135,20,19369,107
84,125,62.5,0.5,200,3,135,15,20270,62
85,125,62.5,0.5,200,1,139,20,19369,107
86,125,62.5,0.5,200,1,139,15,20270,62
87,125,62.5,0.5,200,5,140,12,19369,119
88,125,62.5,0.5,200,5,141,12,19970,133
89,125,62.5,0.5,200,3,144,12,19369,119
90,125,62.5,0.5,200,3,145,12,19970,133
91,125,62.5,0.5,200,5,147,14,19517,75
92,125,62.5,0.5,200,1,148,12,19369,119
93,125,62.5,0.5,200,1,149,12,19970,133
94,125,62.5,0.5,200,5,150,17,19224,73
95,125,62.5,0.5,200,5,150,16,20218,156
96,125,62.5,0.5,200,3,151,14,19517,75
97,125,62.5,0.5,200,3,154,17,19224,73
98,125,62.5,0.5,200,3,154,17,20218,156
99,125,62.5,0.5,400,5,154,18,19534,290
100,125,62.5,0.5,200,1,155,15,19517,75
101,125,62.5,0.5,200,1,158,17,19224,73
102,125,62.5,0.5,200,5,158,17,19945,158
103,125,62.5,0.5,200,1,158,18,20218,156
104,125,62.5,0.5,400,3,158,17,19534,290
105,125,62.5,0.5,400,5,159,17,19858,68
106,125,62.5,0.5,400,5,160,20,19468,235
107,125,62.5,0.5,200,3,160,17,19945,158
108,125,62.5,0.5,200,1,162,17,19945,158
109,125,62.5,0.5,400,1,162,17,19534,290
110,125,62.5,0.5,400,3,164,21,19468,235
111,125,62.5,0.5,200,5,164,17,19447,17
112,125,62.5,0.5,200,5,164,16,20568,166
113,125,62.5,0.5,400,1,168,21,19468,235
114,125,62.5,0.5,200,3,168,17,19447,17
115,125,62.5,0.5,200,3,168,14,20568,166
116,125,62.5,0.5,200,5,170,13,19989,33
117,125,62.5,0.5,200,1,172,16,19447,17
118,125,62.5,0.5,200,3,172,13,19989,33
119,125,62.5,0.5,200,1,172,16,20568,166
120,125,62.5,0.5,200,1,174,13,19989,33
121,125,62.5,0.5,200,5,176,16,20129,26
122,125,62.5,0.5,200,5,176,13,20570,111
123,125,62.5,0.5,400,3,178,14,19858,68
124,125,62.5,0.5,200,3,180,15,20129,26
125,125,62.5,0.5,200,3,180,14,20570,111
126,125,62.5,0.5,400,1,182,13,19858,68
127,125,62.5,0.5,200,5,183,22,20083,169
128,125,62.5,0.5,200,5,183,9,20627,106
129,125,62.5,0.5,200,1,184,15,20129,26
130,125,62.5,0.5,200,1,184,14,20570,111
131,125,62.5,0.5,200,3,187,22,20083,169
