,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,250,250,0.5,200,5,31,5,19927,167
1,250,250,0.5,200,3,33,5,19927,167
2,250,250,0.5,200,1,36,5,19927,167
3,250,250,0.5,800,5,60,8,20045,129
4,250,250,0.5,800,3,62,8,20045,129
5,250,250,0.5,800,1,64,8,20045,129
6,250,250,0.5,200,5,90,4,20220,147
7,250,250,0.5,200,3,94,5,20220,147
8,250,250,0.5,200,1,98,5,20220,147
9,250,250,0.5,800,5,116,8,19825,102
10,250,250,0.5,400,5,120,6,20473,132
11,250,250,0.5,800,3,120,9,19825,102
12,250,250,0.5,400,3,124,6,20473,132
13,250,250,0.5,800,1,124,9,19825,102
14,250,250,0.5,200,5,126,6,20529,62
15,250,250,0.5,800,5,127,4,19818,547
16,250,250,0.5,400,1,128,7,20473,132
17,250,250,0.5,200,3,130,6,20529,62
18,250,250,0.5,800,3,131,4,19818,547
19,250,250,0.5,200,1,134,6,20529,62
20,250,250,0.5,800,1,135,5,19818,547
21,250,250,0.5,200,5,140,3,19229,144
22,250,250,0.5,200,3,144,3,19229,144
23,250,250,0.5,200,1,148,3,19229,144
24,250,250,0.5,400,5,148,7,20170,301
25,250,250,0.5,200,5,149,7,20046,23
26,250,250,0.5,200,3,151,7,20046,23
27,250,250,0.5,200,5,152,7,19656,67
28,250,250,0.5,400,3,152,7,20170,301
29,250,250,0.5,200,1,153,7,20046,23
30,250,250,0.5,200,5,155,4,19891,97
31,250,250,0.5,200,3,156,7,19656,67
32,250,250,0.5,400,1,156,7,20170,301
33,250,250,0.5,200,3,157,4,19891,97
34,250,250,0.5,200,1,159,4,19891,97
35,250,250,0.5,200,5,175,5,19918,77
36,250,250,0.5,200,3,179,5,19918,77
37,250,250,0.5,200,1,183,4,19918,77
38,250,250,0.5,200,5,183,7,19321,138
39,250,250,0.5,400,5,185,9,20437,144
40,250,250,0.5,200,3,187,8,19321,138
41,250,250,0.5,400,3,189,9,20437,144
42,250,250,0.5,200,1,191,7,19321,138
