,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,62.5,0.5,1200,5,1,10,20189,909
1,125,62.5,0.5,200,5,2,5,18891,13
2,125,62.5,0.5,200,5,11,9,20098,180
3,125,62.5,0.5,1200,5,15,25,20259,962
4,125,62.5,0.5,200,3,15,11,20098,180
5,125,62.5,0.5,1200,3,17,28,20259,962
6,125,62.5,0.5,1200,1,19,29,20259,962
7,125,62.5,0.5,400,5,21,14,20051,26
8,125,62.5,0.5,400,3,25,14,20051,26
9,125,62.5,0.5,400,5,31,17,19667,9
10,125,62.5,0.5,400,3,32,18,19667,9
11,125,62.5,0.5,400,5,34,23,20292,252
12,125,62.5,0.5,400,1,34,17,19667,9
13,125,62.5,0.5,200,5,35,19,19634,101
14,125,62.5,0.5,200,3,37,18,19634,101
15,125,62.5,0.5,200,1,39,19,19634,101
16,125,62.5,0.5,200,3,41,19,18891,13
17,125,62.5,0.5,200,1,43,19,18891,13
18,125,62.5,0.5,400,3,46,22,20292,252
19,125,62.5,0.5,400,1,50,22,20292,252
20,125,62.5,0.5,200,5,51,23,20310,61
21,125,62.5,0.5,200,3,55,22,20310,61
22,125,62.5,0.5,200,5,56,24,19271,117
23,125,62.5,0.5,200,3,58,25,19271,117
24,125,62.5,0.5,200,1,59,21,20310,61
25,125,62.5,0.5,200,1,60,26,19271,117
26,125,62.5,0.5,200,5,84,26,19577,114
27,125,62.5,0.5,200,3,86,25,19577,114
28,125,62.5,0.5,400,5,87,22,20222,72
29,125,62.5,0.5,200,1,88,23,19577,114
30,125,62.5,0.5,400,3,91,26,20222,72
31,125,62.5,0.5,400,1,95,26,20222,72
32,125,62.5,0.5,400,5,102,21,20056,377
33,125,62.5,0.5,400,3,104,20,20056,377
34,125,62.5,0.5,400,1,106,22,20056,377
35,125,62.5,0.5,200,5,118,33,19985,160
36,125,62.5,0.5,200,3,120,31,19985,160
37,125,62.5,0.5,200,1,122,33,19985,160
38,125,62.5,0.5,200,5,122,29,20101,79
39,125,62.5,0.5,200,5,125,31,19768,15
40,125,62.5,0.5,200,3,126,28,20101,79
41,125,62.5,0.5,200,3,127,31,19768,15
42,125,62.5,0.5,200,1,129,32,19768,15
43,125,62.5,0.5,200,1,130,28,20101,79
44,125,62.5,0.5,400,5,131,26,20303,303
45,125,62.5,0.5,200,5,135,25,18941,38
46,125,62.5,0.5,200,3,137,26,18941,38
47,125,62.5,0.5,400,3,138,28,20303,303
48,125,62.5,0.5,200,1,139,29,18941,38
49,125,62.5,0.5,400,1,142,28,20303,303
50,125,62.5,0.5,200,5,145,30,19569,93
51,125,62.5,0.5,200,5,145,21,20371,88
52,125,62.5,0.5,200,3,149,28,19569,93
53,125,62.5,0.5,200,3,149,20,20371,88
54,125,62.5,0.5,200,1,153,30,19569,93
55,125,62.5,0.5,200,1,153,21,20371,88
56,125,62.5,0.5,200,5,162,31,20153,143
57,125,62.5,0.5,400,5,165,26,19492,125
58,125,62.5,0.5,400,3,166,27,19492,125
59,125,62.5,0.5,400,1,168,25,19492,125
60,125,62.5,0.5,1200,5,171,37,19383,80
61,125,62.5,0.5,200,5,171,21,19938,6
62,125,62.5,0.5,200,5,171,27,19867,80
63,125,62.5,0.5,1200,3,173,35,19383,80
64,125,62.5,0.5,1200,1,175,36,19383,80
65,125,62.5,0.5,200,3,175,26,19867,80
66,125,62.5,0.5,200,1,179,25,19867,80
67,125,62.5,0.5,200,5,181,20,20215,135
68,125,62.5,0.5,200,5,182,35,20272,119
69,125,62.5,0.5,200,5,184,25,10253,109
70,125,62.5,0.5,200,3,185,21,20215,135
71,125,62.5,0.5,200,3,186,32,20272,119
72,125,62.5,0.5,200,5,186,29,19928,130
73,125,62.5,0.5,200,3,188,31,10253,109
74,125,62.5,0.5,200,1,189,21,20215,135
75,125,62.5,0.5,200,1,190,30,20272,119
76,125,62.5,0.5,200,3,190,29,19928,130
77,125,62.5,0.5,200,1,192,29,10253,109
78,125,62.5,0.5,200,1,194,28,19928,130
79,125,62.5,0.5,200,3,198,30,20153,143
80,125,62.5,0.5,200,5,200,19,20097,61
81,125,62.5,0.5,200,5,200,25,20384,54
82,125,62.5,0.5,200,1,202,30,20153,143
83,125,62.5,0.5,200,3,204,19,20097,61
84,125,62.5,0.5,200,3,204,18,20384,54
85,125,62.5,0.5,200,1,208,22,20097,61
86,125,62.5,0.5,200,1,208,17,20384,54
87,125,62.5,0.5,200,5,216,25,19074,66
88,125,62.5,0.5,200,3,220,25,19074,66
89,125,62.5,0.5,400,5,232,31,19443,379
90,125,62.5,0.5,400,3,234,30,19443,379
91,125,62.5,0.5,200,5,235,20,19735,105
92,125,62.5,0.5,200,5,245,32,19919,109
93,125,62.5,0.5,200,5,248,29,19573,64
94,125,62.5,0.5,200,3,249,33,19919,109
95,125,62.5,0.5,200,3,252,31,19573,64
96,125,62.5,0.5,200,1,253,33,19919,109
97,125,62.5,0.5,200,1,256,31,19573,64
98,125,62.5,0.5,400,5,275,21,19891,162
99,125,62.5,0.5,400,3,276,19,19891,162
100,125,62.5,0.5,400,1,278,21,19891,162
101,125,62.5,0.5,200,5,319,35,19391,49
102,125,62.5,0.5,200,3,321,36,19391,49
103,125,62.5,0.5,200,1,323,36,19391,49
104,125,62.5,0.5,200,3,366,27,19938,6
105,125,62.5,0.5,200,1,368,27,19938,6
106,125,62.5,0.5,400,5,397,27,19627,367
107,125,62.5,0.5,400,3,401,30,19627,367
108,125,62.5,0.5,400,1,405,32,19627,367
109,125,62.5,0.5,1200,5,409,38,21065,1033
110,125,62.5,0.5,1200,3,413,37,21065,1033
111,125,62.5,0.5,1200,1,417,37,21065,1033
112,125,62.5,0.5,200,5,464,28,20090,44
113,125,62.5,0.5,200,3,468,27,20090,44
114,125,62.5,0.5,200,1,472,29,20090,44
115,125,62.5,0.5,400,5,480,27,20290,178
116,125,62.5,0.5,400,3,484,28,20290,178
