,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,250,0.5,400,5,30,7,20129,198
1,125,250,0.5,400,3,33,7,20129,198
2,125,250,0.5,400,1,37,7,20129,198
3,125,250,0.5,1200,5,78,10,20446,972
4,125,250,0.5,1200,3,82,10,20446,972
5,125,250,0.5,400,5,83,6,20478,54
6,125,250,0.5,1200,1,86,10,20446,972
7,125,250,0.5,400,3,88,5,20478,54
8,125,250,0.5,400,1,92,5,20478,54
9,125,250,0.5,400,5,126,7,19338,55
10,125,250,0.5,400,3,128,7,19338,55
11,125,250,0.5,400,1,130,7,19338,55
12,125,250,0.5,800,5,156,12,19667,596
13,125,250,0.5,800,5,157,9,20176,681
14,125,250,0.5,800,3,160,12,19667,596
15,125,250,0.5,800,3,161,8,20176,681
16,125,250,0.5,800,1,164,11,19667,596
17,125,250,0.5,800,1,165,8,20176,681
18,125,250,0.5,1200,5,176,15,19464,468
19,125,250,0.5,1200,3,180,15,19464,468
20,125,250,0.5,1200,1,184,14,19464,468
21,125,250,0.5,1200,5,207,8,21635,933
22,125,250,0.5,1200,3,211,9,21635,933
23,125,250,0.5,200,5,252,3,20054,72
24,125,250,0.5,200,3,254,3,20054,72
25,125,250,0.5,200,1,256,3,20054,72
26,125,250,0.5,200,5,275,5,19965,37
27,125,250,0.5,200,3,279,5,19965,37
28,125,250,0.5,1200,5,281,13,19282,91
29,125,250,0.5,200,1,283,5,19965,37
30,125,250,0.5,1200,3,285,12,19282,91
31,125,250,0.5,1200,1,289,13,19282,91
32,125,250,0.5,200,5,330,4,9483,165
33,125,250,0.5,200,3,332,4,9483,165
34,125,250,0.5,200,1,336,4,9483,165
35,125,250,0.5,400,5,350,6,19785,101
36,125,250,0.5,400,3,351,6,19785,101
37,125,250,0.5,400,1,352,6,19785,101
