,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,250,0.5,1200,5,1,13,19676,84
1,125,250,0.5,1200,5,13,20,19705,269
2,125,250,0.5,200,5,15,8,20077,83
3,125,250,0.5,1200,3,17,21,19705,269
4,125,250,0.5,200,3,19,10,20077,83
5,125,250,0.5,1200,5,22,22,20825,1085
6,125,250,0.5,200,1,23,11,20077,83
7,125,250,0.5,1200,5,23,17,19884,477
8,125,250,0.5,1200,3,24,22,20825,1085
9,125,250,0.5,400,5,26,13,20453,13
10,125,250,0.5,800,5,27,16,19667,596
11,125,250,0.5,1200,3,27,18,19884,477
12,125,250,0.5,400,3,28,13,20453,13
13,125,250,0.5,1200,1,28,22,20825,1085
14,125,250,0.5,400,1,30,13,20453,13
15,125,250,0.5,1200,5,30,22,19624,513
16,125,250,0.5,1200,1,31,20,19884,477
17,125,250,0.5,1200,5,31,22,20446,972
18,125,250,0.5,800,1,32,18,19174,16
19,125,250,0.5,800,3,32,18,19174,16
20,125,250,0.5,800,5,32,18,19174,16
21,125,250,0.5,200,5,33,12,19798,2
22,125,250,0.5,1200,3,33,25,20446,972
23,125,250,0.5,1200,3,34,21,19624,513
24,125,250,0.5,800,5,34,22,20178,347
25,125,250,0.5,200,3,35,13,19798,2
26,125,250,0.5,1200,5,35,24,19142,29
27,125,250,0.5,200,1,36,13,19798,2
28,125,250,0.5,1200,1,36,26,20446,972
29,125,250,0.5,200,5,37,18,19368,94
30,125,250,0.5,1200,1,38,24,19624,513
31,125,250,0.5,800,3,38,24,20178,347
32,125,250,0.5,1200,3,39,25,19142,29
33,125,250,0.5,200,3,39,16,19368,94
34,125,250,0.5,200,5,40,18,19444,50
35,125,250,0.5,200,1,41,17,19368,94
36,125,250,0.5,800,1,42,29,20178,347
37,125,250,0.5,1200,5,46,19,19953,629
38,125,250,0.5,400,5,46,18,20478,54
39,125,250,0.5,200,5,48,15,19661,148
40,125,250,0.5,400,5,49,23,19841,361
41,125,250,0.5,400,5,49,23,20470,364
42,125,250,0.5,1200,3,50,22,19953,629
43,125,250,0.5,400,3,50,20,20478,54
44,125,250,0.5,200,3,51,21,19444,50
45,125,250,0.5,1200,5,53,35,19009,215
46,125,250,0.5,400,3,53,24,19841,361
47,125,250,0.5,400,3,53,23,20470,364
48,125,250,0.5,200,5,53,22,19965,37
49,125,250,0.5,1200,1,54,23,19953,629
50,125,250,0.5,400,1,54,19,20478,54
51,125,250,0.5,200,1,55,22,19444,50
52,125,250,0.5,1200,5,56,28,19117,123
53,125,250,0.5,1200,3,57,37,19009,215
54,125,250,0.5,400,1,57,25,19841,361
55,125,250,0.5,800,5,57,25,19590,158
56,125,250,0.5,400,1,57,24,20470,364
57,125,250,0.5,200,3,57,24,19965,37
58,125,250,0.5,1200,5,57,30,21570,961
59,125,250,0.5,200,5,59,18,20525,195
60,125,250,0.5,1200,3,60,30,19117,123
61,125,250,0.5,200,3,60,18,20525,195
62,125,250,0.5,1200,1,61,38,19009,215
63,125,250,0.5,200,1,61,26,19965,37
64,125,250,0.5,1200,3,61,31,21570,961
65,125,250,0.5,200,5,62,29,20289,83
66,125,250,0.5,800,5,62,32,19667,68
67,125,250,0.5,200,1,63,19,20525,195
68,125,250,0.5,1200,1,64,31,19117,123
69,125,250,0.5,400,5,64,25,19488,144
70,125,250,0.5,1200,1,65,33,21570,961
71,125,250,0.5,200,3,66,29,20289,83
72,125,250,0.5,800,3,66,32,19667,68
73,125,250,0.5,1200,5,67,32,19578,375
74,125,250,0.5,400,5,69,30,20241,14
75,125,250,0.5,800,5,69,28,19899,347
76,125,250,0.5,1200,5,69,41,19330,149
77,125,250,0.5,200,1,70,30,20289,83
78,125,250,0.5,800,1,70,32,19667,68
79,125,250,0.5,400,5,71,30,20252,179
80,125,250,0.5,1200,3,71,33,19578,375
81,125,250,0.5,400,3,72,28,19488,144
82,125,250,0.5,400,3,73,32,20241,14
83,125,250,0.5,800,3,73,29,19899,347
84,125,250,0.5,1200,3,73,42,19330,149
85,125,250,0.5,400,1,74,29,19488,144
86,125,250,0.5,400,3,75,30,20252,179
87,125,250,0.5,800,5,75,32,19920,601
88,125,250,0.5,200,5,75,24,20075,24
89,125,250,0.5,1200,1,76,36,19578,375
90,125,250,0.5,800,5,77,32,20325,697
91,125,250,0.5,400,1,77,33,20241,14
92,125,250,0.5,1200,1,77,34,19142,29
93,125,250,0.5,1200,1,77,42,19330,149
94,125,250,0.5,1200,3,78,40,19676,84
95,125,250,0.5,800,3,78,31,19920,601
96,125,250,0.5,1200,1,79,41,19705,269
97,125,250,0.5,400,1,79,29,20252,179
98,125,250,0.5,200,3,79,26,20075,24
99,125,250,0.5,800,1,80,31,19920,601
100,125,250,0.5,800,3,81,31,20325,697
101,125,250,0.5,1200,1,82,39,19676,84
102,125,250,0.5,200,1,83,28,20075,24
103,125,250,0.5,800,1,85,29,20325,697
104,125,250,0.5,400,5,89,32,20332,299
105,125,250,0.5,400,3,93,36,20332,299
106,125,250,0.5,400,5,94,26,19592,288
107,125,250,0.5,400,1,97,39,20332,299
108,125,250,0.5,400,3,98,27,19592,288
109,125,250,0.5,400,5,100,23,20255,387
110,125,250,0.5,400,3,101,23,20255,387
111,125,250,0.5,200,5,102,27,19011,53
112,125,250,0.5,400,1,102,29,19592,288
113,125,250,0.5,400,1,103,23,20255,387
114,125,250,0.5,200,5,103,30,19268,66
115,125,250,0.5,400,5,104,33,19817,273
116,125,250,0.5,800,5,105,25,20207,491
117,125,250,0.5,200,3,106,27,19011,53
118,125,250,0.5,800,3,107,24,20207,491
119,125,250,0.5,200,3,107,31,19268,66
120,125,250,0.5,400,3,108,35,19817,273
