,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,1000,0.5,400,5,32,5,19682,138
1,125,1000,0.5,400,3,36,5,19682,138
2,125,1000,0.5,1200,5,56,13,20879,1095
3,125,1000,0.5,1200,3,60,13,20879,1095
4,125,1000,0.5,1200,1,64,13,20879,1095
5,125,1000,0.5,200,5,83,4,20535,137
6,125,1000,0.5,200,3,87,4,20535,137
7,125,1000,0.5,1200,5,90,16,20263,502
8,125,1000,0.5,200,1,91,4,20535,137
9,125,1000,0.5,400,1,93,5,19682,138
10,125,1000,0.5,1200,3,94,16,20263,502
11,125,1000,0.5,1200,1,98,16,20263,502
12,125,1000,0.5,400,5,106,4,19929,305
13,125,1000,0.5,400,3,110,4,19929,305
14,125,1000,0.5,400,1,114,4,19929,305
15,125,1000,0.5,800,5,116,6,19883,194
16,125,1000,0.5,800,3,120,7,19883,194
17,125,1000,0.5,800,1,124,7,19883,194
18,125,1000,0.5,800,5,127,13,20061,660
19,125,1000,0.5,800,3,131,13,20061,660
20,125,1000,0.5,800,1,135,13,20061,660
21,125,1000,0.5,1200,5,138,13,19885,118
22,125,1000,0.5,1200,5,140,10,20131,816
23,125,1000,0.5,1200,3,142,13,19885,118
24,125,1000,0.5,1200,3,144,10,20131,816
25,125,1000,0.5,1200,1,146,13,19885,118
26,125,1000,0.5,1200,1,148,10,20131,816
27,125,1000,0.5,200,5,149,3,20484,166
28,125,1000,0.5,200,5,149,4,19559,72
29,125,1000,0.5,200,3,153,3,20484,166
30,125,1000,0.5,200,3,153,4,19559,72
31,125,1000,0.5,200,1,157,3,20484,166
32,125,1000,0.5,200,1,157,4,19559,72
33,125,1000,0.5,1200,5,161,13,19666,562
34,125,1000,0.5,1200,3,165,14,19666,562
35,125,1000,0.5,1200,1,169,14,19666,562
36,125,1000,0.5,800,5,212,9,19552,93
37,125,1000,0.5,800,3,216,9,19552,93
38,125,1000,0.5,800,1,220,9,19552,93
39,125,1000,0.5,1200,5,231,16,21462,993
40,125,1000,0.5,1200,5,232,11,19725,227
41,125,1000,0.5,1200,3,235,16,21462,993
42,125,1000,0.5,1200,3,236,11,19725,227
43,125,1000,0.5,1200,5,238,12,20556,1102
44,125,1000,0.5,1200,1,239,16,21462,993
45,125,1000,0.5,1200,1,240,11,19725,227
46,125,1000,0.5,1200,3,242,12,20556,1102
47,125,1000,0.5,200,5,243,5,20514,157
48,125,1000,0.5,1200,1,246,12,20556,1102
49,125,1000,0.5,200,3,247,5,20514,157
50,125,1000,0.5,200,1,251,5,20514,157
