,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,1000,0.5,800,5,138,9,20422,279
1,125,1000,0.5,800,3,142,9,20422,279
2,125,1000,0.5,800,1,146,9,20422,279
3,125,1000,0.5,200,5,169,4,19926,71
4,125,1000,0.5,200,3,173,4,19926,71
5,125,1000,0.5,1200,5,175,10,21470,1148
6,125,1000,0.5,1200,3,177,10,21470,1148
7,125,1000,0.5,200,1,177,4,19926,71
8,125,1000,0.5,1200,1,179,10,21470,1148
9,125,1000,0.5,400,5,182,5,19910,172
10,125,1000,0.5,400,3,186,5,19910,172
11,125,1000,0.5,400,1,190,5,19910,172
12,125,1000,0.5,1200,5,204,4,21769,1063
13,125,1000,0.5,1200,3,208,4,21769,1063
14,125,1000,0.5,1200,1,212,4,21769,1063
15,125,1000,0.5,1200,5,219,8,20063,297
16,125,1000,0.5,1200,3,223,8,20063,297
17,125,1000,0.5,400,5,224,5,20093,20
18,125,1000,0.5,200,5,224,4,18956,54
19,125,1000,0.5,1200,5,226,9,21389,1074
20,125,1000,0.5,1200,1,227,8,20063,297
21,125,1000,0.5,400,3,228,5,20093,20
22,125,1000,0.5,200,3,228,4,18956,54
23,125,1000,0.5,1200,3,230,9,21389,1074
24,125,1000,0.5,400,1,232,5,20093,20
25,125,1000,0.5,200,1,232,4,18956,54
26,125,1000,0.5,1200,1,234,9,21389,1074
27,125,1000,0.5,400,5,286,4,20108,280
28,125,1000,0.5,400,3,290,4,20108,280
29,125,1000,0.5,400,1,294,4,20108,280
30,125,1000,0.5,1200,5,301,9,21314,1065
31,125,1000,0.5,400,5,302,8,20473,167
32,125,1000,0.5,1200,3,305,9,21314,1065
33,125,1000,0.5,400,3,306,8,20473,167
34,125,1000,0.5,1200,1,309,9,21314,1065
35,125,1000,0.5,400,1,310,8,20473,167
36,125,1000,0.5,1200,5,319,7,19451,312
37,125,1000,0.5,1200,5,325,11,19618,181
38,125,1000,0.5,1200,3,329,11,19618,181
39,125,1000,0.5,1200,1,333,11,19618,181
