,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,250,0.5,1200,3,50,9,21114,1189
1,125,250,0.5,1200,5,50,9,21114,1189
2,125,250,0.5,1200,1,54,9,21114,1189
3,125,250,0.5,1200,5,63,10,20045,301
4,125,250,0.5,400,5,69,9,19364,55
5,125,250,0.5,400,5,71,5,20095,117
6,125,250,0.5,400,3,73,8,19364,55
7,125,250,0.5,400,3,75,5,20095,117
8,125,250,0.5,400,1,77,8,19364,55
9,125,250,0.5,400,1,79,5,20095,117
10,125,250,0.5,1200,5,89,11,19542,145
11,125,250,0.5,1200,3,93,11,19542,145
12,125,250,0.5,400,5,94,8,19783,107
13,125,250,0.5,1200,1,97,13,19542,145
14,125,250,0.5,400,3,98,8,19783,107
15,125,250,0.5,400,1,102,8,19783,107
16,125,250,0.5,400,5,115,5,19991,225
17,125,250,0.5,400,3,119,5,19991,225
18,125,250,0.5,400,1,123,5,19991,225
19,125,250,0.5,1200,5,148,14,19987,427
20,125,250,0.5,1200,3,152,14,19987,427
21,125,250,0.5,1200,1,156,14,19987,427
22,125,250,0.5,1200,5,173,12,19910,349
23,125,250,0.5,1200,3,175,12,19910,349
24,125,250,0.5,1200,1,177,12,19910,349
25,125,250,0.5,1200,5,183,11,19291,221
26,125,250,0.5,1200,5,206,18,19580,84
27,125,250,0.5,1200,3,210,18,19580,84
28,125,250,0.5,1200,1,214,17,19580,84
29,125,250,0.5,1200,5,243,13,19802,596
30,125,250,0.5,1200,3,244,13,19802,596
31,125,250,0.5,1200,1,246,13,19802,596
32,125,250,0.5,400,5,247,6,19824,306
33,125,250,0.5,400,3,251,6,19824,306
34,125,250,0.5,1200,5,258,17,20176,684
35,125,250,0.5,200,5,259,3,19705,122
36,125,250,0.5,400,5,261,8,19944,15
37,125,250,0.5,1200,3,262,17,20176,684
38,125,250,0.5,400,3,263,8,19944,15
39,125,250,0.5,200,3,263,3,19705,122
40,125,250,0.5,400,1,265,8,19944,15
41,125,250,0.5,1200,1,266,17,20176,684
42,125,250,0.5,400,5,266,7,19752,279
43,125,250,0.5,200,1,267,3,19705,122
44,125,250,0.5,400,3,270,7,19752,279
45,125,250,0.5,400,1,274,7,19752,279
46,125,250,0.5,1200,5,290,11,20171,796
47,125,250,0.5,1200,3,294,11,20171,796
48,125,250,0.5,1200,1,298,13,20171,796
49,125,250,0.5,800,5,306,11,19673,393
50,125,250,0.5,800,3,310,11,19673,393
51,125,250,0.5,800,1,314,11,19673,393
52,125,250,0.5,400,5,320,5,19528,114
53,125,250,0.5,400,3,324,5,19528,114
54,125,250,0.5,400,1,328,5,19528,114
55,125,250,0.5,1200,5,328,14,19729,554
56,125,250,0.5,400,5,332,7,19640,13
57,125,250,0.5,1200,3,332,14,19729,554
58,125,250,0.5,400,3,333,7,19640,13
59,125,250,0.5,400,1,334,7,19640,13
60,125,250,0.5,1200,1,336,13,19729,554
61,125,250,0.5,200,5,337,3,9897,38
62,125,250,0.5,200,3,341,3,9897,38
63,125,250,0.5,800,5,342,9,20201,394
64,125,250,0.5,800,3,344,9,20201,394
65,125,250,0.5,200,1,345,4,9897,38
66,125,250,0.5,800,5,345,5,20229,343
67,125,250,0.5,800,5,346,7,19830,176
68,125,250,0.5,800,1,346,9,20201,394
69,125,250,0.5,800,3,349,5,20229,343
70,125,250,0.5,800,3,350,7,19830,176
71,125,250,0.5,800,1,353,5,20229,343
72,125,250,0.5,800,1,354,7,19830,176
73,125,250,0.5,1200,5,380,16,19509,530
74,125,250,0.5,1200,3,382,17,19509,530
75,125,250,0.5,1200,1,384,17,19509,530
76,125,250,0.5,200,5,398,5,19613,83
77,125,250,0.5,200,3,400,5,19613,83
78,125,250,0.5,200,1,402,5,19613,83
79,125,250,0.5,800,5,425,9,19791,552
80,125,250,0.5,800,3,426,9,19791,552
81,125,250,0.5,800,1,428,9,19791,552
82,125,250,0.5,400,5,449,5,19463,350
83,125,250,0.5,400,3,453,5,19463,350
84,125,250,0.5,400,1,457,5,19463,350
85,125,250,0.5,800,5,465,12,19602,617
86,125,250,0.5,400,5,466,4,20296,130
87,125,250,0.5,800,3,469,12,19602,617
88,125,250,0.5,400,3,470,4,20296,130
89,125,250,0.5,1200,5,471,9,20106,312
90,125,250,0.5,800,1,473,12,19602,617
91,125,250,0.5,400,1,474,4,20296,130
92,125,250,0.5,1200,3,475,8,20106,312
93,125,250,0.5,1200,1,479,8,20106,312
94,125,250,0.5,400,5,508,6,19994,81
95,125,250,0.5,400,3,510,6,19994,81
96,125,250,0.5,400,1,513,6,19994,81
97,125,250,0.5,1200,5,516,11,20637,762
98,125,250,0.5,1200,3,518,12,20637,762
99,125,250,0.5,1200,1,520,12,20637,762
100,125,250,0.5,400,5,523,5,19918,146
101,125,250,0.5,400,3,527,5,19918,146
102,125,250,0.5,400,1,531,4,19918,146
103,125,250,0.5,800,5,531,11,10067,112
104,125,250,0.5,800,3,535,11,10067,112
105,125,250,0.5,800,5,537,8,19570,105
106,125,250,0.5,800,1,539,11,10067,112
107,125,250,0.5,800,3,541,9,19570,105
108,125,250,0.5,800,1,545,8,19570,105
109,125,250,0.5,1200,5,592,11,20108,308
110,125,250,0.5,1200,3,596,11,20108,308
111,125,250,0.5,400,5,628,6,20066,251
112,125,250,0.5,400,3,632,7,20066,251
113,125,250,0.5,400,5,636,4,19776,97
114,125,250,0.5,400,1,636,7,20066,251
115,125,250,0.5,400,3,640,5,19776,97
116,125,250,0.5,400,1,644,6,19776,97
117,125,250,0.5,1200,5,654,13,21179,855
118,125,250,0.5,1200,3,658,13,21179,855
119,125,250,0.5,1200,1,662,13,21179,855
120,125,250,0.5,400,5,665,6,20125,51
121,125,250,0.5,400,3,669,6,20125,51
122,125,250,0.5,400,1,673,6,20125,51
123,125,250,0.5,800,5,714,10,19864,511
124,125,250,0.5,800,3,718,10,19864,511
125,125,250,0.5,800,1,722,10,19864,511
126,125,250,0.5,400,5,785,4,19862,180
127,125,250,0.5,400,3,787,4,19862,180
128,125,250,0.5,400,1,789,4,19862,180
129,125,250,0.5,200,5,806,5,20021,128
130,125,250,0.5,200,3,810,5,20021,128
131,125,250,0.5,1200,5,823,14,19210,214
132,125,250,0.5,400,5,837,5,19637,86
133,125,250,0.5,400,5,839,6,19213,183
134,125,250,0.5,400,3,841,5,19637,86
135,125,250,0.5,400,3,843,6,19213,183
136,125,250,0.5,400,1,845,5,19637,86
137,125,250,0.5,400,1,847,6,19213,183
138,125,250,0.5,400,5,872,5,19638,397
139,125,250,0.5,400,3,876,5,19638,397
140,125,250,0.5,400,1,880,6,19638,397
141,125,250,0.5,1200,5,884,11,20166,304
142,125,250,0.5,1200,3,888,10,20166,304
143,125,250,0.5,400,5,889,4,20015,247
144,125,250,0.5,400,3,891,4,20015,247
145,125,250,0.5,1200,1,892,10,20166,304
146,125,250,0.5,800,5,892,11,19502,23
147,125,250,0.5,800,5,910,9,20345,493
148,125,250,0.5,1200,5,911,12,20142,1181
149,125,250,0.5,800,3,914,9,20345,493
150,125,250,0.5,1200,3,915,12,20142,1181
151,125,250,0.5,800,1,918,9,20345,493
152,125,250,0.5,1200,1,919,11,20142,1181
153,125,250,0.5,800,5,922,12,19865,663
154,125,250,0.5,800,3,926,12,19865,663
155,125,250,0.5,200,5,994,3,19797,52
156,125,250,0.5,200,3,998,3,19797,52
157,125,250,0.5,200,1,1002,4,19797,52
158,125,250,0.5,400,5,1052,5,19997,197
159,125,250,0.5,400,3,1056,5,19997,197
160,125,250,0.5,400,1,1060,5,19997,197
161,125,250,0.5,800,3,1068,9,19502,23
