,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,250,0.5,200,5,78,6,19777,187
1,125,250,0.5,200,3,82,6,19777,187
2,125,250,0.5,200,1,86,6,19777,187
3,125,250,0.5,1200,5,96,14,19925,342
4,125,250,0.5,400,5,98,7,19824,349
5,125,250,0.5,1200,3,100,14,19925,342
6,125,250,0.5,400,3,102,7,19824,349
7,125,250,0.5,1200,1,104,13,19925,342
8,125,250,0.5,400,1,106,8,19824,349
9,125,250,0.5,1200,5,208,21,21334,1003
10,125,250,0.5,1200,3,212,21,21334,1003
11,125,250,0.5,400,5,214,9,20468,355
12,125,250,0.5,1200,1,216,20,21334,1003
13,125,250,0.5,400,3,218,9,20468,355
14,125,250,0.5,400,1,222,9,20468,355
15,125,250,0.5,200,5,225,4,19831,113
16,125,250,0.5,200,3,229,3,19831,113
17,125,250,0.5,1200,5,298,14,19761,119
18,125,250,0.5,1200,5,407,14,19577,618
19,125,250,0.5,1200,3,409,14,19761,119
20,125,250,0.5,1200,3,411,12,19577,618
21,125,250,0.5,1200,1,413,13,19761,119
22,125,250,0.5,1200,1,415,12,19577,618
23,125,250,0.5,200,5,796,5,20218,17
24,125,250,0.5,200,3,800,5,20218,17
25,125,250,0.5,200,1,804,5,20218,17
