,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,1000,0.5,800,5,20,11,19306,153
1,125,1000,0.5,800,3,24,11,19306,153
2,125,1000,0.5,800,1,28,11,19306,153
3,125,1000,0.5,200,5,70,5,19613,83
4,125,1000,0.5,200,3,74,5,19613,83
5,125,1000,0.5,200,1,78,5,19613,83
6,125,1000,0.5,200,5,110,4,19069,137
7,125,1000,0.5,200,3,114,4,19069,137
8,125,1000,0.5,200,1,118,4,19069,137
9,125,1000,0.5,800,5,128,6,20042,617
10,125,1000,0.5,800,3,132,6,20042,617
11,125,1000,0.5,800,1,136,6,20042,617
12,125,1000,0.5,200,5,186,3,20008,66
13,125,1000,0.5,200,3,190,3,20008,66
14,125,1000,0.5,200,1,194,3,20008,66
15,125,1000,0.5,400,5,214,7,20156,101
16,125,1000,0.5,400,3,218,7,20156,101
17,125,1000,0.5,400,1,222,7,20156,101
18,125,1000,0.5,400,5,242,7,19729,67
19,125,1000,0.5,400,3,246,7,19729,67
20,125,1000,0.5,400,1,250,7,19729,67
21,125,1000,0.5,400,5,254,5,20038,327
22,125,1000,0.5,400,3,258,5,20038,327
23,125,1000,0.5,800,5,260,8,19979,543
24,125,1000,0.5,400,1,262,5,20038,327
25,125,1000,0.5,800,3,263,8,19979,543
26,125,1000,0.5,800,1,267,8,19979,543
27,125,1000,0.5,200,5,289,4,19847,64
28,125,1000,0.5,200,3,293,4,19847,64
29,125,1000,0.5,200,1,297,4,19847,64
30,125,1000,0.5,800,5,300,9,19864,511
31,125,1000,0.5,800,3,304,9,19864,511
32,125,1000,0.5,800,1,308,9,19864,511
33,125,1000,0.5,800,5,309,10,10067,112
34,125,1000,0.5,800,3,311,10,10067,112
35,125,1000,0.5,800,1,313,10,10067,112
36,125,1000,0.5,1200,5,352,10,19553,547
37,125,1000,0.5,1200,3,354,10,19553,547
38,125,1000,0.5,200,5,355,3,20352,195
39,125,1000,0.5,1200,1,356,10,19553,547
40,125,1000,0.5,200,3,359,3,20352,195
41,125,1000,0.5,200,5,361,3,19520,95
42,125,1000,0.5,200,1,363,4,20352,195
43,125,1000,0.5,200,3,365,3,19520,95
44,125,1000,0.5,800,5,365,14,19941,644
45,125,1000,0.5,1200,5,367,8,19291,221
46,125,1000,0.5,200,1,369,3,19520,95
47,125,1000,0.5,800,3,369,14,19941,644
48,125,1000,0.5,1200,3,371,8,19291,221
49,125,1000,0.5,800,1,373,14,19941,644
50,125,1000,0.5,1200,1,375,8,19291,221
51,125,1000,0.5,1200,5,395,10,19764,293
52,125,1000,0.5,1200,3,399,11,19764,293
53,125,1000,0.5,1200,1,403,11,19764,293
54,125,1000,0.5,400,5,434,8,19823,24
55,125,1000,0.5,200,5,434,4,19898,62
56,125,1000,0.5,200,3,436,4,19898,62
57,125,1000,0.5,400,3,438,8,19823,24
58,125,1000,0.5,200,1,439,4,19898,62
59,125,1000,0.5,400,1,442,8,19823,24
60,125,1000,0.5,800,5,460,11,20452,766
61,125,1000,0.5,800,3,464,11,20452,766
62,125,1000,0.5,800,1,468,11,20452,766
63,125,1000,0.5,1200,5,469,9,19797,346
64,125,1000,0.5,1200,3,473,9,19797,346
65,125,1000,0.5,1200,1,477,9,19797,346
66,125,1000,0.5,800,5,479,7,19830,176
67,125,1000,0.5,800,3,483,6,19830,176
68,125,1000,0.5,800,1,487,6,19830,176
69,125,1000,0.5,1200,5,520,8,19627,237
70,125,1000,0.5,1200,3,521,8,19627,237
71,125,1000,0.5,1200,1,522,8,19627,237
72,125,1000,0.5,400,5,527,5,20095,117
73,125,1000,0.5,400,3,531,5,20095,117
74,125,1000,0.5,400,1,535,5,20095,117
75,125,1000,0.5,800,5,550,10,20062,556
76,125,1000,0.5,800,3,554,10,20062,556
77,125,1000,0.5,800,1,558,10,20062,556
78,125,1000,0.5,1200,5,564,15,19987,427
79,125,1000,0.5,1200,3,568,15,19987,427
80,125,1000,0.5,800,5,569,9,19962,553
81,125,1000,0.5,400,5,571,6,19994,81
82,125,1000,0.5,1200,1,572,15,19987,427
83,125,1000,0.5,800,3,573,9,19962,553
84,125,1000,0.5,400,3,575,6,19994,81
85,125,1000,0.5,800,1,577,9,19962,553
86,125,1000,0.5,1200,5,577,10,20045,301
87,125,1000,0.5,400,1,579,6,19994,81
88,125,1000,0.5,400,5,579,4,19121,22
89,125,1000,0.5,1200,3,581,10,20045,301
90,125,1000,0.5,400,3,583,4,19121,22
91,125,1000,0.5,1200,5,584,8,19382,351
92,125,1000,0.5,1200,1,585,11,20045,301
93,125,1000,0.5,1200,5,587,14,20166,304
94,125,1000,0.5,400,1,587,4,19121,22
95,125,1000,0.5,1200,3,588,8,19382,351
96,125,1000,0.5,1200,1,592,8,19382,351
97,125,1000,0.5,1200,3,592,13,20166,304
98,125,1000,0.5,1200,1,596,13,20166,304
99,125,1000,0.5,1200,5,664,8,19109,217
100,125,1000,0.5,1200,3,668,8,19109,217
101,125,1000,0.5,1200,1,672,8,19109,217
102,125,1000,0.5,400,5,714,4,19847,337
103,125,1000,0.5,400,3,734,4,19847,337
104,125,1000,0.5,400,1,738,4,19847,337
105,125,1000,0.5,400,5,748,3,20303,371
106,125,1000,0.5,1200,5,751,12,19821,302
107,125,1000,0.5,400,3,752,3,20303,371
108,125,1000,0.5,1200,3,755,12,19821,302
109,125,1000,0.5,400,1,756,3,20303,371
110,125,1000,0.5,1200,1,759,12,19821,302
111,125,1000,0.5,200,5,760,3,19386,74
112,125,1000,0.5,200,5,763,3,19812,150
113,125,1000,0.5,200,3,764,3,19386,74
114,125,1000,0.5,200,3,767,3,19812,150
115,125,1000,0.5,200,1,768,3,19386,74
116,125,1000,0.5,200,1,771,3,19812,150
117,125,1000,0.5,200,5,849,4,19613,87
118,125,1000,0.5,200,3,853,4,19613,87
119,125,1000,0.5,200,1,857,4,19613,87
120,125,1000,0.5,800,5,989,4,19809,196
121,125,1000,0.5,800,3,993,4,19809,196
122,125,1000,0.5,800,1,997,4,19809,196
123,125,1000,0.5,200,5,1001,3,19797,52
124,125,1000,0.5,200,3,1005,3,19797,52
125,125,1000,0.5,800,5,1006,6,19673,393
126,125,1000,0.5,200,1,1009,3,19797,52
127,125,1000,0.5,800,3,1010,6,19673,393
128,125,1000,0.5,800,1,1014,6,19673,393
129,125,1000,0.5,800,5,1018,4,19678,564
130,125,1000,0.5,800,3,1022,4,19678,564
131,125,1000,0.5,800,1,1026,5,19678,564
132,125,1000,0.5,400,5,1097,5,19759,395
133,125,1000,0.5,400,3,1099,5,19759,395
134,125,1000,0.5,800,5,1434,10,19791,552
135,125,1000,0.5,800,3,1438,10,19791,552
136,125,1000,0.5,800,1,1442,10,19791,552
137,125,1000,0.5,800,5,1594,8,19535,426
138,125,1000,0.5,800,3,1598,8,19535,426
139,125,1000,0.5,800,1,1602,8,19535,426
140,125,1000,0.5,200,1,2061,4,19815,3
141,125,1000,0.5,200,3,2061,4,19815,3
142,125,1000,0.5,200,5,2061,4,19815,3
143,125,1000,0.5,200,5,2275,4,20235,173
144,125,1000,0.5,200,3,2278,4,20235,173
145,125,1000,0.5,200,1,2282,4,20235,173
