,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,500,0.5,200,5,119,3,20099,38
1,125,500,0.5,400,5,122,5,20128,28
2,125,500,0.5,200,3,123,3,20099,38
3,125,500,0.5,200,1,127,3,20099,38
4,125,500,0.5,800,5,130,8,20099,569
5,125,500,0.5,800,3,134,8,20099,569
6,125,500,0.5,800,1,138,8,20099,569
7,125,500,0.5,200,5,154,5,19897,148
8,125,500,0.5,200,3,156,5,19897,148
9,125,500,0.5,800,5,157,11,19913,249
10,125,500,0.5,200,1,159,5,19897,148
11,125,500,0.5,800,3,161,11,19913,249
12,125,500,0.5,400,5,163,5,20432,90
13,125,500,0.5,800,1,165,12,19913,249
14,125,500,0.5,400,3,167,5,20432,90
15,125,500,0.5,1200,5,167,10,19865,687
16,125,500,0.5,400,5,167,6,19723,214
17,125,500,0.5,1200,3,168,10,19865,687
18,125,500,0.5,1200,1,170,10,19865,687
19,125,500,0.5,400,1,171,5,20432,90
20,125,500,0.5,400,3,171,6,19723,214
21,125,500,0.5,1200,5,178,18,19550,473
22,125,500,0.5,800,5,180,7,19462,67
23,125,500,0.5,1200,3,182,18,19550,473
24,125,500,0.5,1200,5,183,11,19357,126
25,125,500,0.5,800,3,184,6,19462,67
26,125,500,0.5,1200,1,186,18,19550,473
27,125,500,0.5,1200,3,187,12,19357,126
28,125,500,0.5,800,1,188,6,19462,67
29,125,500,0.5,1200,1,191,12,19357,126
30,125,500,0.5,1200,5,193,9,19474,645
31,125,500,0.5,1200,3,197,9,19474,645
32,125,500,0.5,1200,1,201,9,19474,645
33,125,500,0.5,400,5,218,5,19591,307
34,125,500,0.5,400,3,222,5,19591,307
35,125,500,0.5,400,1,226,5,19591,307
36,125,500,0.5,1200,5,227,10,19821,368
37,125,500,0.5,1200,5,229,12,19536,345
38,125,500,0.5,1200,3,231,10,19821,368
39,125,500,0.5,800,5,233,10,20638,679
40,125,500,0.5,1200,1,235,10,19821,368
41,125,500,0.5,800,3,237,10,20638,679
42,125,500,0.5,1200,5,249,11,19741,330
43,125,500,0.5,200,5,250,5,19993,77
44,125,500,0.5,1200,3,253,11,19741,330
45,125,500,0.5,1200,1,257,11,19741,330
46,125,500,0.5,1200,5,261,7,19536,246
47,125,500,0.5,1200,3,265,8,19536,246
48,125,500,0.5,1200,1,269,8,19536,246
49,125,500,0.5,400,5,282,4,19919,198
50,125,500,0.5,400,3,286,4,19919,198
51,125,500,0.5,400,1,290,4,19919,198
52,125,500,0.5,800,5,294,12,19549,540
53,125,500,0.5,400,5,302,3,19656,259
54,125,500,0.5,400,3,306,3,19656,259
55,125,500,0.5,1200,3,308,13,19536,345
56,125,500,0.5,400,1,310,3,19656,259
57,125,500,0.5,1200,1,312,13,19536,345
58,125,500,0.5,800,5,316,5,19994,430
59,125,500,0.5,1200,5,317,12,19733,683
60,125,500,0.5,1200,3,321,12,19733,683
61,125,500,0.5,1200,1,325,12,19733,683
62,125,500,0.5,400,5,328,5,20023,106
63,125,500,0.5,400,3,330,5,20023,106
64,125,500,0.5,400,1,332,5,20023,106
65,125,500,0.5,800,3,354,5,19994,430
66,125,500,0.5,800,1,358,5,19994,430
67,125,500,0.5,800,3,364,9,19549,540
68,125,500,0.5,800,1,366,9,19549,540
69,125,500,0.5,400,5,369,6,19524,144
70,125,500,0.5,400,3,373,6,19524,144
71,125,500,0.5,400,1,377,6,19524,144
72,125,500,0.5,1200,5,395,14,19753,475
73,125,500,0.5,1200,3,399,14,19753,475
74,125,500,0.5,400,5,401,5,19949,394
75,125,500,0.5,400,3,403,5,19949,394
76,125,500,0.5,1200,1,403,14,19753,475
77,125,500,0.5,400,5,428,9,19199,335
78,125,500,0.5,400,3,432,9,19199,335
79,125,500,0.5,800,5,434,9,19989,465
80,125,500,0.5,400,1,436,9,19199,335
81,125,500,0.5,800,3,438,9,19989,465
82,125,500,0.5,1200,5,439,13,20076,614
83,125,500,0.5,1200,3,441,13,20076,614
84,125,500,0.5,800,1,442,8,19989,465
85,125,500,0.5,1200,1,443,13,20076,614
86,125,500,0.5,1200,5,453,12,20559,933
87,125,500,0.5,1200,3,457,12,20559,933
88,125,500,0.5,1200,1,461,12,20559,933
89,125,500,0.5,800,5,481,9,19983,554
90,125,500,0.5,200,3,482,4,19993,77
91,125,500,0.5,800,3,485,9,19983,554
92,125,500,0.5,200,1,486,4,19993,77
93,125,500,0.5,800,1,489,9,19983,554
94,125,500,0.5,800,5,490,6,20023,153
95,125,500,0.5,800,3,494,6,20023,153
96,125,500,0.5,800,1,498,6,20023,153
97,125,500,0.5,800,5,499,8,20110,674
98,125,500,0.5,800,3,501,8,20110,674
99,125,500,0.5,800,1,504,8,20110,674
100,125,500,0.5,800,5,521,8,19999,226
101,125,500,0.5,800,3,523,8,19999,226
102,125,500,0.5,800,1,525,8,19999,226
103,125,500,0.5,800,5,585,7,20021,436
104,125,500,0.5,800,3,587,7,20021,436
105,125,500,0.5,800,1,589,7,20021,436
106,125,500,0.5,1200,5,626,12,19951,1028
107,125,500,0.5,1200,3,630,12,19951,1028
108,125,500,0.5,400,5,632,4,19759,162
109,125,500,0.5,1200,1,634,12,19951,1028
