,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,62.5,0.5,800,5,0,6,20120,262
1,125,62.5,0.5,400,5,0,2,19253,75
2,125,62.5,0.5,1200,5,0,6,19032,179
3,125,62.5,0.5,1200,5,0,10,19421,289
4,125,62.5,0.5,400,5,0,3,20450,46
5,125,62.5,0.5,400,5,0,2,19902,61
6,125,62.5,0.5,1200,3,0,11,20841,1094
7,125,62.5,0.5,1200,5,0,11,20841,1094
8,125,62.5,0.5,1200,3,1,15,20389,464
9,125,62.5,0.5,1200,5,1,15,20389,464
10,125,62.5,0.5,200,5,61,6,19512,96
11,125,62.5,0.5,200,3,65,4,19512,96
