,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,62.6,62.5,0.5,1200,5,0,21,20185,819
1,62.6,62.5,0.5,400,5,0,11,19253,75
2,62.6,62.5,0.5,200,3,0,4,20262,111
3,62.6,62.5,0.5,200,5,0,4,20262,111
4,62.6,62.5,0.5,200,3,0,4,19687,137
5,62.6,62.5,0.5,200,5,0,4,19687,137
6,62.6,62.5,0.5,200,5,0,5,20063,153
7,62.6,62.5,0.5,1200,5,0,17,20130,367
8,62.6,62.5,0.5,1200,5,0,22,20368,550
9,62.6,62.5,0.5,800,3,0,22,20334,600
10,62.6,62.5,0.5,800,5,0,22,20334,600
11,62.6,62.5,0.5,400,3,21,10,19253,75
12,62.6,62.5,0.5,800,5,31,15,20143,439
13,62.6,62.5,0.5,400,1,36,10,19253,75
14,62.6,62.5,0.5,800,5,44,14,19891,696
15,62.6,62.5,0.5,800,3,46,16,20143,439
16,62.6,62.5,0.5,800,3,46,13,19891,696
