,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,250,500,0.5,800,5,71,4,19726,259
1,250,500,0.5,800,3,75,4,19726,259
2,250,500,0.5,400,5,82,6,20354,331
3,250,500,0.5,800,1,84,4,19726,259
4,250,500,0.5,400,3,86,6,20354,331
5,250,500,0.5,400,1,90,6,20354,331
6,250,500,0.5,200,5,261,3,19848,95
7,250,500,0.5,200,3,265,3,19848,95
8,250,500,0.5,200,1,269,3,19848,95
9,250,500,0.5,800,5,291,9,20008,579
10,250,500,0.5,800,3,295,9,20008,579
11,250,500,0.5,800,1,299,9,20008,579
12,250,500,0.5,400,5,459,3,19318,37
13,250,500,0.5,400,3,461,3,19318,37
14,250,500,0.5,400,1,463,3,19318,37
15,250,500,0.5,400,5,517,3,20184,156
16,250,500,0.5,400,3,521,3,20184,156
17,250,500,0.5,400,1,525,3,20184,156
