,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,62.6,1000,0.5,800,1,0,11,20056,277
1,62.6,1000,0.5,800,3,0,11,20056,277
2,62.6,1000,0.5,800,5,0,11,20056,277
3,62.6,1000,0.5,1200,5,4,26,19266,584
4,62.6,1000,0.5,1200,3,8,26,19266,584
5,62.6,1000,0.5,1200,5,13,16,20194,856
6,62.6,1000,0.5,1200,3,17,17,20194,856
7,62.6,1000,0.5,1200,1,21,17,20194,856
8,62.6,1000,0.5,200,5,36,6,20391,193
9,62.6,1000,0.5,200,3,38,6,20391,193
10,62.6,1000,0.5,1200,1,40,27,19266,584
11,62.6,1000,0.5,1200,5,100,20,21408,1007
12,62.6,1000,0.5,400,5,103,16,19622,6
13,62.6,1000,0.5,1200,3,104,21,21408,1007
14,62.6,1000,0.5,800,5,105,9,20064,282
15,62.6,1000,0.5,400,3,106,16,19622,6
16,62.6,1000,0.5,1200,1,108,22,21408,1007
17,62.6,1000,0.5,800,3,109,9,20064,282
18,62.6,1000,0.5,400,1,110,15,19622,6
19,62.6,1000,0.5,1200,5,112,17,20560,653
20,62.6,1000,0.5,400,5,113,5,19318,37
21,62.6,1000,0.5,800,1,113,8,20064,282
22,62.6,1000,0.5,400,3,117,5,19318,37
23,62.6,1000,0.5,400,1,121,5,19318,37
24,62.6,1000,0.5,1200,5,128,22,19700,237
25,62.6,1000,0.5,200,5,129,4,20290,6
26,62.6,1000,0.5,800,5,130,14,19726,259
27,62.6,1000,0.5,1200,5,130,22,18997,26
28,62.6,1000,0.5,200,3,131,4,20290,6
29,62.6,1000,0.5,800,3,132,14,19726,259
30,62.6,1000,0.5,1200,3,132,22,18997,26
31,62.6,1000,0.5,400,5,132,11,19835,203
32,62.6,1000,0.5,800,1,134,15,19726,259
33,62.6,1000,0.5,1200,1,134,22,18997,26
34,62.6,1000,0.5,400,5,141,10,19811,277
35,62.6,1000,0.5,400,5,143,6,20145,187
36,62.6,1000,0.5,1200,5,144,21,20271,237
37,62.6,1000,0.5,400,3,145,9,19811,277
38,62.6,1000,0.5,200,5,147,6,20329,9
39,62.6,1000,0.5,800,5,147,11,20381,611
40,62.6,1000,0.5,400,3,147,6,20145,187
41,62.6,1000,0.5,1200,3,148,21,20271,237
42,62.6,1000,0.5,800,3,151,11,20381,611
43,62.6,1000,0.5,400,1,151,6,20145,187
44,62.6,1000,0.5,1200,1,152,20,20271,237
45,62.6,1000,0.5,800,1,155,11,20381,611
46,62.6,1000,0.5,1200,5,161,16,20112,539
47,62.6,1000,0.5,400,5,164,7,19219,187
48,62.6,1000,0.5,200,5,165,4,20111,120
49,62.6,1000,0.5,400,3,166,7,19219,187
50,62.6,1000,0.5,200,3,167,4,20111,120
51,62.6,1000,0.5,400,1,168,7,19219,187
52,62.6,1000,0.5,200,1,169,4,20111,120
53,62.6,1000,0.5,800,5,178,17,19999,389
54,62.6,1000,0.5,800,3,182,17,19999,389
55,62.6,1000,0.5,800,5,187,17,19843,162
56,62.6,1000,0.5,400,5,189,5,19514,9
57,62.6,1000,0.5,800,3,191,17,19843,162
58,62.6,1000,0.5,1200,5,192,19,20379,346
59,62.6,1000,0.5,800,1,195,17,19843,162
60,62.6,1000,0.5,1200,3,196,18,20379,346
61,62.6,1000,0.5,800,5,197,16,19919,158
62,62.6,1000,0.5,1200,5,197,21,20740,1023
63,62.6,1000,0.5,800,5,198,18,20008,579
64,62.6,1000,0.5,1200,1,200,17,20379,346
65,62.6,1000,0.5,800,3,201,16,19919,158
66,62.6,1000,0.5,1200,3,201,21,20740,1023
67,62.6,1000,0.5,1200,5,201,21,19269,100
68,62.6,1000,0.5,400,5,202,8,19799,389
69,62.6,1000,0.5,800,3,202,18,20008,579
70,62.6,1000,0.5,400,5,202,9,20354,331
71,62.6,1000,0.5,800,1,205,16,19919,158
72,62.6,1000,0.5,1200,1,205,23,20740,1023
73,62.6,1000,0.5,1200,3,205,21,19269,100
74,62.6,1000,0.5,800,1,206,19,20008,579
75,62.6,1000,0.5,400,3,206,9,20354,331
76,62.6,1000,0.5,400,5,208,9,19889,286
77,62.6,1000,0.5,400,1,210,9,20354,331
78,62.6,1000,0.5,400,3,212,9,19889,286
79,62.6,1000,0.5,200,5,228,3,20222,190
80,62.6,1000,0.5,400,5,230,11,20263,109
81,62.6,1000,0.5,1200,5,231,19,20021,554
82,62.6,1000,0.5,400,3,234,11,20263,109
83,62.6,1000,0.5,1200,3,235,18,20021,554
84,62.6,1000,0.5,400,1,238,11,20263,109
85,62.6,1000,0.5,1200,1,239,18,20021,554
86,62.6,1000,0.5,200,5,243,3,19018,162
87,62.6,1000,0.5,200,3,245,3,19018,162
88,62.6,1000,0.5,200,1,248,3,19018,162
89,62.6,1000,0.5,400,5,249,8,20320,146
90,62.6,1000,0.5,400,3,253,8,20320,146
91,62.6,1000,0.5,1200,5,254,20,19586,125
92,62.6,1000,0.5,200,5,255,5,20163,127
93,62.6,1000,0.5,400,1,257,8,20320,146
94,62.6,1000,0.5,200,5,257,6,20575,119
95,62.6,1000,0.5,1200,3,258,20,19586,125
96,62.6,1000,0.5,1200,5,258,25,19279,591
97,62.6,1000,0.5,200,3,259,5,20163,127
98,62.6,1000,0.5,200,3,261,6,20575,119
99,62.6,1000,0.5,1200,1,262,20,19586,125
100,62.6,1000,0.5,1200,3,262,25,19279,591
101,62.6,1000,0.5,200,1,263,5,20163,127
102,62.6,1000,0.5,200,1,265,6,20575,119
103,62.6,1000,0.5,1200,5,273,14,19813,467
104,62.6,1000,0.5,1200,3,277,14,19813,467
105,62.6,1000,0.5,1200,5,280,19,20119,353
106,62.6,1000,0.5,1200,1,281,14,19813,467
107,62.6,1000,0.5,1200,5,284,19,19707,418
108,62.6,1000,0.5,200,5,284,3,18985,100
109,62.6,1000,0.5,1200,3,284,19,20119,353
110,62.6,1000,0.5,1200,5,285,26,20429,828
111,62.6,1000,0.5,1200,3,286,19,19707,418
112,62.6,1000,0.5,1200,1,288,19,19707,418
113,62.6,1000,0.5,200,3,288,3,18985,100
114,62.6,1000,0.5,1200,1,288,19,20119,353
115,62.6,1000,0.5,1200,3,289,26,20429,828
116,62.6,1000,0.5,1200,5,290,19,19733,584
117,62.6,1000,0.5,200,1,292,3,18985,100
118,62.6,1000,0.5,1200,1,293,26,20429,828
119,62.6,1000,0.5,1200,3,294,19,19733,584
120,62.6,1000,0.5,1200,5,297,15,19482,319
121,62.6,1000,0.5,1200,1,298,19,19733,584
122,62.6,1000,0.5,800,5,300,10,20001,307
123,62.6,1000,0.5,1200,3,301,15,19482,319
124,62.6,1000,0.5,800,3,304,10,20001,307
125,62.6,1000,0.5,1200,1,305,15,19482,319
126,62.6,1000,0.5,800,1,308,10,20001,307
127,62.6,1000,0.5,1200,5,320,23,9118,60
128,62.6,1000,0.5,1200,3,324,22,9118,60
129,62.6,1000,0.5,1200,1,328,22,9118,60
130,62.6,1000,0.5,400,5,329,9,19798,133
131,62.6,1000,0.5,400,3,333,9,19798,133
132,62.6,1000,0.5,400,5,335,4,20002,337
133,62.6,1000,0.5,400,1,337,9,19798,133
134,62.6,1000,0.5,400,3,339,4,20002,337
135,62.6,1000,0.5,800,5,341,16,20258,393
136,62.6,1000,0.5,400,1,343,4,20002,337
137,62.6,1000,0.5,800,3,345,16,20258,393
138,62.6,1000,0.5,400,5,346,9,20239,245
139,62.6,1000,0.5,800,5,348,20,20259,592
140,62.6,1000,0.5,800,1,349,16,20258,393
141,62.6,1000,0.5,400,3,350,9,20239,245
142,62.6,1000,0.5,800,3,352,19,20259,592
143,62.6,1000,0.5,400,1,354,9,20239,245
144,62.6,1000,0.5,800,1,356,19,20259,592
145,62.6,1000,0.5,1200,5,358,28,19852,180
146,62.6,1000,0.5,400,5,359,8,19338,253
147,62.6,1000,0.5,1200,3,362,29,19852,180
148,62.6,1000,0.5,400,3,363,8,19338,253
149,62.6,1000,0.5,800,5,364,21,20076,580
150,62.6,1000,0.5,1200,1,366,29,19852,180
151,62.6,1000,0.5,400,1,367,8,19338,253
152,62.6,1000,0.5,800,3,368,21,20076,580
153,62.6,1000,0.5,800,1,372,21,20076,580
154,62.6,1000,0.5,200,5,373,4,19744,93
155,62.6,1000,0.5,1200,5,375,23,20099,618
156,62.6,1000,0.5,1200,5,375,14,20937,917
157,62.6,1000,0.5,200,3,377,4,19744,93
158,62.6,1000,0.5,400,5,379,7,20331,228
159,62.6,1000,0.5,1200,3,379,23,20099,618
160,62.6,1000,0.5,1200,3,379,14,20937,917
161,62.6,1000,0.5,200,1,381,4,19744,93
162,62.6,1000,0.5,1200,1,383,23,20099,618
163,62.6,1000,0.5,1200,1,383,15,20937,917
