,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,500,1,1200,5,59,12,19869,787
1,125,500,1,1200,3,63,11,19869,787
2,125,500,1,1200,1,67,11,19869,787
3,125,500,1,200,5,74,5,20777,89
4,125,500,1,200,3,78,5,20777,89
5,125,500,1,200,1,83,4,20777,89
6,125,500,1,1200,5,102,19,19933,205
7,125,500,1,1200,3,104,19,19933,205
8,125,500,1,1200,1,107,19,19933,205
9,125,500,1,200,5,124,4,10258,168
10,125,500,1,200,3,125,4,10258,168
11,125,500,1,200,1,128,4,10258,168
12,125,500,1,400,5,139,3,19941,276
13,125,500,1,400,5,179,4,20121,118
14,125,500,1,1200,5,181,12,20219,1004
15,125,500,1,400,3,183,4,20121,118
16,125,500,1,1200,3,185,12,20219,1004
17,125,500,1,400,1,187,4,20121,118
18,125,500,1,1200,1,189,13,20219,1004
19,125,500,1,800,5,206,6,19504,458
20,125,500,1,800,3,210,6,19504,458
21,125,500,1,200,5,220,6,19707,88
22,125,500,1,200,3,224,6,19707,88
23,125,500,1,800,5,225,8,20040,656
24,125,500,1,200,1,228,6,19707,88
25,125,500,1,800,3,229,7,20040,656
26,125,500,1,1200,5,233,11,20684,688
27,125,500,1,800,1,233,7,20040,656
28,125,500,1,1200,3,237,11,20684,688
29,125,500,1,1200,5,239,6,20602,828
30,125,500,1,1200,3,240,6,20602,828
31,125,500,1,1200,1,241,10,20684,688
32,125,500,1,1200,1,241,6,20602,828
33,125,500,1,1200,5,242,15,20677,734
34,125,500,1,1200,3,246,15,20677,734
35,125,500,1,1200,1,250,15,20677,734
36,125,500,1,1200,5,265,11,20829,1182
37,125,500,1,1200,3,269,12,20829,1182
38,125,500,1,400,5,272,6,20069,304
39,125,500,1,1200,1,273,13,20829,1182
40,125,500,1,400,3,274,6,20069,304
41,125,500,1,400,1,276,6,20069,304
42,125,500,1,1200,5,328,13,19285,199
43,125,500,1,1200,3,332,12,19285,199
44,125,500,1,1200,1,336,12,19285,199
45,125,500,1,800,5,346,9,20469,664
46,125,500,1,800,5,347,9,20568,737
47,125,500,1,800,3,350,9,20469,664
48,125,500,1,1200,5,351,16,20098,776
49,125,500,1,800,3,351,9,20568,737
50,125,500,1,1200,3,355,15,20098,776
51,125,500,1,800,1,355,9,20568,737
52,125,500,1,1200,1,359,15,20098,776
53,125,500,1,800,5,439,10,19954,111
54,125,500,1,800,3,443,10,19954,111
55,125,500,1,800,1,447,10,19954,111
56,125,500,1,400,5,448,5,20272,56
57,125,500,1,400,3,452,5,20272,56
58,125,500,1,400,1,456,5,20272,56
59,125,500,1,1200,5,489,15,19896,248
60,125,500,1,1200,3,493,17,19896,248
61,125,500,1,1200,1,497,15,19896,248
62,125,500,1,400,5,541,3,19631,243
63,125,500,1,400,3,543,3,19631,243
64,125,500,1,400,1,546,3,19631,243
65,125,500,1,800,5,634,11,20039,110
66,125,500,1,800,3,638,11,20039,110
67,125,500,1,800,1,642,11,20039,110
68,125,500,1,1200,5,661,13,20212,787
69,125,500,1,1200,3,665,13,20212,787
70,125,500,1,1200,1,669,13,20212,787
71,125,500,1,200,5,701,5,19405,18
72,125,500,1,200,3,704,5,19405,18
73,125,500,1,200,1,708,5,19405,18
