,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,62.6,500,1,800,1,0,19,19469,51
1,62.6,500,1,800,3,0,19,19469,51
2,62.6,500,1,800,5,0,19,19469,51
3,62.6,500,1,1200,1,0,27,20219,1004
4,62.6,500,1,1200,3,0,27,20219,1004
5,62.6,500,1,1200,5,0,27,20219,1004
6,62.6,500,1,800,5,50,19,19717,477
7,62.6,500,1,800,3,54,18,19717,477
8,62.6,500,1,800,1,58,18,19717,477
9,62.6,500,1,800,5,66,9,20469,664
10,62.6,500,1,1200,5,91,24,19648,765
11,62.6,500,1,1200,3,95,24,19648,765
12,62.6,500,1,1200,5,95,15,19884,417
13,62.6,500,1,1200,3,97,15,19884,417
14,62.6,500,1,1200,1,99,24,19648,765
15,62.6,500,1,800,5,100,18,20078,376
16,62.6,500,1,800,3,104,18,20078,376
17,62.6,500,1,800,1,108,18,20078,376
18,62.6,500,1,800,5,115,13,19280,21
19,62.6,500,1,1200,5,119,23,19492,496
20,62.6,500,1,1200,3,123,22,19492,496
21,62.6,500,1,200,5,124,5,20256,96
22,62.6,500,1,800,5,125,10,20731,664
23,62.6,500,1,1200,1,127,22,19492,496
24,62.6,500,1,200,3,128,5,20256,96
25,62.6,500,1,1200,5,129,30,20684,688
26,62.6,500,1,800,3,129,11,20731,664
27,62.6,500,1,1200,5,129,24,19959,682
28,62.6,500,1,1200,1,129,15,19884,417
29,62.6,500,1,1200,3,130,31,20684,688
30,62.6,500,1,1200,1,132,31,20684,688
31,62.6,500,1,200,1,132,5,20256,96
32,62.6,500,1,800,1,133,12,20731,664
33,62.6,500,1,1200,3,133,24,19959,682
34,62.6,500,1,200,1,135,4,19188,133
35,62.6,500,1,200,3,135,4,19188,133
36,62.6,500,1,200,5,135,4,19188,133
37,62.6,500,1,400,5,135,7,19631,243
38,62.6,500,1,400,3,139,6,19631,243
39,62.6,500,1,800,3,141,13,19280,21
40,62.6,500,1,1200,5,143,18,20248,803
41,62.6,500,1,400,1,143,6,19631,243
42,62.6,500,1,1200,3,145,18,20248,803
43,62.6,500,1,800,1,145,12,19280,21
44,62.6,500,1,1200,1,149,17,20248,803
45,62.6,500,1,1200,5,166,24,19285,199
46,62.6,500,1,1200,3,170,24,19285,199
47,62.6,500,1,1200,1,174,24,19285,199
48,62.6,500,1,400,5,186,7,19941,276
49,62.6,500,1,1200,5,187,24,19103,282
50,62.6,500,1,200,5,188,5,20267,103
51,62.6,500,1,400,5,189,7,20130,337
52,62.6,500,1,400,5,189,6,19808,217
53,62.6,500,1,400,3,190,7,19941,276
54,62.6,500,1,1200,3,191,24,19103,282
55,62.6,500,1,200,3,192,5,20267,103
56,62.6,500,1,400,3,193,7,20130,337
57,62.6,500,1,400,3,193,6,19808,217
58,62.6,500,1,400,1,194,7,19941,276
59,62.6,500,1,1200,1,195,24,19103,282
60,62.6,500,1,200,1,196,5,20267,103
61,62.6,500,1,400,1,197,7,20130,337
62,62.6,500,1,400,1,197,6,19808,217
63,62.6,500,1,1200,5,225,19,20651,641
64,62.6,500,1,1200,3,229,19,20651,641
65,62.6,500,1,1200,1,233,19,20651,641
66,62.6,500,1,200,5,244,6,20009,120
67,62.6,500,1,200,3,248,6,20009,120
68,62.6,500,1,400,5,251,6,19852,169
69,62.6,500,1,200,1,252,6,20009,120
70,62.6,500,1,1200,3,253,29,18652,6
71,62.6,500,1,1200,5,253,29,18652,6
72,62.6,500,1,1200,1,254,29,18652,6
73,62.6,500,1,400,3,255,6,19852,169
74,62.6,500,1,400,5,256,7,19994,67
75,62.6,500,1,400,3,260,7,19994,67
76,62.6,500,1,400,5,262,7,20478,361
77,62.6,500,1,400,1,264,7,19994,67
78,62.6,500,1,400,3,266,7,20478,361
79,62.6,500,1,400,1,270,7,20478,361
80,62.6,500,1,200,5,289,7,20018,166
81,62.6,500,1,200,3,291,7,20018,166
82,62.6,500,1,200,5,293,4,19986,119
83,62.6,500,1,200,1,294,7,20018,166
84,62.6,500,1,1200,5,295,19,19791,682
85,62.6,500,1,200,3,295,4,19986,119
86,62.6,500,1,1200,3,299,19,19791,682
87,62.6,500,1,200,1,299,5,19986,119
88,62.6,500,1,1200,1,303,18,19791,682
89,62.6,500,1,400,5,343,10,20003,144
90,62.6,500,1,400,3,347,10,20003,144
91,62.6,500,1,800,5,349,15,19758,406
92,62.6,500,1,400,1,351,10,20003,144
93,62.6,500,1,800,3,353,15,19758,406
94,62.6,500,1,200,5,356,6,20777,89
95,62.6,500,1,800,1,357,14,19758,406
96,62.6,500,1,200,3,360,6,20777,89
97,62.6,500,1,200,1,364,6,20777,89
98,62.6,500,1,800,5,371,7,20034,652
99,62.6,500,1,1200,5,371,19,19944,29
100,62.6,500,1,800,3,375,7,20034,652
101,62.6,500,1,1200,3,375,21,19944,29
102,62.6,500,1,800,5,376,14,19695,154
103,62.6,500,1,800,1,379,7,20034,652
104,62.6,500,1,1200,1,379,22,19944,29
105,62.6,500,1,800,3,380,14,19695,154
106,62.6,500,1,800,1,384,14,19695,154
107,62.6,500,1,400,5,385,9,19778,202
108,62.6,500,1,400,3,389,9,19778,202
109,62.6,500,1,400,1,393,9,19778,202
110,62.6,500,1,800,5,398,13,20206,301
111,62.6,500,1,800,3,402,13,20206,301
112,62.6,500,1,800,1,406,13,20206,301
113,62.6,500,1,400,5,406,7,19380,55
114,62.6,500,1,400,3,410,7,19380,55
115,62.6,500,1,200,5,411,4,20053,179
116,62.6,500,1,200,3,413,4,20053,179
117,62.6,500,1,400,1,414,7,19380,55
118,62.6,500,1,200,1,415,4,20053,179
119,62.6,500,1,200,5,418,5,20389,57
120,62.6,500,1,200,3,422,5,20389,57
121,62.6,500,1,800,5,425,18,20358,445
122,62.6,500,1,200,1,426,5,20389,57
123,62.6,500,1,800,3,429,18,20358,445
124,62.6,500,1,800,1,433,19,20358,445
125,62.6,500,1,1200,5,467,21,20162,206
126,62.6,500,1,1200,3,469,21,20162,206
127,62.6,500,1,1200,1,471,21,20162,206
128,62.6,500,1,1200,5,472,24,20135,625
129,62.6,500,1,1200,3,476,24,20135,625
130,62.6,500,1,1200,1,480,24,20135,625
131,62.6,500,1,800,5,486,13,20012,550
132,62.6,500,1,800,3,488,14,20012,550
133,62.6,500,1,800,1,490,14,20012,550
