,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,1000,1,1200,5,58,8,19032,179
1,125,1000,1,1200,3,62,8,19032,179
2,125,1000,1,1200,1,66,8,19032,179
3,125,1000,1,800,5,90,6,19713,153
4,125,1000,1,800,3,92,6,19713,153
5,125,1000,1,800,1,94,6,19713,153
6,125,1000,1,200,5,134,3,20566,123
7,125,1000,1,200,3,138,3,20566,123
8,125,1000,1,1200,5,140,11,19311,137
9,125,1000,1,200,1,142,3,20566,123
10,125,1000,1,1200,3,144,11,19311,137
11,125,1000,1,400,5,223,4,20202,162
12,125,1000,1,400,3,227,4,20202,162
13,125,1000,1,400,1,231,4,20202,162
14,125,1000,1,200,5,244,3,19488,98
15,125,1000,1,200,3,248,3,19488,98
16,125,1000,1,200,1,252,3,19488,98
17,125,1000,1,800,5,268,4,19900,194
18,125,1000,1,800,3,272,4,19900,194
19,125,1000,1,800,1,276,4,19900,194
20,125,1000,1,1200,1,277,12,19311,137
21,125,1000,1,200,5,301,4,20477,161
22,125,1000,1,1200,5,303,6,20203,780
23,125,1000,1,1200,5,305,15,19703,383
24,125,1000,1,200,3,305,4,20477,161
25,125,1000,1,1200,3,307,5,20203,780
26,125,1000,1,200,5,309,5,20509,112
27,125,1000,1,1200,3,309,15,19703,383
28,125,1000,1,200,1,309,4,20477,161
29,125,1000,1,1200,1,311,5,20203,780
30,125,1000,1,200,3,313,5,20509,112
31,125,1000,1,1200,1,313,15,19703,383
32,125,1000,1,800,5,316,11,19938,353
33,125,1000,1,200,1,317,5,20509,112
34,125,1000,1,800,3,320,11,19938,353
35,125,1000,1,800,1,324,11,19938,353
36,125,1000,1,1200,5,329,12,20179,293
37,125,1000,1,1200,3,333,12,20179,293
38,125,1000,1,1200,1,337,11,20179,293
39,125,1000,1,800,5,352,5,19601,610
40,125,1000,1,800,3,356,6,19601,610
41,125,1000,1,800,1,360,6,19601,610
42,125,1000,1,1200,5,401,8,19307,585
43,125,1000,1,1200,3,405,8,19307,585
44,125,1000,1,1200,1,409,8,19307,585
45,125,1000,1,1200,5,428,11,19421,289
46,125,1000,1,1200,5,428,11,19899,384
47,125,1000,1,1200,3,430,11,19421,289
48,125,1000,1,1200,1,432,11,19421,289
49,125,1000,1,1200,3,432,11,19899,384
50,125,1000,1,1200,1,436,11,19899,384
51,125,1000,1,200,5,463,3,19179,39
52,125,1000,1,200,3,467,3,19179,39
53,125,1000,1,800,5,470,8,19835,259
54,125,1000,1,200,1,471,3,19179,39
55,125,1000,1,800,3,474,8,19835,259
56,125,1000,1,800,5,474,10,19634,172
57,125,1000,1,800,1,478,8,19835,259
58,125,1000,1,800,3,478,10,19634,172
59,125,1000,1,800,1,482,10,19634,172
60,125,1000,1,1200,5,487,13,19988,746
61,125,1000,1,1200,3,491,14,19988,746
62,125,1000,1,1200,1,495,14,19988,746
63,125,1000,1,200,5,511,4,19512,96
64,125,1000,1,200,3,515,4,19512,96
65,125,1000,1,200,1,519,4,19512,96
66,125,1000,1,1200,5,542,9,19164,167
67,125,1000,1,1200,3,544,9,19164,167
68,125,1000,1,1200,1,546,9,19164,167
69,125,1000,1,1200,5,575,12,19470,524
70,125,1000,1,1200,3,579,12,19470,524
71,125,1000,1,1200,1,583,12,19470,524
72,125,1000,1,1200,5,616,14,20460,962
73,125,1000,1,1200,3,620,13,20460,962
74,125,1000,1,1200,1,624,13,20460,962
75,125,1000,1,800,5,647,8,20091,364
76,125,1000,1,800,3,651,8,20091,364
77,125,1000,1,800,1,655,8,20091,364
78,125,1000,1,800,5,670,6,19578,117
79,125,1000,1,800,3,674,6,19578,117
80,125,1000,1,800,1,678,6,19578,117
81,125,1000,1,1200,5,725,12,20068,218
82,125,1000,1,1200,3,729,12,20068,218
83,125,1000,1,1200,1,733,12,20068,218
84,125,1000,1,800,5,743,9,19652,196
85,125,1000,1,800,3,747,9,19652,196
86,125,1000,1,800,1,751,9,19652,196
87,125,1000,1,800,5,756,6,20334,600
88,125,1000,1,800,3,760,6,20334,600
89,125,1000,1,800,5,763,12,19997,106
90,125,1000,1,800,1,764,6,20334,600
91,125,1000,1,200,5,771,3,20646,73
92,125,1000,1,200,3,775,3,20646,73
93,125,1000,1,200,1,779,3,20646,73
94,125,1000,1,1200,5,794,13,20368,550
