,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,62.6,250,0.3,1200,3,0,24,19778,250
1,62.6,250,0.3,1200,5,0,24,19778,250
2,62.6,250,0.3,1200,1,21,21,19778,250
3,62.6,250,0.3,1200,5,27,24,20261,432
4,62.6,250,0.3,200,5,28,7,20519,83
5,62.6,250,0.3,1200,3,29,24,20261,432
6,62.6,250,0.3,1200,1,31,24,20261,432
7,62.6,250,0.3,200,3,32,7,20519,83
8,62.6,250,0.3,200,1,36,7,20519,83
9,62.6,250,0.3,800,5,70,13,19643,469
10,62.6,250,0.3,800,3,74,13,19643,469
11,62.6,250,0.3,800,1,78,14,19643,469
12,62.6,250,0.3,1200,5,81,31,19703,383
13,62.6,250,0.3,800,5,82,16,19891,696
14,62.6,250,0.3,1200,5,82,28,19883,30
15,62.6,250,0.3,1200,3,84,29,19883,30
16,62.6,250,0.3,1200,3,85,31,19703,383
17,62.6,250,0.3,800,3,86,15,19891,696
18,62.6,250,0.3,1200,1,86,28,19883,30
19,62.6,250,0.3,1200,1,89,29,19703,383
20,62.6,250,0.3,800,1,90,15,19891,696
21,62.6,250,0.3,800,5,109,17,20225,672
22,62.6,250,0.3,800,3,113,17,20225,672
23,62.6,250,0.3,800,1,117,17,20225,672
24,62.6,250,0.3,800,5,125,18,20577,729
25,62.6,250,0.3,800,3,129,18,20577,729
26,62.6,250,0.3,800,1,133,17,20577,729
27,62.6,250,0.3,1200,5,147,17,20120,482
28,62.6,250,0.3,400,5,156,8,19777,386
29,62.6,250,0.3,400,3,160,7,19777,386
30,62.6,250,0.3,800,5,162,20,19997,106
31,62.6,250,0.3,200,5,162,6,19994,81
32,62.6,250,0.3,400,1,164,8,19777,386
33,62.6,250,0.3,1200,5,164,22,20823,970
34,62.6,250,0.3,800,3,166,21,19997,106
35,62.6,250,0.3,200,3,166,5,19994,81
36,62.6,250,0.3,1200,3,168,20,20823,970
37,62.6,250,0.3,800,1,170,20,19997,106
38,62.6,250,0.3,1200,1,172,20,20823,970
39,62.6,250,0.3,1200,5,191,25,19909,875
40,62.6,250,0.3,200,5,191,6,20317,112
41,62.6,250,0.3,1200,3,195,27,19909,875
42,62.6,250,0.3,200,3,195,6,20317,112
43,62.6,250,0.3,200,1,199,6,20317,112
44,62.6,250,0.3,800,5,203,21,19835,259
45,62.6,250,0.3,800,3,205,21,19835,259
46,62.6,250,0.3,800,1,207,21,19835,259
47,62.6,250,0.3,400,5,214,10,19801,186
48,62.6,250,0.3,400,3,218,9,19801,186
49,62.6,250,0.3,400,1,222,8,19801,186
50,62.6,250,0.3,1200,3,232,23,20120,482
51,62.6,250,0.3,1200,1,236,23,20120,482
52,62.6,250,0.3,800,3,258,16,19731,127
53,62.6,250,0.3,800,5,258,16,19731,127
54,62.6,250,0.3,800,1,262,16,19731,127
55,62.6,250,0.3,800,5,280,14,20612,632
56,62.6,250,0.3,800,3,282,14,20612,632
57,62.6,250,0.3,1200,5,285,22,19181,23
58,62.6,250,0.3,1200,3,286,22,19181,23
59,62.6,250,0.3,800,1,286,14,20612,632
60,62.6,250,0.3,1200,1,288,22,19181,23
61,62.6,250,0.3,400,5,310,11,20006,245
62,62.6,250,0.3,400,3,312,11,20006,245
63,62.6,250,0.3,400,1,316,12,20006,245
64,62.6,250,0.3,1200,5,351,23,19454,184
65,62.6,250,0.3,1200,3,355,23,19454,184
66,62.6,250,0.3,1200,1,359,22,19454,184
67,62.6,250,0.3,1200,5,374,30,19311,137
