,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,500,1000,0.5,400,5,275,2,19622,6
1,500,1000,0.5,400,3,279,3,19622,6
2,500,1000,0.5,1200,5,458,5,19852,180
3,500,1000,0.5,1200,3,462,5,19852,180
4,500,1000,0.5,1200,5,861,5,20560,653
5,500,1000,0.5,1200,3,865,5,20560,653
6,500,1000,0.5,1200,1,869,5,20560,653
7,500,1000,0.5,1200,5,1445,6,19733,584
8,500,1000,0.5,1200,3,1449,6,19733,584
9,500,1000,0.5,1200,1,1453,6,19733,584
