,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,62.6,1000,1,200,5,38,3,20030,95
1,62.6,1000,1,200,3,42,3,20030,95
2,62.6,1000,1,200,1,46,3,20030,95
3,62.6,1000,1,800,5,46,20,9968,447
4,62.6,1000,1,400,5,49,4,20081,13
5,62.6,1000,1,800,3,50,21,9968,447
6,62.6,1000,1,400,3,51,4,20081,13
7,62.6,1000,1,800,1,54,21,9968,447
8,62.6,1000,1,400,1,55,4,20081,13
9,62.6,1000,1,200,5,75,4,20777,89
10,62.6,1000,1,200,3,79,4,20777,89
11,62.6,1000,1,200,1,83,4,20777,89
12,62.6,1000,1,200,5,87,7,19866,168
13,62.6,1000,1,1200,5,87,20,20219,1004
14,62.6,1000,1,200,3,91,7,19866,168
15,62.6,1000,1,1200,3,91,20,20219,1004
16,62.6,1000,1,200,1,95,7,19866,168
17,62.6,1000,1,1200,5,128,17,19791,682
18,62.6,1000,1,1200,3,130,17,19791,682
19,62.6,1000,1,1200,1,133,17,19791,682
20,62.6,1000,1,800,5,155,17,19469,51
21,62.6,1000,1,800,3,158,16,19469,51
22,62.6,1000,1,800,1,162,16,19469,51
23,62.6,1000,1,200,5,163,5,20216,83
24,62.6,1000,1,800,5,165,15,19858,175
25,62.6,1000,1,800,5,167,17,19736,82
26,62.6,1000,1,800,3,167,16,19858,175
27,62.6,1000,1,200,3,167,5,20216,83
28,62.6,1000,1,800,1,169,16,19858,175
29,62.6,1000,1,800,3,171,17,19736,82
30,62.6,1000,1,400,5,171,15,19677,97
31,62.6,1000,1,200,1,171,5,20216,83
32,62.6,1000,1,1200,5,171,24,20008,402
33,62.6,1000,1,800,1,175,17,19736,82
34,62.6,1000,1,400,3,175,14,19677,97
35,62.6,1000,1,1200,3,175,23,20008,402
36,62.6,1000,1,1200,5,179,19,19731,97
37,62.6,1000,1,400,1,179,14,19677,97
38,62.6,1000,1,1200,1,179,22,20008,402
39,62.6,1000,1,400,5,180,8,19293,272
40,62.6,1000,1,1200,3,182,19,19731,97
41,62.6,1000,1,400,3,184,8,19293,272
42,62.6,1000,1,1200,1,186,18,19731,97
43,62.6,1000,1,1200,1,187,26,20219,1004
44,62.6,1000,1,800,5,188,9,20087,561
45,62.6,1000,1,400,1,188,8,19293,272
46,62.6,1000,1,800,3,192,9,20087,561
47,62.6,1000,1,400,5,193,5,19941,276
48,62.6,1000,1,800,1,196,9,20087,561
49,62.6,1000,1,1200,5,197,20,20684,688
50,62.6,1000,1,400,3,197,5,19941,276
51,62.6,1000,1,1200,3,201,21,20684,688
52,62.6,1000,1,400,1,201,5,19941,276
53,62.6,1000,1,1200,1,205,21,20684,688
54,62.6,1000,1,400,5,211,9,20069,304
55,62.6,1000,1,800,5,214,10,20211,222
56,62.6,1000,1,400,3,215,9,20069,304
57,62.6,1000,1,800,3,218,10,20211,222
58,62.6,1000,1,1200,5,218,17,20076,252
59,62.6,1000,1,400,1,219,9,20069,304
60,62.6,1000,1,800,1,222,10,20211,222
61,62.6,1000,1,1200,3,222,18,20076,252
62,62.6,1000,1,1200,1,225,18,20076,252
63,62.6,1000,1,1200,5,237,16,20677,734
64,62.6,1000,1,1200,5,239,17,20829,1182
65,62.6,1000,1,1200,3,241,16,20677,734
66,62.6,1000,1,1200,3,243,17,20829,1182
67,62.6,1000,1,200,5,244,4,20256,96
68,62.6,1000,1,1200,1,245,16,20677,734
69,62.6,1000,1,200,3,246,4,20256,96
70,62.6,1000,1,1200,1,247,17,20829,1182
71,62.6,1000,1,200,1,250,4,20256,96
72,62.6,1000,1,800,5,251,14,19695,154
73,62.6,1000,1,800,5,253,11,19947,320
74,62.6,1000,1,1200,5,254,21,19796,153
75,62.6,1000,1,400,5,255,8,20139,42
76,62.6,1000,1,800,3,255,14,19695,154
77,62.6,1000,1,800,3,257,11,19947,320
78,62.6,1000,1,400,3,257,8,20139,42
79,62.6,1000,1,1200,3,258,21,19796,153
80,62.6,1000,1,400,1,259,8,20139,42
81,62.6,1000,1,800,1,259,13,19695,154
