,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,62.6,62.5,0.5,400,3,0,8,19936,175
1,62.6,62.5,0.5,400,5,0,8,19936,175
2,62.6,62.5,0.5,1200,3,0,16,19501,593
3,62.6,62.5,0.5,1200,5,0,16,19501,593
4,62.6,62.5,0.5,400,1,0,9,19585,378
5,62.6,62.5,0.5,400,3,0,9,19585,378
6,62.6,62.5,0.5,400,5,0,9,19585,378
7,62.6,62.5,0.5,200,3,0,4,19922,162
8,62.6,62.5,0.5,200,5,0,4,19922,162
9,62.6,62.5,0.5,1200,5,0,19,19502,40
10,62.6,62.5,0.5,800,5,0,12,19954,111
11,62.6,62.5,0.5,200,5,0,5,19720,36
12,62.6,62.5,0.5,800,5,0,18,20172,722
13,62.6,62.5,0.5,800,3,0,22,19883,651
14,62.6,62.5,0.5,800,5,0,22,19883,651
15,62.6,62.5,0.5,1200,3,0,24,19107,349
16,62.6,62.5,0.5,1200,5,0,24,19107,349
17,62.6,62.5,0.5,200,3,0,6,19391,18
18,62.6,62.5,0.5,200,5,0,6,19391,18
19,62.6,62.5,0.5,800,3,1,9,20223,703
20,62.6,62.5,0.5,800,5,1,9,20223,703
21,62.6,62.5,0.5,800,5,3,17,19947,302
22,62.6,62.5,0.5,1200,5,6,22,19884,417
23,62.6,62.5,0.5,800,5,96,11,19280,21
24,62.6,62.5,0.5,200,5,97,3,19663,161
