,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,500,0.5,1200,5,32,20,19483,177
1,125,500,0.5,1200,3,36,20,19483,177
2,125,500,0.5,1200,1,40,20,19483,177
3,125,500,0.5,1200,5,42,12,21502,1139
4,125,500,0.5,1200,3,44,12,21502,1139
5,125,500,0.5,1200,1,47,12,21502,1139
6,125,500,0.5,1200,5,56,13,20153,763
7,125,500,0.5,1200,3,60,12,20153,763
8,125,500,0.5,1200,1,64,11,20153,763
9,125,500,0.5,1200,5,122,12,19235,93
10,125,500,0.5,1200,3,126,12,19235,93
11,125,500,0.5,400,5,128,8,19729,163
12,125,500,0.5,1200,1,130,12,19235,93
13,125,500,0.5,1200,5,146,12,19658,431
14,125,500,0.5,1200,3,150,12,19658,431
15,125,500,0.5,1200,1,154,12,19658,431
16,125,500,0.5,1200,5,169,12,19345,187
17,125,500,0.5,800,5,173,10,20181,297
18,125,500,0.5,1200,3,173,12,19345,187
19,125,500,0.5,800,3,177,10,20181,297
20,125,500,0.5,1200,1,177,11,19345,187
21,125,500,0.5,800,1,181,10,20181,297
22,125,500,0.5,1200,5,186,15,21523,1130
23,125,500,0.5,400,5,189,5,20245,101
24,125,500,0.5,1200,3,190,15,21523,1130
25,125,500,0.5,400,3,193,5,20245,101
26,125,500,0.5,1200,5,194,12,21392,986
27,125,500,0.5,1200,1,194,15,21523,1130
28,125,500,0.5,1200,3,196,12,21392,986
29,125,500,0.5,400,1,197,5,20245,101
30,125,500,0.5,1200,1,198,12,21392,986
31,125,500,0.5,1200,5,241,10,19898,141
32,125,500,0.5,800,5,244,14,20494,417
33,125,500,0.5,1200,3,245,9,19898,141
34,125,500,0.5,800,3,246,14,20494,417
35,125,500,0.5,800,1,248,13,20494,417
36,125,500,0.5,1200,1,249,10,19898,141
37,125,500,0.5,1200,5,260,7,19859,721
38,125,500,0.5,1200,5,261,10,19214,575
39,125,500,0.5,1200,3,263,10,19214,575
40,125,500,0.5,1200,3,264,7,19859,721
41,125,500,0.5,1200,1,268,7,19859,721
42,125,500,0.5,1200,5,274,12,21125,899
43,125,500,0.5,1200,5,277,13,21169,883
44,125,500,0.5,1200,3,278,12,21125,899
45,125,500,0.5,1200,3,281,13,21169,883
46,125,500,0.5,1200,1,282,12,21125,899
47,125,500,0.5,800,5,282,5,20223,254
48,125,500,0.5,1200,1,285,13,21169,883
49,125,500,0.5,800,3,286,6,20223,254
50,125,500,0.5,800,1,290,6,20223,254
51,125,500,0.5,200,5,296,3,20713,88
52,125,500,0.5,200,3,300,3,20713,88
53,125,500,0.5,200,1,304,3,20713,88
54,125,500,0.5,400,5,312,9,20012,74
55,125,500,0.5,400,3,316,9,20012,74
56,125,500,0.5,1200,5,317,13,19294,279
57,125,500,0.5,800,5,317,8,20346,366
58,125,500,0.5,400,1,320,9,20012,74
59,125,500,0.5,1200,3,321,13,19294,279
60,125,500,0.5,800,3,321,8,20346,366
61,125,500,0.5,1200,1,325,13,19294,279
62,125,500,0.5,800,1,325,8,20346,366
63,125,500,0.5,200,5,326,4,20151,114
64,125,500,0.5,200,3,330,4,20151,114
65,125,500,0.5,200,1,334,4,20151,114
66,125,500,0.5,800,5,350,10,20290,246
67,125,500,0.5,800,3,354,10,20290,246
68,125,500,0.5,800,1,358,10,20290,246
69,125,500,0.5,200,5,383,5,19398,129
70,125,500,0.5,200,3,387,5,19398,129
71,125,500,0.5,200,1,391,5,19398,129
72,125,500,0.5,800,5,409,11,20207,534
73,125,500,0.5,1200,5,409,8,19344,97
74,125,500,0.5,800,3,411,11,20207,534
75,125,500,0.5,800,1,413,10,20207,534
76,125,500,0.5,1200,3,413,8,19344,97
77,125,500,0.5,1200,1,416,11,19214,575
78,125,500,0.5,1200,1,417,8,19344,97
79,125,500,0.5,800,5,423,8,20081,102
80,125,500,0.5,800,3,427,8,20081,102
81,125,500,0.5,800,1,431,8,20081,102
82,125,500,0.5,1200,5,461,11,21102,838
83,125,500,0.5,400,5,463,5,20055,252
84,125,500,0.5,1200,3,465,10,21102,838
85,125,500,0.5,400,3,467,5,20055,252
86,125,500,0.5,1200,1,469,10,21102,838
87,125,500,0.5,400,1,471,5,20055,252
88,125,500,0.5,1200,5,506,18,19617,49
89,125,500,0.5,1200,3,508,17,19617,49
90,125,500,0.5,1200,1,510,16,19617,49
91,125,500,0.5,1200,5,555,14,19344,48
92,125,500,0.5,1200,3,559,14,19344,48
93,125,500,0.5,1200,1,563,14,19344,48
94,125,500,0.5,400,5,653,7,20314,239
95,125,500,0.5,400,3,657,7,20314,239
96,125,500,0.5,400,1,661,7,20314,239
97,125,500,0.5,800,5,726,11,20275,253
98,125,500,0.5,800,3,728,12,20275,253
99,125,500,0.5,800,1,730,12,20275,253
100,125,500,0.5,200,5,819,5,20736,96
101,125,500,0.5,200,3,823,5,20736,96
102,125,500,0.5,200,1,827,5,20736,96
103,125,500,0.5,200,5,845,3,19225,17
104,125,500,0.5,200,5,891,3,19777,49
105,125,500,0.5,200,3,895,3,19777,49
106,125,500,0.5,200,1,899,3,19777,49
