,num_LEFS,TAD_size
0,1,200
1,3,400
2,3,200
3,9,800
4,4,200
5,2,400
6,1,200
7,19,1200
8,2,200
9,2,400
10,4,200
11,10,800
12,0,200
13,1,400
14,1,200
15,9,1200
16,2,200
17,5,400
18,2,200
19,10,800
20,3,200
21,10,400
22,1,200
23,7,1200
24,1,200
25,3,400
26,1,200
27,10,800
28,2,200
29,4,400
30,0,200
31,8,1200
32,2,200
33,3,400
34,5,200
35,2,800
36,1,200
37,3,400
38,4,200
39,10,1200
40,1,200
41,5,400
42,2,200
43,4,800
44,2,200
45,8,400
46,4,200
47,11,1200
48,2,200
49,2,400
50,0,200
51,9,800
52,2,200
53,3,400
54,1,200
55,14,1200
56,3,200
57,3,400
58,2,200
59,3,800
60,2,200
61,2,400
62,1,200
63,14,1200
64,4,200
65,5,400
66,3,200
67,5,800
68,4,200
69,4,400
70,0,200
71,15,1200
72,1,200
73,2,400
74,1,200
75,4,800
76,2,200
77,0,400
78,2,200
79,10,1200
80,4,200
81,3,400
82,2,200
83,5,800
84,2,200
85,5,400
86,1,200
87,5,1200
88,2,200
89,3,400
90,0,200
91,6,800
92,1,200
93,3,400
94,0,200
95,13,1200
96,4,200
97,0,400
98,1,200
99,4,800
100,2,200
101,1,400
102,2,200
103,9,1200
104,3,200
105,2,400
106,1,200
107,11,800
108,0,200
109,3,400
110,1,200
111,12,1200
112,1,200
113,6,400
114,1,200
115,4,800
116,0,200
117,3,400
118,4,200
119,8,1200
120,1,200
121,3,400
122,3,200
123,8,800
124,2,200
125,3,400
126,0,200
127,14,1200
128,1,200
129,7,400
130,3,200
131,9,800
132,3,200
133,5,400
134,2,200
135,8,1200
136,0,200
137,3,400
138,0,200
139,9,800
140,2,200
141,5,400
142,2,200
143,6,1200
144,3,200
145,5,400
146,4,200
147,6,800
148,3,200
149,2,400
150,3,200
151,11,1200
152,3,200
153,8,400
154,2,200
155,10,800
156,3,200
157,3,400
158,4,200
159,10,1200
160,2,200
161,2,400
162,1,200
163,5,800
164,3,200
165,0,400
166,0,200
167,13,1200
168,2,200
169,3,400
170,3,200
171,8,800
172,2,200
173,3,400
174,2,200
175,13,1200
176,2,200
177,4,400
178,0,200
179,4,800
180,1,200
181,3,400
182,3,200
183,13,1200
184,5,200
185,1,400
186,3,200
187,12,800
188,3,200
189,4,400
190,0,200
191,10,1200
192,5,200
193,3,400
194,3,200
195,2,800
196,1,200
197,4,400
198,3,200
199,11,1200
200,1,200
201,1,400
202,1,200
203,10,800
204,2,200
205,0,400
206,1,200
207,12,1200
208,4,200
209,2,400
210,3,200
211,7,800
212,1,200
213,1,400
214,0,200
215,12,1200
216,2,200
217,4,400
218,1,200
219,9,800
220,2,200
221,3,400
222,3,200
223,7,1200
224,0,200
225,4,400
226,4,200
227,11,800
228,1,200
229,3,400
230,0,200
231,11,1200
232,2,200
233,7,400
234,1,200
235,6,800
236,2,200
237,3,400
238,3,200
239,6,1200
240,2,200
241,5,400
242,2,200
243,6,800
244,2,200
245,7,400
246,5,200
247,15,1200
248,5,200
249,3,400
250,2,200
251,6,800
252,2,200
253,2,400
254,4,200
255,8,1200
256,1,200
257,1,400
258,0,200
259,4,800
260,3,200
261,3,400
262,2,200
263,9,1200
264,4,200
265,5,400
266,2,200
267,9,800
268,2,200
269,3,400
270,1,200
271,11,1200
272,0,200
273,1,400
274,3,200
275,5,800
276,1,200
277,1,400
278,3,200
279,16,1200
280,1,200
281,3,400
282,4,200
283,9,800
284,3,200
285,1,400
286,3,200
287,9,1200
288,1,200
289,2,400
290,3,200
291,4,800
292,1,200
293,2,400
294,3,200
295,11,1200
296,5,200
297,6,400
298,1,200
299,4,800
300,6,200
301,4,400
302,3,200
303,7,1200
304,3,200
305,2,400
306,2,200
307,4,800
308,1,200
309,2,400
310,0,200
311,10,1200
312,1,200
313,5,400
314,0,200
315,4,800
316,4,200
317,4,400
318,3,200
319,5,1200
320,2,200
321,5,400
322,1,200
323,4,800
324,5,200
325,6,400
326,2,200
327,8,1200
328,0,200
329,3,400
330,3,200
331,7,800
332,1,200
333,2,400
334,2,200
335,11,1200
336,4,200
337,1,400
338,2,200
339,5,800
340,4,200
341,2,400
342,1,200
343,5,1200
344,1,200
345,3,400
346,3,200
347,9,800
348,2,200
349,1,400
350,1,200
351,8,1200
352,2,200
353,3,400
354,1,200
355,6,800
356,5,200
357,5,400
358,2,200
359,6,1200
360,4,200
361,1,400
362,2,200
363,9,800
364,2,200
365,4,400
366,4,200
367,10,1200
368,3,200
369,2,400
370,1,200
371,8,800
372,1,200
373,4,400
374,2,200
375,4,1200
376,1,200
377,0,400
378,2,200
379,7,800
380,2,200
381,5,400
382,3,200
383,11,1200
384,1,200
385,3,400
386,0,200
387,7,800
388,1,200
389,6,400
390,3,200
391,11,1200
392,6,200
393,3,400
394,5,200
395,5,800
396,5,200
397,4,400
398,1,200
399,8,1200
400,2,200
401,5,400
402,3,200
403,4,800
404,3,200
405,4,400
406,4,200
407,6,1200
408,3,200
409,2,400
410,1,200
411,9,800
412,1,200
413,1,400
414,2,200
415,14,1200
416,4,200
417,3,400
418,2,200
419,6,800
420,3,200
421,3,400
422,2,200
423,5,1200
424,1,200
425,6,400
426,4,200
427,8,800
428,1,200
429,2,400
430,2,200
431,12,1200
432,1,200
433,3,400
434,2,200
435,5,800
436,1,200
437,1,400
438,3,200
439,12,1200
440,1,200
441,7,400
442,2,200
443,11,800
444,3,200
445,1,400
446,0,200
447,8,1200
448,0,200
449,1,400
450,0,200
451,11,800
452,1,200
453,3,400
454,1,200
455,11,1200
456,3,200
457,3,400
458,1,200
459,8,800
460,1,200
461,2,400
462,2,200
463,11,1200
464,1,200
465,1,400
466,1,200
467,4,800
468,2,200
469,5,400
470,1,200
471,14,1200
472,3,200
473,5,400
474,2,200
475,5,800
476,3,200
477,6,400
478,2,200
479,10,1200
480,2,200
481,3,400
482,2,200
483,3,800
484,2,200
485,1,400
486,2,200
487,9,1200
488,3,200
489,4,400
490,1,200
491,4,800
492,1,200
493,3,400
494,2,200
495,16,1200
496,1,200
497,4,400
498,2,200
499,9,800
500,3,200
501,3,400
502,1,200
503,6,1200
504,3,200
505,6,400
506,1,200
507,10,800
508,2,200
509,1,400
510,1,200
511,16,1200
512,4,200
513,4,400
514,2,200
515,4,800
516,4,200
517,5,400
518,2,200
519,9,1200
520,1,200
521,4,400
522,1,200
523,4,800
524,3,200
525,2,400
526,2,200
527,8,1200
528,2,200
529,3,400
530,1,200
531,6,800
532,1,200
533,3,400
534,3,200
535,9,1200
536,1,200
537,4,400
538,4,200
539,15,800
540,2,200
541,2,400
542,1,200
543,12,1200
544,3,200
545,2,400
546,2,200
547,5,800
548,2,200
549,2,400
550,1,200
551,14,1200
552,5,200
553,7,400
554,1,200
555,4,800
556,5,200
557,5,400
558,5,200
559,13,1200
560,1,200
561,3,400
562,2,200
563,10,800
564,0,200
565,5,400
566,1,200
567,8,1200
568,3,200
569,4,400
570,2,200
571,9,800
572,4,200
573,1,400
574,3,200
575,8,1200
576,4,200
577,4,400
578,2,200
579,8,800
580,1,200
581,3,400
582,1,200
583,12,1200
584,4,200
585,5,400
586,0,200
587,6,800
588,1,200
589,2,400
590,1,200
591,4,1200
592,2,200
593,0,400
594,1,200
595,3,800
596,1,200
597,2,400
598,2,200
599,10,1200
600,2,200
601,3,400
602,4,200
603,9,800
604,1,200
605,5,400
606,1,200
607,10,1200
608,2,200
609,1,400
610,1,200
611,5,800
612,5,200
613,6,400
614,6,200
615,12,1200
616,2,200
617,4,400
618,3,200
619,7,800
620,3,200
621,0,400
622,2,200
623,15,1200
624,2,200
625,5,400
626,3,200
627,13,800
628,0,200
629,4,400
630,2,200
631,11,1200
632,1,200
633,2,400
634,2,200
635,8,800
636,2,200
637,3,400
638,1,200
639,15,1200
640,2,200
641,2,400
642,6,200
643,8,800
644,2,200
645,4,400
646,0,200
647,1,1200
648,2,200
649,4,400
650,0,200
651,6,800
652,2,200
653,2,400
654,2,200
655,4,1200
656,2,200
657,3,400
658,3,200
659,4,800
660,2,200
661,2,400
662,1,200
663,12,1200
664,3,200
665,1,400
666,3,200
667,7,800
668,2,200
669,5,400
670,2,200
671,10,1200
672,3,200
673,2,400
674,2,200
675,7,800
676,5,200
677,5,400
678,1,200
679,12,1200
680,3,200
681,5,400
682,4,200
683,6,800
684,1,200
685,3,400
686,2,200
687,14,1200
688,2,200
689,6,400
690,2,200
691,4,800
692,1,200
693,2,400
694,2,200
695,10,1200
696,3,200
697,6,400
698,4,200
699,4,800
700,1,200
701,2,400
702,1,200
703,12,1200
704,1,200
705,5,400
706,2,200
707,12,800
708,4,200
709,3,400
710,1,200
711,8,1200
712,1,200
713,6,400
714,1,200
715,7,800
716,1,200
717,3,400
718,3,200
719,13,1200
720,3,200
721,4,400
722,2,200
723,6,800
724,1,200
725,3,400
726,5,200
727,9,1200
728,6,200
729,6,400
730,2,200
731,8,800
732,1,200
733,1,400
734,1,200
735,6,1200
736,2,200
737,1,400
738,2,200
739,11,800
740,3,200
741,4,400
742,3,200
743,9,1200
744,2,200
745,1,400
746,4,200
747,6,800
748,3,200
749,4,400
750,0,200
751,9,1200
752,1,200
753,3,400
754,2,200
755,4,800
756,3,200
757,3,400
758,2,200
