,num_LEFS,TAD_size
0,0,200
1,5,400
2,2,200
3,5,800
4,2,200
5,6,400
6,4,200
7,10,1200
8,2,200
9,5,400
10,1,200
11,8,800
12,3,200
13,4,400
14,1,200
15,8,1200
16,2,200
17,2,400
18,0,200
19,4,800
20,3,200
21,5,400
22,4,200
23,8,1200
24,0,200
25,8,400
26,1,200
27,9,800
28,1,200
29,0,400
30,1,200
31,6,1200
32,2,200
33,5,400
34,5,200
35,5,800
36,0,200
37,3,400
38,3,200
39,10,1200
40,3,200
41,4,400
42,3,200
43,3,800
44,2,200
45,4,400
46,1,200
47,8,1200
48,4,200
49,7,400
50,3,200
51,10,800
52,2,200
53,2,400
54,3,200
55,10,1200
56,1,200
57,4,400
58,2,200
59,5,800
60,2,200
61,1,400
62,3,200
63,9,1200
64,3,200
65,5,400
66,2,200
67,5,800
68,2,200
69,6,400
70,1,200
71,14,1200
72,0,200
73,3,400
74,2,200
75,6,800
76,4,200
77,3,400
78,2,200
79,7,1200
80,1,200
81,3,400
82,2,200
83,6,800
84,1,200
85,3,400
86,0,200
87,6,1200
88,1,200
89,4,400
90,1,200
91,9,800
92,2,200
93,0,400
94,1,200
95,12,1200
96,2,200
97,3,400
98,4,200
99,5,800
100,2,200
101,4,400
102,1,200
103,11,1200
104,3,200
105,2,400
106,2,200
107,8,800
108,2,200
109,5,400
110,0,200
111,5,1200
112,4,200
113,6,400
114,2,200
115,4,800
116,2,200
117,3,400
118,3,200
119,7,1200
120,1,200
121,4,400
122,1,200
123,8,800
124,0,200
125,3,400
126,3,200
127,10,1200
128,3,200
129,2,400
130,2,200
131,3,800
132,1,200
133,4,400
134,2,200
135,8,1200
136,2,200
137,4,400
138,2,200
139,10,800
140,1,200
141,6,400
142,2,200
143,6,1200
144,0,200
145,2,400
146,1,200
147,6,800
148,5,200
149,5,400
150,3,200
151,5,1200
152,3,200
153,1,400
154,1,200
155,9,800
156,2,200
157,4,400
158,2,200
159,7,1200
160,5,200
161,2,400
162,1,200
163,5,800
164,2,200
165,6,400
166,6,200
167,14,1200
168,3,200
169,4,400
170,1,200
171,8,800
172,1,200
173,2,400
174,0,200
175,11,1200
176,1,200
177,4,400
178,3,200
179,3,800
180,2,200
181,4,400
182,0,200
183,8,1200
184,4,200
185,6,400
186,9,200
187,9,800
188,2,200
189,3,400
190,3,200
191,10,1200
192,2,200
193,7,400
194,1,200
195,5,800
196,2,200
197,4,400
198,2,200
199,13,1200
200,2,200
201,2,400
202,0,200
203,6,800
204,2,200
205,3,400
206,3,200
207,9,1200
208,2,200
209,0,400
210,2,200
211,5,800
212,1,200
213,2,400
214,1,200
215,7,1200
216,1,200
217,3,400
218,1,200
219,5,800
220,2,200
221,2,400
222,1,200
223,10,1200
224,1,200
225,4,400
226,5,200
227,10,800
228,0,200
229,2,400
230,0,200
231,9,1200
232,1,200
233,3,400
234,4,200
235,7,800
236,4,200
237,6,400
238,1,200
239,19,1200
240,2,200
241,4,400
242,3,200
243,6,800
244,1,200
245,5,400
246,1,200
247,12,1200
248,4,200
249,6,400
250,1,200
251,7,800
252,2,200
253,3,400
254,4,200
255,14,1200
256,0,200
257,3,400
258,2,200
259,7,800
260,2,200
261,2,400
262,2,200
263,5,1200
264,0,200
265,2,400
266,1,200
267,7,800
268,4,200
269,2,400
270,1,200
271,10,1200
272,2,200
273,4,400
274,1,200
275,6,800
276,2,200
277,2,400
278,2,200
279,12,1200
280,1,200
281,3,400
282,1,200
283,4,800
284,5,200
285,4,400
286,2,200
287,18,1200
288,4,200
289,5,400
290,3,200
291,8,800
292,1,200
293,1,400
294,0,200
295,9,1200
296,4,200
297,5,400
298,2,200
299,8,800
300,4,200
301,4,400
302,0,200
303,9,1200
304,1,200
305,6,400
306,3,200
307,4,800
308,2,200
309,3,400
310,1,200
311,9,1200
312,1,200
313,3,400
314,1,200
315,11,800
316,1,200
317,8,400
318,1,200
319,9,1200
320,1,200
321,3,400
322,2,200
323,7,800
324,1,200
325,2,400
326,3,200
327,13,1200
328,1,200
329,3,400
330,3,200
331,10,800
332,0,200
333,6,400
334,0,200
335,10,1200
336,2,200
337,7,400
338,3,200
339,5,800
340,1,200
341,4,400
342,4,200
343,13,1200
344,0,200
345,5,400
346,0,200
347,7,800
348,1,200
349,3,400
350,3,200
351,11,1200
352,3,200
353,4,400
354,1,200
355,3,800
356,2,200
357,6,400
358,3,200
359,7,1200
360,0,200
361,1,400
362,1,200
363,5,800
364,2,200
365,5,400
366,1,200
367,9,1200
368,1,200
369,3,400
370,0,200
371,3,800
372,0,200
373,3,400
374,2,200
375,14,1200
376,1,200
377,4,400
378,2,200
379,6,800
380,0,200
381,2,400
382,4,200
383,13,1200
384,0,200
385,4,400
386,3,200
387,8,800
388,0,200
389,3,400
390,1,200
391,6,1200
392,2,200
393,3,400
394,4,200
395,2,800
396,1,200
397,5,400
398,2,200
399,10,1200
400,4,200
401,2,400
402,2,200
403,11,800
404,2,200
405,3,400
406,3,200
407,5,1200
408,4,200
409,5,400
410,1,200
411,9,800
412,2,200
413,5,400
414,2,200
415,13,1200
416,4,200
417,2,400
418,0,200
419,4,800
420,2,200
421,2,400
422,2,200
423,4,1200
424,4,200
425,2,400
426,3,200
427,5,800
428,4,200
429,3,400
430,2,200
431,10,1200
432,2,200
433,5,400
434,2,200
435,3,800
436,2,200
437,4,400
438,4,200
439,8,1200
440,2,200
441,6,400
442,5,200
443,5,800
444,5,200
445,1,400
446,1,200
447,9,1200
448,1,200
449,2,400
450,1,200
451,7,800
452,3,200
453,3,400
454,3,200
455,6,1200
456,0,200
457,5,400
458,1,200
459,4,800
460,1,200
461,4,400
462,0,200
463,8,1200
464,2,200
465,7,400
466,0,200
467,4,800
468,1,200
469,4,400
470,4,200
471,7,1200
472,3,200
473,5,400
474,1,200
475,1,800
476,0,200
477,4,400
478,2,200
479,6,1200
480,3,200
481,8,400
482,2,200
483,4,800
484,3,200
485,4,400
486,2,200
487,10,1200
488,4,200
489,5,400
490,1,200
491,10,800
492,1,200
493,3,400
494,2,200
495,11,1200
496,3,200
497,1,400
498,2,200
499,5,800
500,1,200
501,5,400
502,2,200
503,11,1200
504,7,200
505,0,400
506,4,200
507,5,800
508,4,200
509,3,400
510,3,200
511,11,1200
512,4,200
513,1,400
514,1,200
515,8,800
516,2,200
517,5,400
518,3,200
519,11,1200
520,1,200
521,4,400
522,2,200
523,6,800
524,3,200
525,2,400
526,4,200
527,15,1200
528,2,200
529,4,400
530,2,200
531,4,800
532,0,200
533,4,400
534,2,200
535,6,1200
536,4,200
537,0,400
538,5,200
539,8,800
540,3,200
541,6,400
542,2,200
543,14,1200
544,3,200
545,3,400
546,2,200
547,6,800
548,5,200
549,8,400
550,1,200
551,8,1200
552,2,200
553,6,400
554,5,200
555,4,800
556,2,200
557,2,400
558,2,200
559,12,1200
560,1,200
561,5,400
562,3,200
563,8,800
564,4,200
565,1,400
566,1,200
567,7,1200
568,1,200
569,3,400
570,3,200
571,6,800
572,2,200
573,3,400
574,4,200
575,8,1200
576,2,200
577,2,400
578,1,200
579,5,800
580,1,200
581,8,400
582,2,200
583,3,1200
584,2,200
585,3,400
586,2,200
587,6,800
588,1,200
589,3,400
590,1,200
591,5,1200
592,3,200
593,4,400
594,2,200
595,6,800
596,2,200
597,2,400
598,0,200
599,7,1200
600,1,200
601,0,400
602,3,200
603,10,800
604,2,200
605,7,400
606,3,200
607,4,1200
608,2,200
609,7,400
610,2,200
611,4,800
612,1,200
613,5,400
614,2,200
615,8,1200
616,0,200
617,2,400
618,1,200
619,6,800
620,4,200
621,4,400
622,3,200
623,9,1200
624,3,200
625,5,400
626,0,200
627,6,800
628,0,200
629,3,400
630,1,200
631,9,1200
632,2,200
633,4,400
634,2,200
635,8,800
636,1,200
637,1,400
638,2,200
639,16,1200
640,1,200
641,6,400
642,2,200
643,6,800
644,2,200
645,3,400
646,2,200
647,10,1200
648,3,200
649,5,400
650,2,200
651,6,800
652,2,200
653,5,400
654,2,200
655,15,1200
656,3,200
657,3,400
658,4,200
659,5,800
660,3,200
661,5,400
662,2,200
663,5,1200
664,4,200
665,2,400
666,1,200
667,4,800
668,1,200
669,1,400
670,4,200
671,8,1200
672,1,200
673,7,400
674,2,200
675,6,800
676,3,200
677,3,400
678,4,200
679,10,1200
680,3,200
681,3,400
682,2,200
683,7,800
684,1,200
685,7,400
686,0,200
687,11,1200
688,0,200
689,2,400
690,1,200
691,7,800
692,1,200
693,4,400
694,2,200
695,11,1200
696,1,200
697,3,400
698,2,200
699,6,800
700,4,200
701,6,400
702,1,200
703,9,1200
704,0,200
705,5,400
706,2,200
707,8,800
708,1,200
709,7,400
710,3,200
711,7,1200
712,1,200
713,4,400
714,2,200
715,3,800
716,3,200
717,0,400
718,0,200
719,12,1200
720,3,200
721,3,400
722,1,200
723,6,800
724,1,200
725,3,400
726,3,200
727,8,1200
728,1,200
729,6,400
730,1,200
731,4,800
732,1,200
733,2,400
734,1,200
735,5,1200
736,1,200
737,2,400
738,2,200
739,5,800
740,1,200
741,3,400
742,3,200
743,10,1200
744,4,200
745,3,400
746,1,200
747,6,800
748,2,200
749,4,400
750,1,200
751,10,1200
752,2,200
753,6,400
754,1,200
755,12,800
756,3,200
757,5,400
758,1,200
759,8,1200
760,2,200
761,4,400
762,3,200
763,8,800
764,4,200
765,5,400
766,3,200
767,15,1200
768,2,200
769,3,400
770,4,200
771,3,800
772,1,200
773,3,400
774,4,200
775,7,1200
776,3,200
777,3,400
778,2,200
779,5,800
780,1,200
781,3,400
782,1,200
783,15,1200
784,2,200
785,3,400
786,1,200
787,7,800
788,1,200
789,4,400
790,2,200
791,10,1200
792,3,200
793,3,400
794,2,200
795,9,800
796,1,200
797,0,400
798,4,200
799,12,1200
800,2,200
801,4,400
802,0,200
803,5,800
804,1,200
805,1,400
806,3,200
807,11,1200
808,2,200
809,3,400
810,1,200
811,4,800
812,1,200
813,3,400
814,3,200
815,11,1200
816,2,200
817,3,400
818,4,200
819,5,800
820,1,200
821,5,400
822,2,200
823,14,1200
824,3,200
825,8,400
826,1,200
827,8,800
828,5,200
829,5,400
830,2,200
831,11,1200
832,2,200
833,6,400
834,1,200
835,5,800
836,4,200
837,2,400
838,1,200
839,16,1200
840,1,200
841,4,400
842,1,200
843,6,800
844,0,200
845,2,400
846,4,200
847,9,1200
848,1,200
849,3,400
850,0,200
851,6,800
852,2,200
853,4,400
854,4,200
855,8,1200
856,2,200
857,4,400
858,4,200
859,6,800
860,2,200
861,4,400
862,0,200
863,7,1200
864,3,200
865,1,400
866,3,200
867,8,800
868,2,200
869,5,400
870,1,200
871,7,1200
872,1,200
873,4,400
874,2,200
875,7,800
876,2,200
877,2,400
878,0,200
879,14,1200
880,3,200
881,3,400
882,2,200
883,4,800
884,1,200
885,2,400
886,0,200
887,9,1200
888,4,200
889,2,400
890,1,200
891,6,800
892,1,200
893,2,400
894,0,200
895,16,1200
896,2,200
897,4,400
898,4,200
899,4,800
900,2,200
901,2,400
902,2,200
903,12,1200
904,3,200
905,4,400
906,2,200
907,2,800
908,0,200
909,4,400
910,2,200
911,5,1200
912,1,200
913,5,400
914,2,200
915,5,800
916,1,200
917,3,400
918,1,200
919,8,1200
920,2,200
921,2,400
922,2,200
923,5,800
924,3,200
925,5,400
926,0,200
927,5,1200
928,2,200
929,2,400
930,0,200
931,7,800
932,1,200
933,4,400
934,1,200
935,13,1200
936,3,200
937,3,400
938,1,200
939,5,800
940,2,200
941,4,400
942,0,200
943,9,1200
944,2,200
945,2,400
946,0,200
947,5,800
948,3,200
949,4,400
950,3,200
951,10,1200
952,4,200
953,8,400
954,3,200
955,9,800
956,2,200
957,2,400
958,1,200
959,9,1200
960,1,200
961,3,400
962,1,200
963,7,800
964,3,200
965,5,400
966,4,200
967,9,1200
968,5,200
969,5,400
970,1,200
971,4,800
972,1,200
973,7,400
974,1,200
975,10,1200
976,0,200
977,3,400
978,3,200
979,6,800
980,4,200
981,2,400
982,3,200
983,5,1200
984,2,200
985,8,400
986,2,200
987,12,800
988,4,200
989,3,400
990,3,200
991,8,1200
992,2,200
993,5,400
994,2,200
995,6,800
996,3,200
997,3,400
998,1,200
999,9,1200
1000,0,200
1001,5,400
1002,4,200
1003,7,800
1004,2,200
1005,5,400
1006,1,200
1007,12,1200
