,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,250,0.5,1200,5,69,15,19806,578
1,125,250,0.5,1200,3,73,15,19806,578
2,125,250,0.5,1200,1,77,15,19806,578
3,125,250,0.5,200,5,98,3,19620,5
4,125,250,0.5,200,3,102,3,19620,5
5,125,250,0.5,200,1,106,3,19620,5
6,125,250,0.5,400,5,143,6,20307,311
7,125,250,0.5,400,3,147,6,20307,311
8,125,250,0.5,1200,5,148,17,19483,177
9,125,250,0.5,400,1,151,6,20307,311
10,125,250,0.5,400,5,178,5,20202,204
11,125,250,0.5,400,5,179,5,19859,249
12,125,250,0.5,400,5,180,5,19757,323
13,125,250,0.5,400,3,183,5,19859,249
14,125,250,0.5,400,5,183,6,19771,285
15,125,250,0.5,400,3,184,5,19757,323
16,125,250,0.5,400,1,187,5,19859,249
17,125,250,0.5,1200,5,188,15,19319,304
18,125,250,0.5,400,1,188,5,19757,323
19,125,250,0.5,1200,3,192,15,19319,304
20,125,250,0.5,400,3,201,5,20202,204
21,125,250,0.5,400,1,205,5,20202,204
22,125,250,0.5,1200,5,226,14,20447,765
23,125,250,0.5,1200,3,230,14,20447,765
24,125,250,0.5,1200,5,231,20,20178,524
25,125,250,0.5,1200,3,233,19,20178,524
26,125,250,0.5,1200,1,234,13,20447,765
27,125,250,0.5,800,5,234,15,19479,412
28,125,250,0.5,1200,1,235,18,20178,524
29,125,250,0.5,200,5,251,3,19683,20
30,125,250,0.5,200,3,255,3,19683,20
31,125,250,0.5,200,1,259,3,19683,20
32,125,250,0.5,1200,5,263,13,19200,428
33,125,250,0.5,1200,3,265,12,19200,428
34,125,250,0.5,1200,1,267,12,19200,428
35,125,250,0.5,800,5,323,12,19696,137
36,125,250,0.5,800,3,326,12,19696,137
37,125,250,0.5,800,1,330,12,19696,137
38,125,250,0.5,1200,5,370,12,19940,506
39,125,250,0.5,1200,3,374,12,19940,506
40,125,250,0.5,1200,1,378,13,19940,506
41,125,250,0.5,400,5,484,12,19429,98
42,125,250,0.5,400,3,488,12,19429,98
43,125,250,0.5,400,1,492,11,19429,98
44,125,250,0.5,200,5,583,4,19398,129
45,125,250,0.5,200,3,587,4,19398,129
46,125,250,0.5,200,1,591,4,19398,129
