,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,1000,0.8,400,5,29,4,19723,138
1,125,1000,0.8,400,3,33,4,19723,138
2,125,1000,0.8,400,1,37,4,19723,138
3,125,1000,0.8,1200,5,45,11,20120,325
4,125,1000,0.8,1200,3,47,11,20120,325
5,125,1000,0.8,1200,1,51,11,20120,325
6,125,1000,0.8,1200,5,130,12,20353,275
7,125,1000,0.8,1200,3,134,12,20353,275
8,125,1000,0.8,1200,1,138,12,20353,275
9,125,1000,0.8,800,5,176,4,19829,322
10,125,1000,0.8,800,3,180,4,19829,322
11,125,1000,0.8,800,1,184,4,19829,322
12,125,1000,0.8,800,5,247,5,20059,743
13,125,1000,0.8,800,3,251,5,20059,743
14,125,1000,0.8,800,1,255,5,20059,743
15,125,1000,0.8,400,5,290,4,19536,128
16,125,1000,0.8,400,3,294,4,19536,128
17,125,1000,0.8,400,1,298,4,19536,128
18,125,1000,0.8,400,5,313,4,19398,342
19,125,1000,0.8,400,3,317,4,19398,342
20,125,1000,0.8,400,1,321,4,19398,342
21,125,1000,0.8,1200,5,349,9,20994,904
22,125,1000,0.8,1200,3,353,9,20994,904
23,125,1000,0.8,1200,1,357,9,20994,904
24,125,1000,0.8,1200,5,369,13,20043,432
25,125,1000,0.8,1200,5,371,14,10098,801
26,125,1000,0.8,1200,3,373,13,20043,432
27,125,1000,0.8,1200,3,373,14,10098,801
28,125,1000,0.8,200,5,376,4,9731,123
29,125,1000,0.8,1200,1,377,13,20043,432
30,125,1000,0.8,1200,1,377,14,10098,801
31,125,1000,0.8,200,3,380,4,9731,123
32,125,1000,0.8,200,1,384,4,9731,123
33,125,1000,0.8,400,5,392,6,20086,153
34,125,1000,0.8,400,3,396,6,20086,153
35,125,1000,0.8,400,1,400,6,20086,153
36,125,1000,0.8,800,5,424,12,20282,233
37,125,1000,0.8,400,5,426,6,20442,315
38,125,1000,0.8,800,3,428,11,20282,233
39,125,1000,0.8,400,3,430,6,20442,315
40,125,1000,0.8,800,1,432,11,20282,233
41,125,1000,0.8,400,1,434,6,20442,315
42,125,1000,0.8,200,5,437,4,20600,115
43,125,1000,0.8,200,3,441,4,20600,115
44,125,1000,0.8,200,1,445,4,20600,115
45,125,1000,0.8,800,5,474,9,20078,519
46,125,1000,0.8,800,3,476,9,20078,519
47,125,1000,0.8,800,1,478,9,20078,519
48,125,1000,0.8,800,5,484,8,20442,649
49,125,1000,0.8,800,3,488,8,20442,649
50,125,1000,0.8,800,1,492,8,20442,649
51,125,1000,0.8,400,5,494,6,19548,280
52,125,1000,0.8,1200,5,495,12,19803,493
53,125,1000,0.8,400,3,498,6,19548,280
54,125,1000,0.8,1200,3,499,12,19803,493
55,125,1000,0.8,400,1,502,6,19548,280
56,125,1000,0.8,1200,1,503,12,19803,493
57,125,1000,0.8,1200,5,525,11,19378,227
58,125,1000,0.8,1200,3,529,11,19378,227
59,125,1000,0.8,1200,1,533,11,19378,227
60,125,1000,0.8,800,5,569,9,19961,601
61,125,1000,0.8,800,3,573,9,19961,601
62,125,1000,0.8,800,1,577,9,19961,601
63,125,1000,0.8,1200,5,583,9,19905,616
64,125,1000,0.8,1200,3,587,9,19905,616
65,125,1000,0.8,1200,1,591,9,19905,616
66,125,1000,0.8,800,5,593,11,20390,471
67,125,1000,0.8,800,3,597,11,20390,471
68,125,1000,0.8,800,1,601,11,20390,471
69,125,1000,0.8,400,5,604,7,20195,100
70,125,1000,0.8,400,3,608,7,20195,100
71,125,1000,0.8,400,1,612,7,20195,100
72,125,1000,0.8,1200,5,669,12,20316,447
73,125,1000,0.8,800,5,673,15,19990,763
74,125,1000,0.8,1200,3,673,12,20316,447
75,125,1000,0.8,800,3,677,15,19990,763
76,125,1000,0.8,1200,1,677,12,20316,447
77,125,1000,0.8,800,1,681,15,19990,763
78,125,1000,0.8,1200,5,690,9,20711,692
79,125,1000,0.8,1200,3,694,9,20711,692
80,125,1000,0.8,400,5,720,4,19851,136
81,125,1000,0.8,400,3,724,4,19851,136
82,125,1000,0.8,400,1,728,4,19851,136
83,125,1000,0.8,1200,5,750,10,19909,52
84,125,1000,0.8,1200,3,754,10,19909,52
85,125,1000,0.8,1200,1,758,10,19909,52
86,125,1000,0.8,800,5,760,6,20289,507
87,125,1000,0.8,800,3,764,6,20289,507
88,125,1000,0.8,800,1,768,6,20289,507
89,125,1000,0.8,1200,5,834,8,19632,555
90,125,1000,0.8,1200,3,838,8,19632,555
91,125,1000,0.8,1200,1,842,8,19632,555
92,125,1000,0.8,1200,1,853,11,20711,692
93,125,1000,0.8,800,5,867,5,20006,270
94,125,1000,0.8,1200,5,868,9,20074,671
95,125,1000,0.8,800,3,871,5,20006,270
96,125,1000,0.8,1200,3,872,9,20074,671
97,125,1000,0.8,800,1,875,5,20006,270
98,125,1000,0.8,1200,1,876,9,20074,671
99,125,1000,0.8,1200,5,894,15,19819,568
100,125,1000,0.8,1200,3,896,15,19819,568
