,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,250,1,800,5,80,8,19961,601
1,125,250,1,800,3,84,8,19961,601
2,125,250,1,400,5,85,5,20014,34
3,125,250,1,400,3,87,5,20014,34
4,125,250,1,400,1,90,5,20014,34
5,125,250,1,400,5,151,8,19990,202
6,125,250,1,400,3,155,8,19990,202
7,125,250,1,400,1,159,8,19990,202
8,125,250,1,1200,5,161,11,21314,1162
9,125,250,1,1200,3,165,12,21314,1162
10,125,250,1,1200,1,169,12,21314,1162
11,125,250,1,1200,5,176,9,19954,276
12,125,250,1,1200,5,179,16,19250,361
13,125,250,1,1200,3,180,9,19954,276
14,125,250,1,1200,3,183,17,19250,361
15,125,250,1,1200,1,184,8,19954,276
16,125,250,1,1200,5,203,8,19983,462
17,125,250,1,1200,3,207,8,19983,462
18,125,250,1,1200,1,211,8,19983,462
19,125,250,1,200,5,279,3,20116,63
20,125,250,1,200,3,283,3,20116,63
21,125,250,1,1200,5,287,11,19819,568
22,125,250,1,1200,3,289,11,19819,568
23,125,250,1,1200,1,291,11,19819,568
24,125,250,1,1200,1,335,17,19250,361
25,125,250,1,200,5,349,4,19213,69
26,125,250,1,200,3,353,4,19213,69
27,125,250,1,200,1,357,4,19213,69
