,num_LEFS,TAD_size
0,1,200
1,0,400
2,1,200
3,1,800
4,0,200
5,1,400
6,0,200
7,3,1200
8,0,200
9,1,400
10,1,200
11,2,800
12,1,200
13,0,400
14,0,200
15,4,1200
16,1,200
17,3,400
18,0,200
19,2,800
20,3,200
21,0,400
22,1,200
23,2,1200
24,0,200
25,0,400
26,0,200
27,1,800
28,1,200
29,1,400
30,1,200
31,3,1200
32,0,200
33,0,400
34,0,200
35,2,800
36,1,200
37,4,400
38,0,200
39,3,1200
40,2,200
41,3,400
42,1,200
43,3,800
44,2,200
45,1,400
46,1,200
47,3,1200
48,0,200
49,1,400
50,1,200
51,0,800
52,0,200
53,1,400
54,0,200
55,6,1200
56,1,200
57,1,400
58,0,200
59,3,800
60,0,200
61,1,400
62,0,200
63,5,1200
64,0,200
65,0,400
66,1,200
67,1,800
68,0,200
69,2,400
70,1,200
71,2,1200
72,0,200
73,1,400
74,0,200
75,1,800
76,1,200
77,0,400
78,1,200
79,2,1200
80,0,200
81,0,400
82,1,200
83,5,800
84,0,200
85,2,400
86,2,200
87,4,1200
88,1,200
89,1,400
90,0,200
91,2,800
92,1,200
93,0,400
94,0,200
95,1,1200
96,1,200
97,2,400
98,0,200
99,0,800
100,0,200
101,0,400
102,0,200
103,2,1200
104,0,200
105,2,400
106,0,200
107,1,800
108,1,200
109,1,400
110,0,200
111,4,1200
112,3,200
113,2,400
114,1,200
115,0,800
116,0,200
117,0,400
118,0,200
119,5,1200
120,1,200
121,2,400
122,1,200
123,1,800
124,0,200
125,0,400
126,1,200
127,4,1200
128,1,200
129,2,400
130,1,200
131,3,800
132,0,200
133,0,400
134,2,200
135,5,1200
136,2,200
137,1,400
138,0,200
139,1,800
140,0,200
141,0,400
142,0,200
143,1,1200
144,1,200
145,0,400
146,0,200
147,1,800
148,1,200
149,0,400
150,0,200
151,4,1200
152,0,200
153,0,400
154,2,200
155,5,800
156,0,200
157,0,400
158,0,200
159,2,1200
160,0,200
161,2,400
162,1,200
163,2,800
164,1,200
165,1,400
166,1,200
167,3,1200
168,0,200
169,1,400
170,1,200
171,1,800
172,0,200
173,4,400
174,3,200
175,3,1200
176,0,200
177,1,400
178,0,200
179,0,800
180,2,200
181,1,400
182,1,200
183,3,1200
184,0,200
185,3,400
186,2,200
187,2,800
188,0,200
189,1,400
190,1,200
191,4,1200
192,1,200
193,0,400
194,0,200
195,3,800
196,2,200
197,2,400
198,2,200
199,0,1200
200,1,200
201,1,400
202,0,200
203,0,800
204,1,200
205,1,400
206,1,200
207,2,1200
208,0,200
209,1,400
210,0,200
211,3,800
212,2,200
213,3,400
214,0,200
215,4,1200
216,0,200
217,0,400
218,0,200
219,1,800
220,1,200
221,1,400
222,0,200
223,2,1200
224,1,200
225,0,400
226,1,200
227,3,800
228,0,200
229,0,400
230,0,200
231,1,1200
232,0,200
233,0,400
234,2,200
235,2,800
236,0,200
237,1,400
238,1,200
239,2,1200
240,1,200
241,1,400
242,1,200
243,2,800
244,0,200
245,3,400
246,1,200
247,0,1200
248,0,200
249,1,400
250,0,200
251,2,800
252,1,200
253,1,400
254,1,200
255,5,1200
256,0,200
257,2,400
258,1,200
259,4,800
260,0,200
261,2,400
262,1,200
263,6,1200
264,1,200
265,2,400
266,1,200
267,3,800
268,1,200
269,3,400
270,1,200
271,4,1200
272,0,200
273,3,400
274,1,200
275,1,800
276,1,200
277,0,400
278,1,200
279,4,1200
280,0,200
281,1,400
282,2,200
283,4,800
284,1,200
285,1,400
286,1,200
287,2,1200
288,0,200
289,1,400
290,0,200
291,2,800
292,0,200
293,2,400
294,1,200
295,2,1200
296,0,200
297,0,400
298,0,200
299,1,800
300,1,200
301,1,400
302,1,200
303,4,1200
304,0,200
305,0,400
306,0,200
307,0,800
308,0,200
309,1,400
