,num_LEFS,TAD_size
0,2,200
1,8,400
2,0,200
3,14,800
4,3,200
5,7,400
6,1,200
7,18,1200
8,6,200
9,10,400
10,6,200
11,9,800
12,5,200
13,6,400
14,2,200
15,27,1200
16,4,200
17,7,400
18,4,200
19,14,800
20,3,200
21,6,400
22,3,200
23,19,1200
24,5,200
25,7,400
26,2,200
27,13,800
28,1,200
29,0,400
30,2,200
31,28,1200
32,3,200
33,13,400
34,3,200
35,14,800
36,1,200
37,9,400
38,5,200
39,23,1200
40,5,200
41,7,400
42,6,200
43,12,800
44,5,200
45,7,400
46,3,200
47,21,1200
48,2,200
49,5,400
50,3,200
51,12,800
52,1,200
53,6,400
54,6,200
55,18,1200
56,3,200
57,9,400
58,2,200
59,10,800
60,3,200
61,10,400
62,3,200
63,25,1200
64,6,200
65,5,400
66,2,200
67,15,800
68,4,200
69,6,400
70,4,200
71,15,1200
72,4,200
73,7,400
74,1,200
75,15,800
76,3,200
77,7,400
78,2,200
79,19,1200
80,3,200
81,9,400
82,4,200
83,21,800
84,4,200
85,5,400
86,1,200
87,19,1200
88,5,200
89,3,400
90,6,200
91,9,800
92,6,200
93,10,400
94,4,200
95,25,1200
96,2,200
97,6,400
98,2,200
99,9,800
100,9,200
101,8,400
102,4,200
103,25,1200
104,3,200
105,10,400
106,4,200
107,12,800
108,7,200
109,5,400
110,4,200
111,26,1200
112,3,200
113,7,400
114,2,200
115,9,800
116,2,200
117,7,400
118,2,200
119,21,1200
120,4,200
121,11,400
122,4,200
123,11,800
124,4,200
125,6,400
126,4,200
127,15,1200
128,9,200
129,3,400
130,6,200
131,19,800
132,6,200
133,3,400
134,1,200
135,25,1200
136,5,200
137,5,400
138,7,200
139,11,800
140,7,200
141,9,400
142,1,200
143,16,1200
144,2,200
145,9,400
146,3,200
147,11,800
148,3,200
149,10,400
150,2,200
151,14,1200
152,3,200
153,5,400
154,4,200
155,10,800
156,3,200
157,6,400
158,4,200
159,14,1200
160,2,200
161,12,400
162,6,200
163,12,800
164,4,200
165,9,400
166,6,200
167,15,1200
168,2,200
169,5,400
170,2,200
171,12,800
172,3,200
173,6,400
174,5,200
175,20,1200
176,4,200
177,4,400
178,1,200
179,16,800
180,2,200
181,8,400
182,1,200
183,20,1200
184,3,200
185,5,400
186,4,200
187,14,800
188,2,200
189,7,400
190,3,200
191,11,1200
192,2,200
193,7,400
194,4,200
195,10,800
196,2,200
197,3,400
198,7,200
199,15,1200
200,4,200
201,2,400
202,1,200
203,17,800
204,9,200
205,7,400
206,1,200
207,20,1200
208,4,200
209,11,400
210,3,200
211,19,800
212,4,200
213,10,400
214,2,200
215,23,1200
216,3,200
217,8,400
218,3,200
219,18,800
220,3,200
221,9,400
222,4,200
223,15,1200
224,4,200
225,1,400
226,3,200
227,10,800
228,2,200
229,2,400
230,4,200
231,22,1200
232,2,200
233,8,400
234,4,200
235,12,800
236,3,200
237,3,400
238,3,200
239,17,1200
240,2,200
241,7,400
