,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,62.5,500,0.5,800,5,29,18,20095,747
1,62.5,500,0.5,200,5,29,4,19462,92
2,62.5,500,0.5,800,3,33,18,20095,747
3,62.5,500,0.5,200,3,33,4,19462,92
4,62.5,500,0.5,800,1,37,18,20095,747
5,62.5,500,0.5,200,1,37,4,19462,92
6,62.5,500,0.5,1200,5,59,23,19981,553
7,62.5,500,0.5,1200,3,63,21,19981,553
8,62.5,500,0.5,400,5,64,9,20574,318
9,62.5,500,0.5,1200,1,67,22,19981,553
10,62.5,500,0.5,400,3,68,9,20574,318
11,62.5,500,0.5,400,1,72,9,20574,318
12,62.5,500,0.5,800,5,78,14,19610,12
13,62.5,500,0.5,800,3,82,14,19610,12
14,62.5,500,0.5,800,1,86,13,19610,12
15,62.5,500,0.5,1200,5,101,29,20542,252
16,62.5,500,0.5,400,5,103,6,19833,178
17,62.5,500,0.5,800,5,103,15,19927,328
18,62.5,500,0.5,1200,3,105,28,20542,252
19,62.5,500,0.5,1200,5,106,25,20960,953
20,62.5,500,0.5,400,3,107,6,19833,178
21,62.5,500,0.5,800,3,107,15,19927,328
22,62.5,500,0.5,1200,1,109,27,20542,252
23,62.5,500,0.5,1200,3,110,23,20960,953
24,62.5,500,0.5,400,1,111,6,19833,178
25,62.5,500,0.5,800,1,111,16,19927,328
26,62.5,500,0.5,1200,1,114,23,20960,953
27,62.5,500,0.5,200,5,125,4,19646,87
28,62.5,500,0.5,400,5,128,10,19657,290
29,62.5,500,0.5,200,3,129,4,19646,87
30,62.5,500,0.5,400,5,130,8,20101,320
31,62.5,500,0.5,400,3,132,10,19657,290
32,62.5,500,0.5,200,1,133,4,19646,87
33,62.5,500,0.5,1200,5,134,25,19649,389
34,62.5,500,0.5,400,3,134,9,20101,320
35,62.5,500,0.5,400,5,135,6,19502,158
36,62.5,500,0.5,400,1,136,10,19657,290
