,num_LEFS,TAD_size
0,4,200
1,3,400
2,1,200
3,9,800
4,2,200
5,8,400
6,4,200
7,28,1200
8,3,200
9,7,400
10,4,200
11,12,800
12,1,200
13,8,400
14,3,200
15,26,1200
16,1,200
17,3,400
18,4,200
19,10,800
20,1,200
21,3,400
22,3,200
23,21,1200
24,4,200
25,7,400
26,2,200
27,8,800
28,4,200
29,10,400
30,1,200
31,18,1200
32,2,200
33,6,400
34,4,200
35,11,800
36,3,200
37,6,400
38,3,200
39,25,1200
40,0,200
41,6,400
42,4,200
43,11,800
44,1,200
45,8,400
46,4,200
47,21,1200
48,6,200
49,10,400
50,2,200
51,9,800
52,5,200
53,4,400
54,2,200
55,22,1200
56,1,200
57,5,400
58,5,200
59,10,800
60,7,200
61,3,400
62,5,200
63,22,1200
64,1,200
65,5,400
66,4,200
67,20,800
68,5,200
69,5,400
70,4,200
71,22,1200
72,3,200
73,5,400
74,2,200
75,20,800
76,5,200
77,8,400
78,4,200
79,23,1200
80,5,200
81,6,400
82,5,200
83,19,800
84,3,200
85,5,400
86,6,200
87,17,1200
88,4,200
89,8,400
90,4,200
91,11,800
92,0,200
93,5,400
94,5,200
95,16,1200
96,5,200
97,5,400
98,1,200
99,20,800
100,4,200
101,4,400
102,3,200
103,16,1200
104,3,200
105,7,400
106,5,200
107,9,800
108,2,200
109,5,400
110,0,200
111,18,1200
112,3,200
113,8,400
114,3,200
115,10,800
116,6,200
117,10,400
118,4,200
119,23,1200
120,2,200
121,7,400
122,3,200
123,17,800
124,6,200
125,8,400
126,5,200
127,17,1200
128,4,200
129,9,400
130,2,200
131,15,800
132,4,200
133,6,400
134,5,200
135,17,1200
136,3,200
137,3,400
138,0,200
139,6,800
140,3,200
141,3,400
142,0,200
143,15,1200
144,5,200
145,4,400
146,7,200
147,15,800
148,5,200
149,12,400
150,4,200
151,17,1200
152,5,200
153,3,400
154,2,200
155,12,800
156,3,200
157,4,400
158,0,200
159,14,1200
160,3,200
161,12,400
162,1,200
163,19,800
164,2,200
165,7,400
166,3,200
167,14,1200
168,5,200
169,4,400
170,4,200
171,14,800
172,1,200
173,7,400
174,7,200
175,26,1200
176,4,200
177,3,400
178,2,200
179,12,800
180,5,200
181,8,400
182,6,200
183,17,1200
184,5,200
185,5,400
186,5,200
187,13,800
188,5,200
189,4,400
190,0,200
191,22,1200
192,5,200
193,8,400
194,6,200
195,17,800
196,4,200
197,6,400
198,2,200
199,15,1200
200,2,200
201,9,400
202,6,200
203,14,800
204,1,200
205,9,400
206,3,200
207,26,1200
208,4,200
209,7,400
210,5,200
211,15,800
212,5,200
213,7,400
214,6,200
215,11,1200
216,2,200
217,13,400
218,1,200
219,15,800
220,1,200
221,4,400
222,6,200
223,22,1200
224,3,200
225,6,400
226,4,200
227,14,800
228,4,200
229,6,400
230,2,200
231,15,1200
232,6,200
233,7,400
234,4,200
235,15,800
236,2,200
237,5,400
238,4,200
239,14,1200
240,1,200
241,10,400
242,5,200
243,13,800
244,4,200
245,3,400
