,num_LEFS,TAD_size
0,2,200
1,1,400
2,0,200
3,4,800
4,0,200
5,0,400
6,2,200
7,3,1200
8,0,200
9,0,400
10,0,200
11,0,800
12,1,200
13,1,400
14,0,200
15,4,1200
16,0,200
17,0,400
18,1,200
19,0,800
20,0,200
21,1,400
22,0,200
23,0,1200
24,0,200
25,1,400
26,1,200
27,2,800
28,1,200
29,1,400
30,0,200
31,3,1200
32,1,200
33,1,400
34,0,200
35,2,800
36,1,200
37,0,400
38,3,200
39,0,1200
40,0,200
41,2,400
42,1,200
43,1,800
44,2,200
45,4,400
46,1,200
47,2,1200
48,3,200
49,3,400
50,0,200
51,1,800
52,0,200
53,1,400
54,1,200
55,1,1200
56,1,200
57,2,400
58,0,200
59,0,800
60,0,200
61,1,400
62,0,200
63,2,1200
64,0,200
65,0,400
66,0,200
67,1,800
68,1,200
69,1,400
70,0,200
71,0,1200
72,0,200
73,1,400
74,0,200
75,2,800
76,0,200
77,1,400
78,0,200
79,3,1200
80,1,200
81,1,400
82,0,200
83,1,800
84,0,200
85,1,400
86,1,200
87,4,1200
88,1,200
89,1,400
90,1,200
91,0,800
92,1,200
93,1,400
94,0,200
95,2,1200
96,1,200
97,0,400
98,2,200
99,2,800
100,0,200
101,0,400
102,0,200
103,1,1200
104,1,200
105,0,400
106,0,200
107,1,800
108,1,200
109,2,400
110,0,200
111,2,1200
112,1,200
113,1,400
114,1,200
115,2,800
116,1,200
117,1,400
118,1,200
119,1,1200
120,0,200
121,0,400
122,1,200
123,1,800
124,1,200
125,0,400
126,3,200
127,3,1200
128,0,200
129,1,400
130,0,200
131,2,800
132,2,200
133,2,400
134,0,200
135,2,1200
136,1,200
137,2,400
138,1,200
139,1,800
140,0,200
141,0,400
142,0,200
143,1,1200
144,1,200
145,2,400
146,0,200
147,2,800
148,0,200
149,2,400
150,0,200
151,0,1200
152,1,200
153,1,400
154,1,200
155,2,800
156,0,200
157,1,400
158,0,200
159,2,1200
160,1,200
161,4,400
162,2,200
163,1,800
164,0,200
165,1,400
166,0,200
167,1,1200
168,0,200
169,1,400
170,1,200
171,1,800
172,2,200
173,2,400
174,1,200
175,2,1200
176,1,200
177,0,400
178,0,200
179,1,800
180,1,200
181,2,400
182,0,200
183,0,1200
184,0,200
185,0,400
186,0,200
187,2,800
188,0,200
189,0,400
190,0,200
191,2,1200
192,0,200
193,2,400
194,0,200
195,3,800
196,0,200
197,2,400
198,3,200
199,3,1200
200,1,200
201,2,400
202,0,200
203,3,800
204,0,200
205,3,400
206,1,200
207,4,1200
208,1,200
209,2,400
210,0,200
211,2,800
212,0,200
213,0,400
214,0,200
215,6,1200
216,2,200
217,3,400
218,2,200
219,2,800
220,0,200
221,1,400
222,0,200
223,4,1200
224,2,200
225,1,400
226,0,200
227,3,800
228,0,200
229,2,400
230,0,200
231,1,1200
232,1,200
233,1,400
234,0,200
235,3,800
236,0,200
237,1,400
238,1,200
239,2,1200
240,1,200
241,1,400
242,0,200
243,3,800
244,2,200
245,3,400
246,1,200
247,2,1200
248,0,200
249,3,400
250,1,200
251,1,800
252,2,200
253,3,400
254,2,200
255,3,1200
256,1,200
257,0,400
258,0,200
259,1,800
260,0,200
261,1,400
262,2,200
263,0,1200
264,0,200
265,0,400
266,0,200
267,0,800
268,1,200
269,2,400
270,0,200
271,4,1200
272,2,200
273,0,400
274,0,200
275,0,800
276,2,200
277,1,400
278,0,200
279,0,1200
280,1,200
281,1,400
282,1,200
283,1,800
284,1,200
285,0,400
286,0,200
287,3,1200
288,1,200
289,2,400
290,0,200
291,1,800
292,1,200
293,0,400
294,0,200
295,4,1200
296,1,200
297,0,400
298,0,200
299,0,800
300,1,200
301,2,400
302,0,200
303,4,1200
304,0,200
305,2,400
306,0,200
307,2,800
308,2,200
309,1,400
310,1,200
311,3,1200
312,1,200
313,1,400
314,0,200
315,0,800
316,1,200
317,1,400
318,0,200
319,2,1200
320,1,200
321,0,400
322,0,200
323,3,800
324,0,200
325,0,400
326,0,200
327,6,1200
328,1,200
329,0,400
330,0,200
331,0,800
332,0,200
333,0,400
334,1,200
335,1,1200
336,2,200
337,2,400
338,1,200
339,5,800
340,0,200
341,1,400
342,1,200
343,4,1200
344,0,200
345,0,400
346,0,200
347,2,800
348,2,200
349,0,400
350,0,200
351,2,1200
352,0,200
353,0,400
354,1,200
355,2,800
356,0,200
357,1,400
358,0,200
359,4,1200
360,0,200
361,1,400
362,0,200
363,1,800
364,0,200
365,1,400
366,0,200
367,0,1200
368,0,200
369,1,400
370,0,200
371,3,800
372,0,200
373,0,400
374,0,200
375,1,1200
376,0,200
377,0,400
378,1,200
379,2,800
380,0,200
381,1,400
382,1,200
383,0,1200
384,0,200
385,2,400
386,1,200
387,2,800
388,0,200
389,1,400
390,1,200
391,1,1200
392,0,200
393,2,400
394,0,200
395,1,800
396,1,200
397,0,400
398,3,200
399,4,1200
400,0,200
401,0,400
402,0,200
403,4,800
404,0,200
405,0,400
406,0,200
407,3,1200
408,0,200
409,2,400
410,2,200
411,2,800
412,0,200
413,1,400
414,0,200
415,2,1200
416,1,200
417,0,400
418,0,200
419,2,800
420,1,200
421,2,400
422,1,200
423,2,1200
424,2,200
425,0,400
426,1,200
427,0,800
428,0,200
429,0,400
430,0,200
431,1,1200
432,1,200
433,1,400
434,0,200
435,0,800
436,0,200
437,0,400
438,2,200
439,7,1200
440,1,200
441,0,400
442,0,200
443,0,800
444,0,200
445,1,400
446,1,200
447,2,1200
448,0,200
449,0,400
450,0,200
451,1,800
452,0,200
453,4,400
454,0,200
455,1,1200
456,0,200
457,0,400
458,0,200
459,1,800
460,0,200
461,0,400
462,0,200
463,1,1200
464,0,200
465,0,400
466,0,200
467,3,800
468,0,200
469,0,400
470,0,200
471,0,1200
472,1,200
473,0,400
474,0,200
475,2,800
476,1,200
477,2,400
478,0,200
479,4,1200
480,0,200
481,2,400
482,5,200
483,3,800
484,0,200
485,1,400
486,1,200
487,1,1200
488,0,200
489,1,400
490,2,200
491,0,800
492,0,200
493,1,400
494,0,200
495,3,1200
496,0,200
497,1,400
498,0,200
499,2,800
500,2,200
501,1,400
502,1,200
503,4,1200
504,0,200
505,0,400
506,1,200
507,4,800
508,0,200
509,1,400
510,1,200
511,6,1200
512,1,200
513,0,400
514,0,200
515,2,800
516,0,200
517,0,400
518,0,200
519,1,1200
520,1,200
521,0,400
522,0,200
523,2,800
524,0,200
525,0,400
526,1,200
527,4,1200
528,0,200
529,2,400
530,0,200
531,4,800
532,0,200
533,0,400
534,0,200
535,2,1200
536,1,200
537,0,400
538,0,200
539,3,800
540,1,200
541,1,400
542,1,200
543,3,1200
544,0,200
545,0,400
546,1,200
547,2,800
548,0,200
549,0,400
550,1,200
551,4,1200
552,1,200
553,1,400
554,2,200
555,1,800
556,0,200
557,0,400
558,0,200
559,2,1200
560,0,200
561,0,400
562,1,200
563,1,800
564,0,200
565,0,400
566,1,200
567,1,1200
568,0,200
569,1,400
570,0,200
571,0,800
572,0,200
573,0,400
574,0,200
575,1,1200
576,0,200
577,2,400
578,0,200
579,3,800
580,0,200
581,0,400
582,0,200
583,3,1200
584,0,200
585,2,400
586,1,200
587,1,800
588,1,200
589,1,400
590,0,200
591,3,1200
592,0,200
593,1,400
594,1,200
595,0,800
596,0,200
597,2,400
598,0,200
599,5,1200
600,1,200
601,1,400
602,0,200
603,2,800
604,0,200
605,0,400
606,0,200
607,5,1200
608,0,200
609,4,400
610,1,200
611,2,800
612,0,200
613,0,400
614,0,200
615,2,1200
616,0,200
617,0,400
618,0,200
619,3,800
620,0,200
621,1,400
622,0,200
623,2,1200
624,1,200
625,2,400
626,1,200
627,3,800
628,1,200
629,0,400
630,1,200
631,1,1200
632,1,200
633,2,400
634,0,200
635,1,800
636,0,200
637,2,400
638,1,200
639,5,1200
640,1,200
641,1,400
642,0,200
643,2,800
644,1,200
645,0,400
646,0,200
647,3,1200
648,2,200
649,0,400
650,0,200
651,0,800
652,0,200
653,0,400
654,0,200
655,3,1200
656,0,200
657,1,400
658,0,200
659,2,800
660,0,200
661,1,400
662,0,200
663,5,1200
664,1,200
665,2,400
666,1,200
667,0,800
668,1,200
669,2,400
670,1,200
671,0,1200
672,1,200
673,1,400
674,1,200
675,1,800
676,0,200
677,0,400
678,1,200
679,2,1200
680,1,200
681,1,400
682,0,200
683,1,800
684,1,200
685,0,400
686,0,200
687,3,1200
688,0,200
689,1,400
690,0,200
691,1,800
692,2,200
693,0,400
694,1,200
695,2,1200
696,0,200
697,1,400
698,0,200
699,1,800
700,0,200
701,3,400
702,0,200
703,2,1200
704,2,200
705,1,400
706,1,200
707,0,800
708,0,200
709,0,400
710,1,200
711,0,1200
712,0,200
713,0,400
714,0,200
715,1,800
716,1,200
717,4,400
718,0,200
719,4,1200
720,1,200
721,0,400
722,1,200
723,2,800
724,1,200
725,0,400
726,0,200
727,1,1200
728,1,200
729,1,400
730,0,200
731,1,800
732,0,200
733,1,400
734,1,200
735,0,1200
736,1,200
737,1,400
738,0,200
739,0,800
740,0,200
741,1,400
742,0,200
743,6,1200
744,0,200
745,1,400
746,1,200
747,2,800
748,1,200
749,2,400
750,1,200
751,2,1200
752,0,200
753,0,400
754,0,200
755,6,800
756,0,200
757,0,400
758,0,200
759,2,1200
760,0,200
761,1,400
762,0,200
763,1,800
764,0,200
765,0,400
766,0,200
767,1,1200
768,0,200
769,0,400
770,1,200
771,3,800
772,0,200
773,1,400
774,0,200
775,4,1200
776,0,200
777,1,400
778,1,200
779,2,800
780,1,200
781,1,400
782,1,200
783,1,1200
784,1,200
785,0,400
786,1,200
787,3,800
788,2,200
789,1,400
790,2,200
791,0,1200
792,0,200
793,0,400
794,0,200
795,2,800
796,1,200
797,0,400
798,0,200
799,2,1200
800,0,200
801,0,400
802,1,200
803,0,800
804,1,200
805,2,400
806,0,200
807,3,1200
808,0,200
809,3,400
810,0,200
811,2,800
812,0,200
813,0,400
814,0,200
815,2,1200
816,0,200
817,0,400
818,1,200
819,2,800
820,1,200
821,0,400
822,0,200
823,2,1200
824,2,200
825,0,400
826,1,200
827,0,800
828,1,200
829,2,400
830,1,200
831,4,1200
832,0,200
833,1,400
834,1,200
835,1,800
836,0,200
837,0,400
838,1,200
839,2,1200
840,0,200
841,2,400
842,0,200
843,2,800
844,0,200
845,1,400
846,0,200
847,3,1200
848,2,200
849,2,400
850,1,200
851,0,800
852,1,200
853,4,400
854,0,200
855,3,1200
856,0,200
857,0,400
858,0,200
859,2,800
860,0,200
861,2,400
862,1,200
863,2,1200
864,0,200
865,0,400
866,0,200
867,1,800
868,0,200
869,1,400
870,0,200
871,0,1200
872,1,200
873,1,400
874,0,200
875,3,800
876,1,200
877,0,400
878,1,200
879,0,1200
880,0,200
881,1,400
882,1,200
883,3,800
884,0,200
885,0,400
886,2,200
887,2,1200
888,0,200
889,0,400
890,1,200
891,4,800
892,0,200
893,0,400
894,0,200
895,3,1200
896,0,200
897,0,400
898,1,200
899,2,800
900,0,200
901,1,400
902,0,200
903,2,1200
904,0,200
905,1,400
906,1,200
907,0,800
908,1,200
909,0,400
910,0,200
911,1,1200
912,0,200
913,1,400
914,1,200
915,1,800
916,0,200
917,0,400
918,1,200
919,1,1200
920,2,200
921,3,400
922,0,200
923,2,800
924,0,200
925,0,400
926,1,200
927,2,1200
928,1,200
929,2,400
930,0,200
931,1,800
932,1,200
933,1,400
934,0,200
935,2,1200
936,0,200
937,0,400
938,0,200
939,3,800
940,1,200
941,2,400
942,1,200
943,3,1200
944,0,200
945,2,400
946,0,200
947,0,800
948,0,200
949,0,400
950,0,200
951,3,1200
952,0,200
953,0,400
954,2,200
955,3,800
956,1,200
957,1,400
958,0,200
959,1,1200
960,0,200
961,0,400
962,0,200
963,4,800
964,0,200
965,0,400
966,0,200
967,1,1200
968,0,200
969,1,400
970,0,200
971,0,800
972,0,200
973,2,400
974,1,200
975,3,1200
976,0,200
977,1,400
978,0,200
979,1,800
980,0,200
981,1,400
982,1,200
983,6,1200
984,0,200
985,0,400
986,0,200
987,1,800
988,1,200
989,0,400
990,0,200
991,1,1200
992,0,200
993,1,400
994,1,200
995,0,800
996,1,200
997,1,400
998,1,200
999,1,1200
1000,0,200
1001,0,400
1002,0,200
1003,0,800
1004,0,200
1005,0,400
1006,1,200
1007,2,1200
1008,0,200
1009,0,400
1010,1,200
1011,2,800
1012,3,200
1013,1,400
1014,1,200
1015,3,1200
1016,0,200
1017,1,400
1018,1,200
1019,2,800
1020,0,200
1021,1,400
1022,1,200
1023,4,1200
1024,0,200
1025,0,400
1026,0,200
1027,0,800
1028,0,200
1029,1,400
1030,0,200
1031,2,1200
1032,3,200
1033,4,400
1034,0,200
1035,2,800
1036,4,200
1037,1,400
1038,1,200
1039,5,1200
1040,1,200
1041,0,400
1042,1,200
1043,2,800
1044,0,200
1045,2,400
1046,0,200
1047,1,1200
1048,0,200
1049,1,400
1050,0,200
1051,2,800
1052,3,200
1053,0,400
1054,1,200
1055,2,1200
1056,0,200
1057,1,400
1058,0,200
1059,4,800
1060,1,200
1061,0,400
1062,0,200
1063,2,1200
1064,0,200
1065,0,400
1066,0,200
1067,0,800
1068,0,200
1069,1,400
1070,0,200
1071,5,1200
1072,1,200
1073,2,400
1074,0,200
1075,4,800
1076,0,200
1077,1,400
1078,0,200
1079,5,1200
1080,1,200
1081,0,400
1082,2,200
1083,0,800
1084,0,200
1085,0,400
1086,1,200
1087,2,1200
1088,2,200
1089,0,400
1090,1,200
1091,0,800
1092,0,200
1093,2,400
1094,0,200
1095,2,1200
1096,1,200
1097,1,400
1098,0,200
1099,1,800
1100,0,200
1101,4,400
1102,2,200
1103,2,1200
1104,2,200
1105,1,400
1106,0,200
1107,0,800
1108,0,200
1109,0,400
1110,1,200
1111,0,1200
1112,0,200
1113,1,400
1114,0,200
1115,2,800
1116,2,200
1117,0,400
1118,0,200
1119,5,1200
1120,2,200
1121,2,400
1122,0,200
1123,3,800
1124,0,200
1125,1,400
1126,1,200
1127,2,1200
1128,0,200
1129,0,400
1130,0,200
1131,1,800
1132,0,200
1133,1,400
1134,0,200
1135,1,1200
1136,0,200
1137,1,400
1138,0,200
1139,2,800
1140,0,200
1141,0,400
1142,0,200
1143,1,1200
1144,2,200
1145,2,400
1146,0,200
1147,4,800
1148,0,200
1149,1,400
1150,1,200
1151,3,1200
1152,1,200
1153,1,400
1154,2,200
1155,2,800
1156,0,200
1157,0,400
1158,0,200
1159,2,1200
1160,1,200
1161,0,400
1162,0,200
1163,0,800
1164,0,200
1165,1,400
1166,1,200
1167,4,1200
1168,0,200
1169,1,400
1170,1,200
1171,2,800
1172,1,200
1173,0,400
1174,0,200
1175,1,1200
1176,0,200
1177,0,400
1178,1,200
1179,0,800
1180,1,200
1181,2,400
1182,2,200
1183,1,1200
1184,0,200
1185,0,400
1186,0,200
1187,3,800
1188,0,200
1189,1,400
1190,0,200
1191,4,1200
1192,0,200
1193,1,400
1194,1,200
1195,2,800
1196,0,200
1197,3,400
1198,0,200
1199,2,1200
1200,2,200
1201,0,400
1202,0,200
1203,1,800
1204,1,200
1205,1,400
1206,0,200
1207,3,1200
1208,0,200
1209,1,400
1210,1,200
1211,4,800
1212,0,200
1213,0,400
1214,1,200
1215,4,1200
1216,0,200
1217,0,400
1218,1,200
1219,0,800
1220,2,200
