,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,250,250,0.5,1200,5,147,8,20132,666
1,250,250,0.5,1200,3,151,9,20132,666
2,250,250,0.5,1200,1,155,9,20132,666
3,250,250,0.5,200,5,233,3,20319,50
4,250,250,0.5,200,3,237,3,20319,50
5,250,250,0.5,200,1,241,3,20319,50
6,250,250,0.5,1200,5,303,11,20036,888
7,250,250,0.5,1200,3,305,11,20036,888
8,250,250,0.5,1200,1,307,11,20036,888
9,250,250,0.5,400,5,384,7,20121,341
10,250,250,0.5,400,3,388,7,20121,341
11,250,250,0.5,400,1,392,7,20121,341
