,num_LEFS,TAD_size
0,2,200
1,7,400
2,5,200
3,8,800
4,2,200
5,3,400
6,0,200
7,11,1200
8,3,200
9,7,400
10,1,200
11,11,800
12,2,200
13,2,400
14,2,200
15,14,1200
16,0,200
17,5,400
18,1,200
19,6,800
20,3,200
21,3,400
22,1,200
23,4,1200
24,2,200
25,4,400
26,2,200
27,5,800
28,1,200
29,3,400
30,2,200
31,8,1200
32,2,200
33,3,400
34,0,200
35,7,800
36,1,200
37,4,400
38,3,200
39,11,1200
40,1,200
41,6,400
42,1,200
43,3,800
44,1,200
45,5,400
46,1,200
47,10,1200
48,3,200
49,7,400
50,1,200
51,10,800
52,1,200
53,1,400
54,3,200
55,11,1200
56,3,200
57,0,400
58,0,200
59,5,800
60,2,200
61,6,400
62,4,200
63,9,1200
64,2,200
65,3,400
66,2,200
67,3,800
68,1,200
69,4,400
70,3,200
71,18,1200
72,2,200
73,6,400
74,2,200
75,4,800
76,1,200
77,0,400
78,3,200
79,10,1200
80,4,200
81,8,400
82,0,200
83,10,800
84,3,200
85,2,400
86,2,200
87,14,1200
88,1,200
89,4,400
90,2,200
91,9,800
92,2,200
93,5,400
94,3,200
95,9,1200
96,1,200
97,4,400
98,4,200
99,10,800
100,1,200
101,1,400
102,1,200
103,8,1200
104,0,200
105,3,400
106,2,200
107,5,800
108,5,200
109,3,400
110,3,200
111,11,1200
112,3,200
113,0,400
114,1,200
115,9,800
116,3,200
117,6,400
118,1,200
119,13,1200
120,2,200
121,3,400
122,2,200
123,4,800
124,4,200
125,4,400
126,3,200
127,11,1200
128,2,200
129,3,400
130,2,200
131,7,800
132,2,200
133,2,400
134,3,200
135,8,1200
136,2,200
137,4,400
138,3,200
139,9,800
140,2,200
141,4,400
142,4,200
143,7,1200
144,2,200
145,6,400
146,2,200
147,13,800
148,5,200
149,7,400
150,2,200
151,10,1200
152,2,200
153,7,400
154,2,200
155,5,800
156,2,200
157,3,400
158,2,200
159,12,1200
160,1,200
161,3,400
162,1,200
163,11,800
164,1,200
165,3,400
166,4,200
167,8,1200
168,1,200
169,6,400
170,2,200
171,11,800
172,3,200
173,0,400
174,3,200
175,7,1200
176,3,200
177,3,400
178,0,200
179,9,800
180,1,200
181,6,400
182,1,200
183,12,1200
184,4,200
185,3,400
186,2,200
187,8,800
188,1,200
189,3,400
190,2,200
191,9,1200
192,0,200
193,2,400
194,1,200
195,4,800
196,2,200
197,4,400
198,4,200
199,4,1200
200,1,200
201,5,400
202,1,200
203,8,800
204,2,200
205,4,400
206,3,200
207,21,1200
208,2,200
209,2,400
210,1,200
211,7,800
212,1,200
213,6,400
214,2,200
215,3,1200
216,1,200
217,3,400
218,3,200
219,9,800
220,1,200
221,5,400
222,2,200
223,7,1200
224,2,200
225,4,400
226,3,200
227,8,800
228,1,200
229,1,400
230,2,200
231,9,1200
232,0,200
233,3,400
234,1,200
235,11,800
236,2,200
237,4,400
238,1,200
239,12,1200
240,4,200
241,8,400
242,4,200
243,12,800
244,3,200
245,5,400
246,4,200
247,6,1200
248,2,200
249,4,400
250,4,200
251,9,800
252,1,200
253,7,400
254,0,200
255,8,1200
256,3,200
257,0,400
258,2,200
259,5,800
260,2,200
261,8,400
262,4,200
263,7,1200
264,3,200
265,2,400
266,3,200
267,11,800
268,2,200
269,3,400
270,1,200
271,11,1200
272,2,200
273,2,400
274,2,200
275,3,800
276,1,200
277,3,400
278,2,200
279,11,1200
280,2,200
281,6,400
282,1,200
283,5,800
284,3,200
285,3,400
286,2,200
287,7,1200
288,2,200
289,2,400
290,3,200
291,12,800
292,3,200
293,3,400
294,3,200
295,9,1200
296,2,200
297,2,400
298,2,200
299,7,800
300,2,200
301,4,400
302,3,200
303,9,1200
304,1,200
305,3,400
306,2,200
307,4,800
308,1,200
309,7,400
310,3,200
311,11,1200
312,2,200
313,2,400
314,1,200
315,5,800
316,1,200
317,2,400
318,3,200
319,9,1200
320,2,200
321,3,400
322,5,200
323,11,800
324,1,200
325,4,400
326,1,200
327,3,1200
328,1,200
329,5,400
330,1,200
331,9,800
332,3,200
333,6,400
334,3,200
335,13,1200
336,6,200
337,7,400
338,4,200
339,9,800
340,2,200
341,4,400
342,1,200
343,8,1200
344,1,200
345,3,400
346,2,200
347,10,800
348,2,200
349,3,400
350,3,200
351,14,1200
352,2,200
353,2,400
354,2,200
355,11,800
356,1,200
357,3,400
358,3,200
359,12,1200
360,1,200
361,2,400
362,2,200
363,7,800
364,1,200
365,7,400
366,3,200
367,11,1200
368,1,200
369,3,400
370,2,200
371,6,800
372,5,200
373,5,400
374,2,200
375,16,1200
376,0,200
377,3,400
378,1,200
379,7,800
380,3,200
381,3,400
382,4,200
383,7,1200
384,2,200
385,5,400
386,1,200
387,2,800
