,num_LEFS,TAD_size
0,5,200
1,6,400
2,4,200
3,15,800
4,4,200
5,4,400
6,3,200
7,13,1200
8,2,200
9,8,400
10,5,200
11,9,800
12,4,200
13,9,400
14,1,200
15,13,1200
16,5,200
17,8,400
18,2,200
19,13,800
20,1,200
21,4,400
22,3,200
23,14,1200
24,6,200
25,15,400
26,5,200
27,11,800
28,6,200
29,1,400
30,1,200
31,17,1200
32,7,200
33,7,400
34,1,200
35,11,800
36,2,200
37,6,400
38,2,200
39,29,1200
40,3,200
41,3,400
42,3,200
43,5,800
44,3,200
45,6,400
46,4,200
47,17,1200
48,2,200
49,8,400
50,1,200
51,18,800
52,4,200
53,9,400
54,5,200
55,29,1200
56,6,200
57,5,400
58,5,200
59,7,800
60,1,200
61,10,400
62,5,200
63,19,1200
64,1,200
65,8,400
66,3,200
67,14,800
68,6,200
69,9,400
70,3,200
71,14,1200
72,2,200
73,8,400
74,3,200
75,17,800
76,0,200
77,4,400
78,5,200
79,16,1200
80,2,200
81,6,400
82,4,200
83,8,800
84,4,200
85,7,400
86,4,200
87,23,1200
88,6,200
89,2,400
90,2,200
91,15,800
92,4,200
93,5,400
94,4,200
95,21,1200
96,2,200
97,8,400
98,4,200
99,14,800
100,5,200
101,5,400
102,5,200
103,12,1200
104,1,200
105,9,400
106,2,200
107,19,800
108,4,200
109,7,400
110,5,200
111,20,1200
112,7,200
113,7,400
114,2,200
115,14,800
116,0,200
117,7,400
118,7,200
119,14,1200
120,6,200
121,3,400
122,4,200
123,14,800
124,5,200
125,7,400
126,3,200
127,24,1200
128,5,200
129,9,400
130,3,200
131,12,800
132,2,200
133,10,400
134,3,200
135,15,1200
136,3,200
137,5,400
138,0,200
139,17,800
140,3,200
141,3,400
142,6,200
143,24,1200
144,4,200
145,9,400
146,4,200
147,13,800
148,4,200
149,10,400
150,5,200
151,23,1200
152,1,200
153,11,400
154,2,200
155,17,800
156,8,200
157,3,400
158,2,200
159,22,1200
160,4,200
161,9,400
162,1,200
163,17,800
164,4,200
165,9,400
166,5,200
167,19,1200
168,2,200
169,5,400
170,3,200
171,14,800
172,3,200
173,7,400
174,2,200
175,19,1200
176,2,200
177,14,400
178,4,200
179,9,800
180,2,200
181,7,400
182,4,200
183,19,1200
184,5,200
185,6,400
186,3,200
187,15,800
188,5,200
189,5,400
190,3,200
191,8,1200
192,2,200
193,0,400
194,5,200
195,8,800
196,2,200
197,6,400
198,2,200
199,17,1200
200,1,200
201,7,400
202,3,200
203,10,800
204,4,200
205,8,400
206,5,200
207,20,1200
208,2,200
209,5,400
210,9,200
211,13,800
212,3,200
213,4,400
214,4,200
215,23,1200
216,3,200
217,4,400
218,2,200
219,15,800
220,6,200
221,8,400
222,3,200
223,12,1200
224,4,200
225,6,400
226,2,200
227,22,800
228,3,200
229,6,400
230,5,200
231,18,1200
232,3,200
233,6,400
234,1,200
235,8,800
236,6,200
237,5,400
238,5,200
239,16,1200
240,2,200
241,9,400
242,5,200
243,10,800
244,6,200
245,7,400
246,3,200
247,23,1200
248,6,200
249,7,400
250,2,200
251,12,800
252,2,200
253,8,400
254,3,200
255,17,1200
256,4,200
257,6,400
258,3,200
259,11,800
260,3,200
261,8,400
262,4,200
263,14,1200
264,4,200
265,8,400
266,5,200
267,10,800
268,5,200
269,7,400
270,6,200
271,21,1200
272,1,200
273,5,400
274,3,200
275,8,800
276,3,200
277,10,400
278,4,200
279,17,1200
280,1,200
281,5,400
282,0,200
283,18,800
284,4,200
285,8,400
286,5,200
287,24,1200
288,4,200
289,4,400
290,5,200
291,17,800
292,5,200
293,6,400
294,5,200
295,19,1200
296,2,200
297,12,400
298,3,200
299,15,800
300,3,200
301,5,400
302,5,200
303,15,1200
304,6,200
305,8,400
306,3,200
307,15,800
308,4,200
309,3,400
310,3,200
311,17,1200
312,6,200
313,9,400
314,3,200
315,13,800
316,1,200
317,6,400
318,2,200
319,20,1200
320,4,200
321,6,400
322,3,200
323,16,800
324,3,200
325,9,400
326,3,200
327,22,1200
328,6,200
329,9,400
330,5,200
331,13,800
332,2,200
333,10,400
334,4,200
335,15,1200
336,4,200
337,8,400
338,3,200
339,7,800
340,4,200
341,8,400
342,3,200
343,20,1200
344,5,200
345,8,400
346,3,200
347,17,800
348,2,200
349,2,400
350,3,200
351,14,1200
352,2,200
353,4,400
354,2,200
355,14,800
356,2,200
357,5,400
358,4,200
359,21,1200
360,2,200
361,9,400
362,3,200
363,6,800
364,3,200
365,5,400
366,1,200
367,18,1200
368,2,200
369,5,400
370,4,200
371,12,800
372,6,200
373,8,400
374,6,200
375,16,1200
376,3,200
377,7,400
378,3,200
379,17,800
380,5,200
381,12,400
382,5,200
383,13,1200
384,3,200
385,14,400
386,9,200
387,13,800
388,3,200
389,8,400
390,2,200
391,18,1200
392,4,200
393,7,400
394,1,200
395,11,800
396,5,200
397,5,400
398,5,200
399,19,1200
400,3,200
401,6,400
402,5,200
403,12,800
404,3,200
405,9,400
406,5,200
407,22,1200
408,4,200
409,13,400
410,9,200
411,15,800
412,1,200
413,4,400
414,3,200
415,23,1200
416,1,200
417,5,400
418,3,200
419,19,800
420,1,200
421,7,400
422,4,200
423,18,1200
424,3,200
425,8,400
426,0,200
427,10,800
428,7,200
429,8,400
430,2,200
431,24,1200
432,1,200
433,8,400
434,5,200
435,9,800
436,2,200
437,5,400
438,3,200
439,21,1200
