,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,62.5,125,0.5,400,5,13,9,20290,200
1,62.5,125,0.5,400,3,17,8,20290,200
2,62.5,125,0.5,200,5,26,6,19554,57
3,62.5,125,0.5,200,3,30,6,19554,57
4,62.5,125,0.5,800,5,31,19,19587,215
5,62.5,125,0.5,800,3,33,18,19587,215
6,62.5,125,0.5,200,1,34,6,19554,57
7,62.5,125,0.5,400,1,46,8,20290,200
8,62.5,125,0.5,400,5,65,11,19658,321
9,62.5,125,0.5,800,3,66,22,20291,234
10,62.5,125,0.5,800,5,66,22,20291,234
11,62.5,125,0.5,400,3,67,11,19658,321
12,62.5,125,0.5,800,1,70,19,20291,234
13,62.5,125,0.5,400,1,92,11,19658,321
14,62.5,125,0.5,1200,5,92,25,21536,1122
15,62.5,125,0.5,1200,3,94,24,21536,1122
16,62.5,125,0.5,1200,5,94,13,20128,351
17,62.5,125,0.5,1200,3,96,14,20128,351
18,62.5,125,0.5,1200,1,98,23,21536,1122
19,62.5,125,0.5,1200,1,98,14,20128,351
20,62.5,125,0.5,400,5,113,10,20230,54
21,62.5,125,0.5,400,3,115,10,20230,54
22,62.5,125,0.5,400,1,117,9,20230,54
23,62.5,125,0.5,400,5,132,9,19755,173
24,62.5,125,0.5,400,3,136,10,19755,173
25,62.5,125,0.5,400,1,140,10,19755,173
26,62.5,125,0.5,400,5,176,9,19721,241
27,62.5,125,0.5,400,3,180,10,19721,241
