,num_LEFS,TAD_size
0,1,200
1,1,400
2,0,200
3,1,800
4,0,200
5,0,400
6,1,200
7,1,1200
8,1,200
9,1,400
10,1,200
11,2,800
12,1,200
13,3,400
14,0,200
15,4,1200
16,1,200
17,1,400
18,1,200
19,2,800
20,0,200
21,3,400
22,0,200
23,3,1200
24,0,200
25,1,400
26,1,200
27,3,800
28,0,200
29,0,400
30,0,200
31,1,1200
32,0,200
33,0,400
34,0,200
35,2,800
36,0,200
37,4,400
38,0,200
39,1,1200
40,0,200
41,2,400
42,0,200
43,2,800
44,0,200
45,0,400
46,0,200
47,3,1200
48,0,200
49,1,400
50,1,200
51,4,800
52,1,200
53,0,400
54,0,200
55,4,1200
56,1,200
57,5,400
58,0,200
59,2,800
60,0,200
61,0,400
62,1,200
63,5,1200
64,1,200
65,0,400
66,0,200
67,0,800
68,1,200
69,1,400
70,1,200
71,5,1200
72,0,200
73,0,400
74,0,200
75,1,800
76,0,200
77,0,400
78,0,200
79,4,1200
80,0,200
81,0,400
82,1,200
83,2,800
84,0,200
85,0,400
86,0,200
87,2,1200
88,0,200
89,0,400
90,0,200
91,1,800
92,1,200
93,0,400
94,0,200
95,1,1200
96,1,200
97,3,400
98,1,200
99,3,800
100,1,200
101,0,400
102,0,200
103,1,1200
104,0,200
105,1,400
106,0,200
107,2,800
108,0,200
109,0,400
110,0,200
111,2,1200
112,0,200
113,0,400
114,0,200
115,2,800
116,0,200
117,4,400
118,0,200
119,1,1200
120,0,200
121,1,400
122,0,200
123,5,800
124,0,200
125,0,400
126,1,200
127,2,1200
128,2,200
129,1,400
130,0,200
131,2,800
132,0,200
133,0,400
134,0,200
135,1,1200
136,1,200
137,1,400
138,0,200
139,3,800
140,0,200
141,2,400
142,1,200
143,2,1200
144,0,200
145,1,400
146,1,200
147,0,800
148,1,200
149,0,400
150,0,200
151,4,1200
152,0,200
153,0,400
154,1,200
155,3,800
156,1,200
157,0,400
158,0,200
159,3,1200
160,0,200
161,0,400
162,1,200
163,0,800
164,1,200
165,0,400
166,0,200
167,4,1200
168,1,200
169,2,400
170,0,200
171,1,800
172,1,200
173,3,400
174,0,200
175,2,1200
176,1,200
177,2,400
178,1,200
179,0,800
180,0,200
181,0,400
182,0,200
183,5,1200
184,0,200
185,0,400
186,0,200
187,2,800
188,0,200
189,2,400
190,2,200
191,4,1200
192,0,200
193,0,400
194,0,200
195,2,800
196,1,200
197,1,400
198,0,200
199,0,1200
200,0,200
201,1,400
202,2,200
203,4,800
204,1,200
205,0,400
206,0,200
207,4,1200
208,0,200
209,1,400
210,0,200
211,3,800
212,0,200
213,1,400
214,2,200
215,2,1200
216,0,200
217,0,400
218,1,200
219,3,800
220,1,200
221,0,400
222,1,200
223,5,1200
224,0,200
225,1,400
226,0,200
227,2,800
228,1,200
229,1,400
230,0,200
231,2,1200
232,0,200
233,0,400
234,0,200
235,1,800
236,0,200
237,0,400
238,1,200
239,0,1200
240,2,200
241,1,400
242,0,200
243,2,800
244,1,200
245,0,400
246,1,200
247,3,1200
248,1,200
249,2,400
250,0,200
251,0,800
252,0,200
253,0,400
254,0,200
255,5,1200
256,1,200
257,2,400
258,1,200
259,1,800
260,0,200
261,1,400
262,0,200
263,4,1200
264,0,200
265,0,400
266,0,200
267,0,800
268,1,200
269,0,400
270,1,200
271,5,1200
272,1,200
273,4,400
274,0,200
275,1,800
276,0,200
277,0,400
278,0,200
279,1,1200
280,0,200
281,1,400
282,0,200
283,3,800
284,0,200
285,0,400
286,0,200
287,3,1200
288,0,200
289,2,400
290,0,200
291,2,800
292,0,200
293,0,400
294,1,200
295,2,1200
296,0,200
297,2,400
298,0,200
299,1,800
300,1,200
301,0,400
302,0,200
303,1,1200
304,0,200
305,2,400
306,0,200
307,1,800
308,0,200
309,2,400
310,1,200
311,1,1200
312,0,200
313,0,400
314,0,200
315,4,800
316,2,200
317,0,400
318,0,200
319,0,1200
320,0,200
321,3,400
322,1,200
323,2,800
324,1,200
325,0,400
326,0,200
327,7,1200
328,0,200
329,0,400
330,0,200
331,2,800
332,0,200
333,0,400
334,1,200
335,0,1200
336,0,200
337,1,400
338,0,200
339,2,800
340,1,200
341,1,400
342,0,200
343,0,1200
344,0,200
345,0,400
346,0,200
347,2,800
348,0,200
349,1,400
350,1,200
351,2,1200
352,1,200
353,3,400
354,0,200
355,1,800
356,0,200
357,2,400
358,2,200
359,2,1200
360,0,200
361,3,400
362,0,200
363,0,800
364,1,200
365,1,400
366,1,200
367,2,1200
368,2,200
369,3,400
370,0,200
371,2,800
372,0,200
373,1,400
374,1,200
375,0,1200
376,0,200
377,0,400
378,0,200
379,3,800
380,0,200
381,1,400
382,3,200
383,1,1200
384,0,200
385,0,400
386,0,200
387,1,800
388,0,200
389,0,400
390,0,200
391,1,1200
392,0,200
393,1,400
394,0,200
395,3,800
396,1,200
397,0,400
398,0,200
399,3,1200
400,0,200
401,1,400
402,0,200
403,2,800
404,0,200
405,0,400
406,0,200
407,2,1200
408,0,200
409,0,400
410,0,200
411,4,800
412,1,200
413,0,400
414,0,200
415,0,1200
416,1,200
417,1,400
418,0,200
419,1,800
420,1,200
421,2,400
422,0,200
423,2,1200
424,0,200
425,1,400
426,2,200
427,3,800
428,0,200
429,2,400
430,1,200
431,4,1200
432,1,200
433,0,400
434,0,200
435,1,800
436,0,200
437,1,400
438,3,200
439,2,1200
440,0,200
441,1,400
442,1,200
443,2,800
444,0,200
445,0,400
446,0,200
447,1,1200
448,1,200
449,0,400
450,0,200
451,4,800
452,0,200
453,0,400
454,0,200
455,3,1200
456,0,200
457,1,400
458,0,200
459,0,800
460,0,200
461,1,400
462,1,200
463,4,1200
464,0,200
465,1,400
466,0,200
467,1,800
468,1,200
469,1,400
470,0,200
471,1,1200
472,1,200
473,0,400
474,0,200
475,1,800
476,1,200
477,0,400
478,0,200
479,3,1200
480,2,200
481,2,400
482,1,200
483,1,800
484,1,200
485,1,400
486,0,200
487,4,1200
488,2,200
489,2,400
490,1,200
491,0,800
492,0,200
493,0,400
494,1,200
495,2,1200
496,1,200
497,0,400
498,0,200
499,0,800
500,0,200
501,2,400
502,1,200
503,2,1200
504,0,200
505,2,400
506,0,200
507,0,800
508,0,200
509,1,400
510,0,200
511,0,1200
512,0,200
513,0,400
514,1,200
515,2,800
516,1,200
517,0,400
518,0,200
519,2,1200
520,0,200
521,0,400
522,0,200
523,0,800
524,0,200
525,1,400
526,0,200
527,0,1200
528,0,200
529,0,400
530,1,200
531,1,800
532,0,200
533,0,400
534,0,200
535,2,1200
536,0,200
537,2,400
538,1,200
539,2,800
540,2,200
541,1,400
542,1,200
543,1,1200
544,0,200
545,0,400
546,0,200
547,0,800
548,0,200
549,2,400
550,0,200
551,0,1200
552,0,200
553,0,400
554,0,200
555,1,800
556,2,200
557,2,400
558,1,200
559,2,1200
560,0,200
561,1,400
562,0,200
563,3,800
564,0,200
565,0,400
566,1,200
567,3,1200
568,2,200
569,2,400
570,0,200
571,2,800
572,0,200
573,0,400
574,0,200
575,2,1200
576,2,200
577,2,400
578,2,200
579,1,800
580,3,200
581,0,400
582,1,200
583,4,1200
584,0,200
585,0,400
586,0,200
587,2,800
588,0,200
589,1,400
590,0,200
591,6,1200
592,1,200
593,1,400
594,0,200
595,1,800
596,1,200
597,2,400
598,0,200
599,1,1200
600,0,200
601,2,400
602,0,200
603,3,800
604,0,200
605,4,400
606,1,200
607,3,1200
608,0,200
609,1,400
610,0,200
611,0,800
612,1,200
613,1,400
614,0,200
615,5,1200
616,0,200
617,1,400
618,0,200
619,1,800
620,0,200
621,0,400
622,0,200
623,1,1200
624,0,200
625,1,400
626,0,200
627,0,800
628,1,200
629,1,400
630,0,200
631,3,1200
632,0,200
633,1,400
634,0,200
635,0,800
636,1,200
637,3,400
638,2,200
639,3,1200
640,1,200
641,2,400
642,0,200
643,1,800
644,1,200
645,1,400
646,0,200
647,2,1200
648,0,200
649,0,400
650,0,200
651,3,800
652,1,200
653,1,400
654,1,200
655,6,1200
656,0,200
657,2,400
658,1,200
659,2,800
660,1,200
661,3,400
662,3,200
663,3,1200
664,0,200
665,1,400
666,1,200
667,1,800
668,1,200
669,0,400
670,0,200
671,0,1200
672,0,200
673,1,400
674,1,200
675,2,800
676,1,200
677,0,400
678,0,200
679,5,1200
680,1,200
681,1,400
682,0,200
683,2,800
684,1,200
685,0,400
686,0,200
687,3,1200
688,2,200
689,1,400
690,0,200
691,1,800
692,0,200
693,1,400
694,0,200
695,2,1200
696,0,200
697,1,400
698,0,200
699,0,800
700,0,200
701,1,400
702,0,200
703,5,1200
704,0,200
705,0,400
706,1,200
707,0,800
708,1,200
709,0,400
710,0,200
711,2,1200
712,0,200
713,0,400
714,0,200
715,5,800
716,2,200
717,0,400
718,0,200
719,3,1200
720,1,200
721,1,400
722,0,200
723,1,800
724,0,200
725,1,400
726,0,200
727,3,1200
728,2,200
729,0,400
730,0,200
731,2,800
732,1,200
733,1,400
734,0,200
735,3,1200
736,0,200
737,1,400
738,1,200
739,0,800
740,1,200
741,0,400
742,0,200
743,1,1200
744,0,200
745,0,400
746,0,200
747,1,800
748,0,200
749,0,400
750,1,200
751,1,1200
752,0,200
753,0,400
754,2,200
755,1,800
756,0,200
757,0,400
758,0,200
759,5,1200
760,0,200
761,2,400
762,0,200
763,1,800
764,1,200
765,1,400
766,1,200
767,1,1200
768,0,200
769,1,400
770,0,200
771,2,800
772,2,200
773,2,400
774,1,200
775,4,1200
776,1,200
777,0,400
778,0,200
779,1,800
780,0,200
781,0,400
782,0,200
783,3,1200
784,3,200
785,2,400
786,2,200
787,1,800
788,0,200
789,0,400
790,0,200
791,3,1200
792,1,200
793,0,400
794,0,200
795,3,800
796,0,200
797,0,400
798,0,200
799,1,1200
800,0,200
801,0,400
802,0,200
803,0,800
804,0,200
805,1,400
806,0,200
807,2,1200
808,0,200
809,1,400
810,1,200
811,0,800
812,0,200
813,0,400
814,2,200
815,4,1200
816,0,200
817,2,400
818,0,200
819,1,800
820,0,200
821,0,400
822,0,200
823,3,1200
824,0,200
825,1,400
826,0,200
827,2,800
828,1,200
829,1,400
830,0,200
831,3,1200
832,0,200
833,0,400
834,0,200
835,3,800
836,1,200
837,0,400
838,0,200
839,4,1200
840,1,200
841,1,400
842,0,200
843,1,800
844,0,200
845,0,400
846,1,200
847,3,1200
848,2,200
849,1,400
850,0,200
851,0,800
852,0,200
853,1,400
854,1,200
855,2,1200
856,0,200
857,1,400
858,0,200
859,1,800
860,0,200
861,0,400
862,0,200
863,2,1200
864,1,200
865,1,400
866,0,200
867,1,800
868,0,200
869,1,400
870,0,200
871,3,1200
872,0,200
873,2,400
874,1,200
875,1,800
876,0,200
877,1,400
878,1,200
879,4,1200
880,1,200
881,1,400
882,2,200
883,2,800
884,1,200
885,0,400
886,0,200
887,3,1200
888,0,200
889,0,400
890,0,200
891,2,800
892,0,200
893,1,400
894,1,200
895,2,1200
896,0,200
897,0,400
898,0,200
899,5,800
900,0,200
901,0,400
902,1,200
903,1,1200
904,1,200
905,1,400
906,1,200
907,3,800
908,0,200
909,0,400
910,2,200
911,2,1200
912,0,200
913,0,400
914,0,200
915,1,800
916,1,200
917,1,400
918,2,200
919,3,1200
920,0,200
921,0,400
922,0,200
923,2,800
924,0,200
925,2,400
926,1,200
927,1,1200
928,0,200
929,1,400
930,0,200
931,1,800
932,0,200
933,1,400
934,0,200
935,2,1200
936,0,200
937,1,400
938,0,200
939,1,800
940,1,200
941,1,400
942,0,200
943,2,1200
944,0,200
945,0,400
946,1,200
947,0,800
948,0,200
949,2,400
950,1,200
951,1,1200
952,0,200
953,0,400
954,0,200
955,1,800
956,0,200
957,1,400
958,0,200
959,2,1200
960,1,200
961,0,400
962,1,200
963,0,800
964,3,200
965,0,400
966,0,200
967,2,1200
968,0,200
969,0,400
970,0,200
971,0,800
972,1,200
973,2,400
974,0,200
975,5,1200
976,0,200
977,1,400
978,1,200
979,2,800
980,0,200
981,1,400
982,0,200
983,0,1200
984,2,200
985,0,400
986,2,200
987,2,800
988,3,200
989,1,400
990,0,200
991,2,1200
992,1,200
993,1,400
994,0,200
995,1,800
996,0,200
997,1,400
998,0,200
999,4,1200
1000,0,200
1001,1,400
1002,1,200
1003,2,800
1004,2,200
1005,2,400
1006,0,200
1007,3,1200
1008,1,200
1009,1,400
1010,0,200
1011,3,800
1012,0,200
1013,0,400
1014,0,200
1015,3,1200
1016,1,200
1017,0,400
1018,0,200
1019,1,800
1020,0,200
1021,1,400
1022,1,200
1023,1,1200
1024,0,200
1025,1,400
1026,0,200
1027,0,800
1028,0,200
1029,0,400
1030,0,200
1031,3,1200
1032,0,200
1033,2,400
1034,0,200
1035,1,800
1036,0,200
1037,1,400
1038,1,200
1039,2,1200
1040,2,200
1041,2,400
1042,2,200
1043,2,800
1044,1,200
1045,0,400
1046,0,200
1047,0,1200
1048,3,200
1049,0,400
1050,1,200
1051,1,800
1052,0,200
1053,0,400
1054,0,200
1055,2,1200
1056,0,200
1057,0,400
1058,0,200
1059,1,800
1060,0,200
1061,0,400
1062,1,200
1063,3,1200
1064,0,200
1065,1,400
1066,1,200
1067,1,800
1068,0,200
1069,0,400
1070,0,200
1071,5,1200
1072,0,200
1073,1,400
1074,0,200
1075,1,800
1076,2,200
1077,2,400
1078,1,200
1079,2,1200
1080,2,200
1081,0,400
1082,1,200
1083,0,800
1084,1,200
1085,3,400
1086,2,200
1087,5,1200
1088,0,200
1089,0,400
1090,0,200
1091,3,800
1092,0,200
1093,0,400
1094,0,200
1095,1,1200
1096,0,200
1097,0,400
1098,1,200
1099,0,800
1100,0,200
1101,0,400
1102,0,200
1103,1,1200
1104,1,200
1105,1,400
1106,0,200
1107,5,800
1108,0,200
1109,0,400
1110,0,200
1111,3,1200
1112,0,200
1113,0,400
1114,0,200
1115,2,800
1116,0,200
1117,2,400
1118,0,200
1119,0,1200
1120,0,200
1121,1,400
1122,1,200
1123,0,800
1124,0,200
1125,0,400
1126,0,200
1127,2,1200
1128,0,200
1129,0,400
1130,1,200
1131,4,800
1132,0,200
1133,1,400
1134,0,200
1135,0,1200
1136,0,200
1137,2,400
1138,0,200
1139,2,800
1140,1,200
1141,1,400
1142,0,200
1143,2,1200
1144,1,200
1145,0,400
1146,0,200
1147,0,800
1148,0,200
1149,1,400
1150,0,200
1151,1,1200
1152,1,200
1153,0,400
1154,0,200
1155,2,800
1156,1,200
1157,0,400
1158,0,200
1159,0,1200
1160,0,200
1161,1,400
1162,2,200
1163,4,800
1164,0,200
1165,2,400
1166,0,200
1167,3,1200
1168,0,200
1169,0,400
1170,1,200
1171,1,800
1172,0,200
1173,0,400
1174,0,200
1175,6,1200
1176,1,200
1177,0,400
1178,0,200
1179,1,800
1180,0,200
1181,1,400
1182,1,200
1183,3,1200
1184,0,200
1185,1,400
1186,0,200
1187,1,800
1188,0,200
1189,1,400
1190,0,200
1191,2,1200
1192,0,200
1193,1,400
1194,0,200
1195,2,800
1196,1,200
1197,1,400
1198,0,200
1199,1,1200
1200,0,200
1201,1,400
1202,0,200
1203,3,800
1204,0,200
1205,1,400
1206,0,200
1207,0,1200
1208,0,200
1209,0,400
1210,0,200
1211,0,800
1212,1,200
1213,1,400
1214,0,200
1215,2,1200
1216,1,200
1217,0,400
1218,1,200
1219,2,800
1220,0,200
1221,3,400
1222,1,200
1223,2,1200
1224,0,200
1225,1,400
1226,0,200
1227,2,800
1228,1,200
1229,2,400
1230,2,200
1231,3,1200
1232,3,200
1233,0,400
1234,0,200
1235,0,800
1236,0,200
1237,0,400
1238,0,200
1239,2,1200
1240,2,200
1241,1,400
1242,0,200
1243,1,800
1244,0,200
1245,1,400
1246,0,200
1247,2,1200
1248,0,200
1249,1,400
1250,0,200
1251,2,800
1252,0,200
1253,0,400
1254,0,200
1255,2,1200
1256,0,200
1257,0,400
1258,0,200
1259,3,800
1260,1,200
1261,1,400
1262,0,200
1263,4,1200
1264,0,200
1265,0,400
1266,0,200
1267,2,800
1268,0,200
1269,0,400
1270,0,200
1271,1,1200
1272,1,200
1273,0,400
1274,0,200
1275,3,800
1276,0,200
1277,2,400
1278,1,200
1279,2,1200
1280,0,200
1281,0,400
1282,0,200
1283,1,800
1284,0,200
1285,1,400
1286,0,200
1287,4,1200
1288,1,200
1289,0,400
1290,0,200
1291,1,800
1292,1,200
1293,2,400
1294,0,200
1295,3,1200
1296,0,200
1297,1,400
1298,1,200
1299,2,800
1300,2,200
1301,0,400
1302,0,200
1303,3,1200
1304,1,200
1305,2,400
1306,1,200
1307,0,800
1308,1,200
1309,1,400
1310,2,200
1311,0,1200
1312,0,200
1313,1,400
1314,1,200
1315,0,800
1316,1,200
1317,3,400
1318,0,200
1319,0,1200
1320,0,200
1321,1,400
1322,0,200
1323,2,800
1324,1,200
1325,1,400
1326,1,200
1327,1,1200
1328,0,200
1329,0,400
1330,0,200
1331,0,800
1332,1,200
1333,1,400
1334,1,200
1335,1,1200
1336,1,200
1337,0,400
1338,0,200
1339,2,800
1340,1,200
1341,0,400
1342,0,200
