,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,1000,0.5,800,5,12,4,20536,726
1,125,1000,0.5,800,3,16,4,20536,726
2,125,1000,0.5,800,1,20,4,20536,726
3,125,1000,0.5,400,5,28,5,19616,318
4,125,1000,0.5,400,3,32,5,19616,318
5,125,1000,0.5,400,1,36,5,19616,318
6,125,1000,0.5,1200,5,66,14,20052,587
7,125,1000,0.5,1200,3,70,14,20052,587
8,125,1000,0.5,1200,1,74,14,20052,587
9,125,1000,0.5,800,5,79,4,10294,321
10,125,1000,0.5,200,5,80,4,19704,37
11,125,1000,0.5,800,3,83,4,10294,321
12,125,1000,0.5,200,3,84,4,19704,37
13,125,1000,0.5,800,1,87,4,10294,321
14,125,1000,0.5,200,1,88,4,19704,37
15,125,1000,0.5,400,5,131,3,19465,347
16,125,1000,0.5,400,3,133,3,19465,347
17,125,1000,0.5,400,1,136,3,19465,347
18,125,1000,0.5,400,5,140,6,20488,370
19,125,1000,0.5,400,5,141,5,19849,114
20,125,1000,0.5,400,3,144,6,20488,370
21,125,1000,0.5,400,3,145,6,19849,114
22,125,1000,0.5,400,1,148,6,20488,370
23,125,1000,0.5,400,1,149,6,19849,114
24,125,1000,0.5,800,5,178,7,19594,209
25,125,1000,0.5,800,3,182,7,19594,209
26,125,1000,0.5,800,1,186,7,19594,209
27,125,1000,0.5,1200,5,198,6,19941,644
28,125,1000,0.5,1200,3,202,6,19941,644
29,125,1000,0.5,1200,1,206,6,19941,644
30,125,1000,0.5,1200,5,226,11,21126,971
31,125,1000,0.5,400,5,229,5,19575,247
32,125,1000,0.5,1200,3,230,11,21126,971
33,125,1000,0.5,1200,5,233,9,19676,223
34,125,1000,0.5,400,3,233,5,19575,247
35,125,1000,0.5,1200,1,234,11,21126,971
36,125,1000,0.5,1200,3,237,9,19676,223
37,125,1000,0.5,400,1,237,5,19575,247
38,125,1000,0.5,1200,1,241,9,19676,223
39,125,1000,0.5,800,5,265,4,20056,350
40,125,1000,0.5,800,3,269,4,20056,350
41,125,1000,0.5,800,1,274,5,20056,350
42,125,1000,0.5,800,5,277,8,19941,475
43,125,1000,0.5,800,3,281,8,19941,475
44,125,1000,0.5,800,1,285,8,19941,475
45,125,1000,0.5,1200,5,294,11,19680,233
46,125,1000,0.5,1200,3,298,11,19680,233
47,125,1000,0.5,1200,1,302,11,19680,233
48,125,1000,0.5,200,5,309,3,19497,108
49,125,1000,0.5,200,3,313,3,19497,108
50,125,1000,0.5,200,1,317,3,19497,108
51,125,1000,0.5,1200,5,323,6,20376,919
52,125,1000,0.5,1200,3,325,6,20376,919
53,125,1000,0.5,1200,1,327,6,20376,919
54,125,1000,0.5,400,5,340,5,20207,191
55,125,1000,0.5,1200,5,341,10,20708,1065
56,125,1000,0.5,1200,3,342,10,20708,1065
57,125,1000,0.5,1200,1,343,10,20708,1065
58,125,1000,0.5,400,3,344,5,20207,191
59,125,1000,0.5,400,5,347,7,20417,253
60,125,1000,0.5,400,1,348,6,20207,191
61,125,1000,0.5,1200,5,350,7,20637,754
62,125,1000,0.5,400,3,351,7,20417,253
63,125,1000,0.5,1200,3,354,7,20637,754
64,125,1000,0.5,400,1,355,7,20417,253
65,125,1000,0.5,1200,1,358,7,20637,754
66,125,1000,0.5,400,5,360,6,19644,361
67,125,1000,0.5,400,3,364,7,19644,361
68,125,1000,0.5,400,1,368,6,19644,361
69,125,1000,0.5,800,5,370,7,19912,500
70,125,1000,0.5,800,3,374,7,19912,500
71,125,1000,0.5,800,1,378,7,19912,500
72,125,1000,0.5,800,5,425,8,19605,126
73,125,1000,0.5,800,3,429,8,19605,126
74,125,1000,0.5,800,5,431,9,20523,657
75,125,1000,0.5,400,5,431,4,20050,128
76,125,1000,0.5,800,1,433,8,19605,126
77,125,1000,0.5,800,3,435,9,20523,657
78,125,1000,0.5,400,3,435,4,20050,128
79,125,1000,0.5,800,1,439,8,20523,657
80,125,1000,0.5,400,1,439,4,20050,128
81,125,1000,0.5,1200,5,450,12,20769,1072
82,125,1000,0.5,400,5,450,6,19966,157
83,125,1000,0.5,1200,5,451,9,20018,115
84,125,1000,0.5,1200,3,454,12,20769,1072
85,125,1000,0.5,400,3,454,6,19966,157
86,125,1000,0.5,800,5,454,11,20041,253
87,125,1000,0.5,1200,3,455,9,20018,115
88,125,1000,0.5,1200,1,458,12,20769,1072
89,125,1000,0.5,400,1,458,6,19966,157
90,125,1000,0.5,800,3,458,11,20041,253
91,125,1000,0.5,1200,1,459,9,20018,115
92,125,1000,0.5,800,1,462,11,20041,253
93,125,1000,0.5,1200,5,487,10,20130,123
94,125,1000,0.5,1200,3,491,10,20130,123
95,125,1000,0.5,1200,1,495,10,20130,123
96,125,1000,0.5,400,5,504,4,19716,364
97,125,1000,0.5,400,3,508,4,19716,364
98,125,1000,0.5,400,1,512,5,19716,364
99,125,1000,0.5,400,5,520,5,20406,242
100,125,1000,0.5,400,3,524,5,20406,242
101,125,1000,0.5,400,1,528,6,20406,242
102,125,1000,0.5,800,5,552,8,20335,560
103,125,1000,0.5,800,5,554,12,19732,197
104,125,1000,0.5,800,3,556,12,19732,197
105,125,1000,0.5,800,3,556,8,20335,560
106,125,1000,0.5,800,1,558,12,19732,197
107,125,1000,0.5,800,1,560,8,20335,560
108,125,1000,0.5,1200,5,565,11,20467,633
109,125,1000,0.5,1200,3,568,11,20467,633
110,125,1000,0.5,1200,1,572,12,20467,633
111,125,1000,0.5,800,5,623,7,20050,263
112,125,1000,0.5,800,3,627,7,20050,263
113,125,1000,0.5,800,1,631,7,20050,263
114,125,1000,0.5,1200,5,634,6,21456,975
115,125,1000,0.5,1200,3,636,6,21456,975
116,125,1000,0.5,1200,5,685,10,20932,903
117,125,1000,0.5,1200,3,689,9,20932,903
118,125,1000,0.5,1200,1,693,9,20932,903
119,125,1000,0.5,1200,5,702,7,19645,19
120,125,1000,0.5,800,5,706,14,20054,761
121,125,1000,0.5,1200,3,706,7,19645,19
122,125,1000,0.5,800,3,710,14,20054,761
123,125,1000,0.5,1200,1,710,7,19645,19
124,125,1000,0.5,800,1,714,14,20054,761
125,125,1000,0.5,1200,5,727,9,20186,301
126,125,1000,0.5,1200,3,731,9,20186,301
127,125,1000,0.5,1200,1,735,9,20186,301
128,125,1000,0.5,400,5,764,5,19608,157
129,125,1000,0.5,400,3,768,5,19608,157
130,125,1000,0.5,400,1,772,5,19608,157
131,125,1000,0.5,1200,5,775,14,19895,1149
132,125,1000,0.5,1200,3,779,14,19895,1149
133,125,1000,0.5,1200,1,783,14,19895,1149
134,125,1000,0.5,1200,5,853,13,20692,1185
135,125,1000,0.5,1200,3,856,13,20692,1185
136,125,1000,0.5,1200,1,860,13,20692,1185
137,125,1000,0.5,1200,5,877,14,19353,529
138,125,1000,0.5,1200,3,881,14,19353,529
139,125,1000,0.5,1200,1,885,14,19353,529
140,125,1000,0.5,400,5,933,8,20217,186
141,125,1000,0.5,400,3,936,8,20217,186
142,125,1000,0.5,400,1,940,8,20217,186
143,125,1000,0.5,800,5,962,8,20335,223
144,125,1000,0.5,800,3,966,8,20335,223
145,125,1000,0.5,800,1,970,8,20335,223
146,125,1000,0.5,400,5,1071,4,20432,365
147,125,1000,0.5,400,3,1075,4,20432,365
