,num_LEFS,TAD_size
0,1,200
1,4,400
2,3,200
3,13,800
4,3,200
5,8,400
6,2,200
7,25,1200
8,2,200
9,5,400
10,3,200
11,8,800
12,4,200
13,10,400
14,2,200
15,22,1200
16,5,200
17,5,400
18,8,200
19,15,800
20,4,200
21,7,400
22,1,200
23,21,1200
24,5,200
25,4,400
26,5,200
27,15,800
28,3,200
29,7,400
30,4,200
31,25,1200
32,5,200
33,9,400
34,7,200
35,19,800
36,2,200
37,10,400
38,3,200
39,21,1200
40,1,200
41,7,400
42,3,200
43,15,800
44,2,200
45,7,400
46,5,200
47,21,1200
48,2,200
49,7,400
50,3,200
51,10,800
52,2,200
53,5,400
54,3,200
55,33,1200
56,4,200
57,10,400
58,2,200
59,10,800
60,4,200
61,6,400
62,5,200
63,18,1200
64,1,200
65,8,400
66,2,200
67,18,800
68,2,200
69,9,400
70,2,200
71,24,1200
72,4,200
73,2,400
74,2,200
75,11,800
76,3,200
77,9,400
78,4,200
79,17,1200
80,6,200
81,6,400
82,4,200
83,5,800
84,5,200
85,5,400
86,4,200
87,28,1200
88,7,200
89,3,400
90,1,200
91,16,800
92,4,200
93,11,400
94,3,200
95,17,1200
96,2,200
97,6,400
98,4,200
99,15,800
100,2,200
101,5,400
102,3,200
103,18,1200
104,1,200
105,5,400
106,2,200
107,19,800
108,1,200
109,7,400
110,1,200
111,20,1200
112,5,200
113,7,400
114,4,200
115,16,800
116,3,200
117,4,400
118,4,200
119,17,1200
120,4,200
121,10,400
122,2,200
123,12,800
124,5,200
125,4,400
126,1,200
127,19,1200
128,6,200
129,10,400
130,4,200
131,16,800
132,2,200
133,6,400
134,2,200
135,21,1200
136,3,200
137,5,400
138,4,200
139,16,800
140,1,200
141,9,400
142,3,200
143,22,1200
144,1,200
145,7,400
146,2,200
147,13,800
148,2,200
149,5,400
150,4,200
151,22,1200
152,7,200
153,8,400
154,3,200
155,14,800
156,7,200
157,11,400
158,4,200
159,18,1200
160,5,200
161,1,400
162,7,200
163,11,800
164,6,200
165,4,400
166,4,200
167,20,1200
168,2,200
169,7,400
170,1,200
171,5,800
172,6,200
173,8,400
174,5,200
175,15,1200
176,1,200
177,10,400
178,4,200
179,13,800
180,4,200
181,5,400
182,3,200
183,23,1200
184,5,200
185,8,400
186,4,200
187,13,800
188,4,200
189,3,400
190,3,200
191,28,1200
192,6,200
193,7,400
194,3,200
195,16,800
196,7,200
197,9,400
198,2,200
199,26,1200
200,1,200
201,11,400
202,3,200
203,12,800
204,6,200
205,8,400
206,2,200
207,18,1200
208,3,200
209,6,400
210,3,200
211,10,800
212,8,200
213,9,400
214,3,200
215,20,1200
216,2,200
217,3,400
218,5,200
219,15,800
220,3,200
221,7,400
222,2,200
223,21,1200
224,4,200
225,6,400
226,3,200
227,19,800
228,4,200
229,8,400
230,3,200
231,23,1200
232,5,200
233,8,400
234,4,200
235,15,800
236,3,200
237,7,400
238,4,200
239,19,1200
240,1,200
241,9,400
242,2,200
243,11,800
244,2,200
245,3,400
246,3,200
247,17,1200
248,5,200
249,6,400
250,3,200
251,16,800
252,6,200
253,6,400
254,4,200
255,19,1200
256,3,200
257,8,400
258,2,200
259,19,800
260,3,200
261,6,400
262,3,200
263,22,1200
