,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,1000,0.7,1200,1,0,19,20659,843
1,125,1000,0.7,1200,3,0,19,20659,843
2,125,1000,0.7,1200,5,0,19,20659,843
3,125,1000,0.7,400,5,24,5,19644,149
4,125,1000,0.7,400,3,28,5,19644,149
5,125,1000,0.7,400,1,32,5,19644,149
6,125,1000,0.7,200,5,56,6,20203,154
7,125,1000,0.7,200,3,60,6,20203,154
8,125,1000,0.7,200,1,64,6,20203,154
9,125,1000,0.7,1200,5,101,11,20247,574
10,125,1000,0.7,1200,3,105,11,20247,574
11,125,1000,0.7,1200,1,109,12,20247,574
12,125,1000,0.7,1200,5,185,11,20365,898
13,125,1000,0.7,1200,3,189,11,20365,898
14,125,1000,0.7,1200,1,193,11,20365,898
15,125,1000,0.7,1200,5,210,13,21867,1064
16,125,1000,0.7,1200,3,214,13,21867,1064
17,125,1000,0.7,1200,1,218,13,21867,1064
18,125,1000,0.7,800,5,237,12,19795,116
19,125,1000,0.7,800,3,241,12,19795,116
20,125,1000,0.7,800,1,245,12,19795,116
21,125,1000,0.7,800,5,253,5,19717,534
22,125,1000,0.7,800,3,257,5,19717,534
23,125,1000,0.7,800,1,261,5,19717,534
24,125,1000,0.7,400,5,264,5,20007,72
25,125,1000,0.7,400,3,268,5,20007,72
26,125,1000,0.7,400,1,272,5,20007,72
27,125,1000,0.7,400,5,288,3,19597,264
28,125,1000,0.7,200,5,295,3,19473,185
29,125,1000,0.7,200,3,297,3,19473,185
30,125,1000,0.7,200,1,300,3,19473,185
31,125,1000,0.7,400,5,308,5,19758,85
32,125,1000,0.7,200,5,308,4,20195,139
33,125,1000,0.7,1200,5,308,12,19738,771
34,125,1000,0.7,400,3,312,5,19758,85
35,125,1000,0.7,200,3,312,4,20195,139
36,125,1000,0.7,1200,3,312,12,19738,771
37,125,1000,0.7,400,1,316,5,19758,85
38,125,1000,0.7,200,1,316,4,20195,139
39,125,1000,0.7,1200,1,316,12,19738,771
40,125,1000,0.7,800,5,324,6,19874,278
41,125,1000,0.7,800,3,328,6,19874,278
42,125,1000,0.7,800,1,332,6,19874,278
43,125,1000,0.7,800,5,346,9,20515,759
44,125,1000,0.7,800,3,350,9,20515,759
45,125,1000,0.7,800,1,354,9,20515,759
46,125,1000,0.7,1200,5,360,10,20353,677
47,125,1000,0.7,400,5,361,7,19842,52
48,125,1000,0.7,1200,3,364,10,20353,677
49,125,1000,0.7,400,3,365,7,19842,52
50,125,1000,0.7,1200,1,368,10,20353,677
51,125,1000,0.7,400,1,369,7,19842,52
52,125,1000,0.7,400,5,370,5,19836,212
53,125,1000,0.7,400,3,374,5,19836,212
54,125,1000,0.7,400,5,376,5,20150,257
55,125,1000,0.7,400,5,377,4,20177,318
56,125,1000,0.7,400,3,378,5,20150,257
57,125,1000,0.7,400,1,378,5,19836,212
58,125,1000,0.7,400,1,380,5,20150,257
59,125,1000,0.7,400,3,381,4,20177,318
60,125,1000,0.7,400,1,385,4,20177,318
61,125,1000,0.7,800,5,389,7,19981,35
62,125,1000,0.7,800,3,393,7,19981,35
63,125,1000,0.7,1200,5,394,9,19287,540
64,125,1000,0.7,1200,3,396,10,19287,540
65,125,1000,0.7,800,1,397,7,19981,35
66,125,1000,0.7,1200,1,398,10,19287,540
67,125,1000,0.7,1200,5,419,14,20572,657
68,125,1000,0.7,1200,3,423,14,20572,657
69,125,1000,0.7,1200,1,427,14,20572,657
70,125,1000,0.7,1200,5,430,11,20801,1117
71,125,1000,0.7,1200,3,432,11,20801,1117
72,125,1000,0.7,1200,1,434,11,20801,1117
73,125,1000,0.7,800,5,439,6,19930,333
74,125,1000,0.7,800,5,441,6,19722,416
75,125,1000,0.7,800,3,443,6,19930,333
76,125,1000,0.7,800,3,445,6,19722,416
77,125,1000,0.7,800,1,449,6,19722,416
78,125,1000,0.7,800,5,504,6,20348,290
79,125,1000,0.7,800,3,508,6,20348,290
80,125,1000,0.7,800,1,512,6,20348,290
81,125,1000,0.7,200,5,531,3,19862,98
82,125,1000,0.7,200,3,535,3,19862,98
83,125,1000,0.7,200,1,539,3,19862,98
84,125,1000,0.7,400,5,557,4,20169,229
85,125,1000,0.7,800,5,561,11,19542,471
86,125,1000,0.7,400,3,561,4,20169,229
87,125,1000,0.7,800,3,562,11,19542,471
88,125,1000,0.7,400,1,565,5,20169,229
89,125,1000,0.7,800,1,566,11,19542,471
90,125,1000,0.7,1200,5,579,11,20652,639
91,125,1000,0.7,1200,3,583,11,20652,639
92,125,1000,0.7,1200,1,587,11,20652,639
93,125,1000,0.7,1200,5,591,12,20074,506
94,125,1000,0.7,1200,3,595,12,20074,506
95,125,1000,0.7,400,5,596,5,20433,325
96,125,1000,0.7,1200,1,599,12,20074,506
97,125,1000,0.7,400,3,600,5,20433,325
98,125,1000,0.7,400,1,604,5,20433,325
99,125,1000,0.7,800,5,616,8,20152,655
100,125,1000,0.7,800,3,620,8,20152,655
101,125,1000,0.7,800,1,621,6,19930,333
102,125,1000,0.7,800,1,624,8,20152,655
