,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,1000,0,1200,5,78,15,21214,856
1,125,1000,0,1200,3,80,15,21214,856
2,125,1000,0,1200,1,82,15,21214,856
3,125,1000,0,1200,5,124,14,19253,421
4,125,1000,0,1200,3,127,14,19253,421
5,125,1000,0,200,5,128,2,20382,126
6,125,1000,0,1200,1,131,14,19253,421
7,125,1000,0,800,5,131,9,19468,52
8,125,1000,0,200,3,132,2,20382,126
9,125,1000,0,800,3,135,8,19468,52
10,125,1000,0,200,1,136,3,20382,126
11,125,1000,0,800,1,139,8,19468,52
12,125,1000,0,1200,5,142,14,20737,916
13,125,1000,0,1200,3,146,14,20737,916
14,125,1000,0,1200,1,150,13,20737,916
15,125,1000,0,1200,5,185,11,20371,545
16,125,1000,0,1200,5,187,16,19746,63
17,125,1000,0,1200,3,189,11,20371,545
18,125,1000,0,1200,3,191,16,19746,63
19,125,1000,0,800,5,191,8,20492,496
20,125,1000,0,1200,1,193,11,20371,545
21,125,1000,0,1200,1,195,16,19746,63
22,125,1000,0,800,3,195,8,20492,496
23,125,1000,0,800,1,199,8,20492,496
24,125,1000,0,200,5,222,6,19992,125
25,125,1000,0,1200,5,228,16,20812,1008
26,125,1000,0,200,3,247,5,19992,125
27,125,1000,0,200,1,251,5,19992,125
28,125,1000,0,800,1,253,12,19752,126
29,125,1000,0,800,3,253,12,19752,126
30,125,1000,0,800,5,253,12,19752,126
31,125,1000,0,800,5,324,12,20170,589
32,125,1000,0,800,3,328,11,20170,589
33,125,1000,0,400,5,330,7,19459,43
34,125,1000,0,800,1,332,11,20170,589
35,125,1000,0,400,3,334,7,19459,43
36,125,1000,0,400,1,338,8,19459,43
37,125,1000,0,200,5,340,3,20443,72
38,125,1000,0,200,3,344,3,20443,72
39,125,1000,0,200,5,345,5,19750,119
40,125,1000,0,200,1,348,3,20443,72
41,125,1000,0,200,3,349,5,19750,119
42,125,1000,0,200,1,353,5,19750,119
43,125,1000,0,200,5,377,4,20275,198
44,125,1000,0,800,5,378,11,19894,217
45,125,1000,0,200,3,381,4,20275,198
46,125,1000,0,800,3,382,11,19894,217
47,125,1000,0,200,5,384,1,19297,189
48,125,1000,0,200,1,385,4,20275,198
49,125,1000,0,800,1,386,11,19894,217
50,125,1000,0,200,3,388,2,19297,189
51,125,1000,0,800,5,390,9,20244,411
52,125,1000,0,200,1,392,2,19297,189
53,125,1000,0,800,3,394,9,20244,411
54,125,1000,0,800,5,395,11,19447,80
55,125,1000,0,800,1,398,9,20244,411
56,125,1000,0,800,3,399,11,19447,80
57,125,1000,0,200,5,400,5,20166,13
58,125,1000,0,800,1,403,11,19447,80
59,125,1000,0,200,3,404,5,20166,13
60,125,1000,0,200,1,408,5,20166,13
61,125,1000,0,800,5,430,7,19771,271
62,125,1000,0,800,3,434,7,19771,271
63,125,1000,0,800,1,438,6,19771,271
64,125,1000,0,400,5,460,6,19320,282
65,125,1000,0,200,5,462,8,19319,176
66,125,1000,0,400,3,464,6,19320,282
67,125,1000,0,800,5,466,8,19371,210
68,125,1000,0,200,3,466,8,19319,176
69,125,1000,0,400,1,468,6,19320,282
70,125,1000,0,800,3,470,8,19371,210
71,125,1000,0,200,1,470,8,19319,176
72,125,1000,0,200,5,472,4,19695,49
73,125,1000,0,800,1,474,8,19371,210
74,125,1000,0,200,3,476,4,19695,49
75,125,1000,0,200,1,480,4,19695,49
76,125,1000,0,800,5,481,10,19499,238
77,125,1000,0,1200,5,485,12,21944,839
78,125,1000,0,400,5,485,7,19615,332
79,125,1000,0,800,3,485,10,19499,238
80,125,1000,0,1200,3,489,12,21944,839
81,125,1000,0,400,3,489,7,19615,332
82,125,1000,0,800,1,489,10,19499,238
83,125,1000,0,1200,1,493,12,21944,839
84,125,1000,0,1200,5,494,14,20231,1177
85,125,1000,0,1200,3,498,14,20231,1177
86,125,1000,0,1200,1,502,14,20231,1177
87,125,1000,0,1200,5,505,15,20942,931
88,125,1000,0,1200,3,509,15,20942,931
89,125,1000,0,1200,5,510,18,20926,1019
90,125,1000,0,1200,3,513,18,20926,1019
91,125,1000,0,1200,1,517,18,20926,1019
92,125,1000,0,1200,5,521,15,20208,1173
93,125,1000,0,400,5,522,10,19209,302
94,125,1000,0,400,3,524,10,19209,302
95,125,1000,0,1200,3,525,15,20208,1173
96,125,1000,0,400,1,526,10,19209,302
97,125,1000,0,1200,5,529,12,20882,1058
98,125,1000,0,1200,1,529,16,20208,1173
99,125,1000,0,1200,3,533,13,20882,1058
100,125,1000,0,200,5,537,7,20547,113
101,125,1000,0,1200,1,537,13,20882,1058
102,125,1000,0,200,3,539,7,20547,113
103,125,1000,0,200,1,541,7,20547,113
104,125,1000,0,1200,5,555,9,19325,350
105,125,1000,0,1200,3,559,9,19325,350
106,125,1000,0,1200,5,562,11,20307,710
107,125,1000,0,1200,1,563,9,19325,350
108,125,1000,0,200,5,565,5,19991,36
109,125,1000,0,1200,3,566,10,20307,710
110,125,1000,0,200,3,569,5,19991,36
111,125,1000,0,1200,1,570,10,20307,710
112,125,1000,0,400,5,571,4,20317,217
113,125,1000,0,200,1,573,5,19991,36
114,125,1000,0,400,3,575,4,20317,217
115,125,1000,0,1200,5,575,10,20521,909
116,125,1000,0,400,1,579,4,20317,217
117,125,1000,0,1200,3,579,10,20521,909
118,125,1000,0,800,5,581,10,19873,273
119,125,1000,0,1200,1,583,10,20521,909
120,125,1000,0,800,3,585,10,19873,273
121,125,1000,0,1200,5,587,10,19441,564
122,125,1000,0,800,1,589,10,19873,273
123,125,1000,0,1200,3,591,9,19441,564
124,125,1000,0,400,5,593,7,19827,125
125,125,1000,0,1200,1,595,9,19441,564
126,125,1000,0,800,5,596,11,20231,659
127,125,1000,0,400,3,597,7,19827,125
128,125,1000,0,800,3,600,12,20231,659
129,125,1000,0,400,1,601,7,19827,125
130,125,1000,0,800,1,604,12,20231,659
131,125,1000,0,400,5,605,7,20191,150
132,125,1000,0,800,5,609,11,19938,650
133,125,1000,0,400,3,609,7,20191,150
134,125,1000,0,800,3,613,11,19938,650
135,125,1000,0,400,1,613,7,20191,150
136,125,1000,0,800,1,617,11,19938,650
137,125,1000,0,200,5,629,3,20138,139
138,125,1000,0,200,3,633,3,20138,139
139,125,1000,0,200,1,637,3,20138,139
140,125,1000,0,800,5,638,13,20577,697
141,125,1000,0,200,5,638,3,20362,12
142,125,1000,0,800,3,640,13,20577,697
143,125,1000,0,200,5,642,3,20162,90
144,125,1000,0,800,1,642,13,20577,697
145,125,1000,0,1200,5,644,14,21283,1127
146,125,1000,0,1200,5,644,14,20410,794
147,125,1000,0,200,3,646,3,20162,90
148,125,1000,0,1200,3,648,14,21283,1127
149,125,1000,0,1200,3,648,14,20410,794
150,125,1000,0,200,1,650,3,20162,90
151,125,1000,0,1200,1,652,15,21283,1127
152,125,1000,0,1200,1,652,14,20410,794
153,125,1000,0,1200,5,666,12,19994,373
154,125,1000,0,1200,3,670,12,19994,373
155,125,1000,0,1200,1,674,12,19994,373
156,125,1000,0,1200,5,676,11,20038,181
157,125,1000,0,1200,3,680,10,20038,181
158,125,1000,0,1200,1,684,10,20038,181
159,125,1000,0,400,5,749,8,19261,13
160,125,1000,0,200,5,749,5,19685,183
161,125,1000,0,400,3,751,8,19261,13
162,125,1000,0,200,3,751,5,19685,183
163,125,1000,0,400,1,753,8,19261,13
164,125,1000,0,200,1,753,5,19685,183
165,125,1000,0,800,5,774,8,20194,208
166,125,1000,0,800,3,778,8,20194,208
167,125,1000,0,800,1,782,8,20194,208
168,125,1000,0,1200,5,873,15,20660,622
169,125,1000,0,1200,3,877,14,20660,622
170,125,1000,0,1200,1,881,14,20660,622
171,125,1000,0,1200,5,895,16,20654,1095
172,125,1000,0,1200,3,899,16,20654,1095
173,125,1000,0,200,5,903,5,19544,117
174,125,1000,0,1200,1,903,16,20654,1095
175,125,1000,0,200,3,907,5,19544,117
176,125,1000,0,200,1,911,5,19544,117
177,125,1000,0,1200,5,929,15,20039,674
178,125,1000,0,1200,3,933,15,20039,674
179,125,1000,0,1200,1,937,15,20039,674
180,125,1000,0,800,5,941,8,19828,9
181,125,1000,0,800,3,943,8,19828,9
182,125,1000,0,800,1,945,8,19828,9
183,125,1000,0,200,5,1026,3,20527,127
184,125,1000,0,200,3,1030,3,20527,127
185,125,1000,0,200,1,1034,3,20527,127
186,125,1000,0,1200,5,1042,12,20597,716
187,125,1000,0,1200,3,1046,12,20597,716
188,125,1000,0,1200,1,1050,12,20597,716
189,125,1000,0,200,5,1074,3,19756,29
190,125,1000,0,200,3,1078,3,19756,29
191,125,1000,0,200,1,1082,4,19756,29
192,125,1000,0,800,5,1104,12,20641,650
193,125,1000,0,800,3,1108,12,20641,650
194,125,1000,0,800,1,1112,12,20641,650
195,125,1000,0,1200,5,1220,12,19809,699
196,125,1000,0,1200,3,1224,12,19809,699
197,125,1000,0,1200,1,1228,12,19809,699
198,125,1000,0,400,5,1461,5,19393,277
199,125,1000,0,400,3,1464,5,19393,277
200,125,1000,0,400,1,1468,5,19393,277
201,125,1000,0,1200,5,1480,9,20589,1117
202,125,1000,0,1200,3,1484,9,20589,1117
203,125,1000,0,1200,1,1488,9,20589,1117
204,125,1000,0,400,5,1498,5,19964,33
205,125,1000,0,400,3,1502,5,19964,33
206,125,1000,0,400,1,1506,5,19964,33
207,125,1000,0,800,5,1603,10,19792,278
208,125,1000,0,800,3,1607,10,19792,278
209,125,1000,0,800,1,1611,10,19792,278
210,125,1000,0,1200,5,1617,15,20690,892
211,125,1000,0,200,5,1620,4,20236,37
212,125,1000,0,1200,3,1621,15,20690,892
213,125,1000,0,200,3,1624,4,20236,37
214,125,1000,0,1200,1,1625,15,20690,892
215,125,1000,0,200,1,1628,4,20236,37
216,125,1000,0,800,5,1938,11,20110,542
217,125,1000,0,800,3,1942,11,20110,542
218,125,1000,0,800,1,1946,11,20110,542
