,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,1000,0.7,800,5,29,10,20070,461
1,125,1000,0.7,800,3,33,10,20070,461
2,125,1000,0.7,800,1,37,10,20070,461
3,125,1000,0.7,1200,5,75,10,19557,617
4,125,1000,0.7,800,5,75,12,19463,16
5,125,1000,0.7,1200,3,79,10,19557,617
6,125,1000,0.7,800,3,79,12,19463,16
7,125,1000,0.7,1200,1,83,10,19557,617
8,125,1000,0.7,800,1,83,12,19463,16
9,125,1000,0.7,200,5,85,5,20545,169
10,125,1000,0.7,200,3,89,5,20545,169
11,125,1000,0.7,200,1,93,5,20545,169
12,125,1000,0.7,400,5,115,6,19851,303
13,125,1000,0.7,400,3,119,6,19851,303
14,125,1000,0.7,400,1,123,6,19851,303
15,125,1000,0.7,1200,5,123,10,20613,939
16,125,1000,0.7,1200,3,127,10,20613,939
17,125,1000,0.7,1200,1,131,10,20613,939
18,125,1000,0.7,1200,5,135,11,20211,713
19,125,1000,0.7,1200,3,139,10,20211,713
20,125,1000,0.7,1200,1,143,10,20211,713
21,125,1000,0.7,800,5,195,10,20738,725
22,125,1000,0.7,800,3,199,10,20738,725
23,125,1000,0.7,800,1,203,10,20738,725
24,125,1000,0.7,800,5,229,8,20295,647
25,125,1000,0.7,1200,5,230,9,21041,1073
26,125,1000,0.7,800,3,233,7,20295,647
27,125,1000,0.7,1200,3,234,9,21041,1073
28,125,1000,0.7,1200,5,235,7,19065,47
29,125,1000,0.7,800,1,237,7,20295,647
30,125,1000,0.7,1200,3,239,7,19065,47
31,125,1000,0.7,400,5,241,3,20099,302
32,125,1000,0.7,1200,5,241,15,19105,188
33,125,1000,0.7,1200,1,243,7,19065,47
34,125,1000,0.7,400,3,245,3,20099,302
35,125,1000,0.7,1200,3,245,15,19105,188
36,125,1000,0.7,400,1,249,3,20099,302
37,125,1000,0.7,1200,1,249,15,19105,188
38,125,1000,0.7,400,5,256,8,19897,252
39,125,1000,0.7,400,3,260,9,19897,252
40,125,1000,0.7,1200,5,264,13,20686,1087
41,125,1000,0.7,400,1,264,9,19897,252
42,125,1000,0.7,800,5,267,6,19942,664
43,125,1000,0.7,1200,3,268,13,20686,1087
44,125,1000,0.7,800,3,271,6,19942,664
45,125,1000,0.7,1200,1,272,13,20686,1087
46,125,1000,0.7,800,1,275,6,19942,664
47,125,1000,0.7,1200,1,283,9,21041,1073
48,125,1000,0.7,1200,5,286,13,19299,296
49,125,1000,0.7,1200,3,290,13,19299,296
50,125,1000,0.7,1200,1,294,13,19299,296
51,125,1000,0.7,200,5,317,3,20487,31
52,125,1000,0.7,200,3,319,3,20487,31
53,125,1000,0.7,200,1,321,3,20487,31
54,125,1000,0.7,1200,5,325,10,20008,82
55,125,1000,0.7,1200,3,329,10,20008,82
56,125,1000,0.7,1200,1,333,10,20008,82
57,125,1000,0.7,800,5,341,6,20304,633
58,125,1000,0.7,1200,5,347,9,20880,1074
59,125,1000,0.7,1200,3,351,9,20880,1074
60,125,1000,0.7,1200,5,355,9,19964,714
61,125,1000,0.7,1200,1,355,9,20880,1074
62,125,1000,0.7,1200,3,359,9,19964,714
63,125,1000,0.7,1200,1,363,9,19964,714
64,125,1000,0.7,1200,5,371,9,20515,722
65,125,1000,0.7,1200,3,375,9,20515,722
66,125,1000,0.7,1200,1,379,9,20515,722
67,125,1000,0.7,1200,5,399,11,21894,892
68,125,1000,0.7,1200,3,403,11,21894,892
69,125,1000,0.7,1200,1,407,11,21894,892
70,125,1000,0.7,800,5,417,11,19418,19
71,125,1000,0.7,800,3,420,11,19418,19
72,125,1000,0.7,800,1,424,10,19418,19
73,125,1000,0.7,400,5,456,4,20131,350
74,125,1000,0.7,400,3,460,4,20131,350
75,125,1000,0.7,400,1,464,4,20131,350
76,125,1000,0.7,400,5,467,5,20250,230
77,125,1000,0.7,800,5,467,6,20149,409
78,125,1000,0.7,400,3,471,5,20250,230
79,125,1000,0.7,800,3,471,5,20149,409
80,125,1000,0.7,400,1,475,5,20250,230
81,125,1000,0.7,800,1,475,5,20149,409
82,125,1000,0.7,400,5,489,5,20227,232
83,125,1000,0.7,400,3,493,5,20227,232
84,125,1000,0.7,400,1,497,5,20227,232
85,125,1000,0.7,1200,5,529,15,19669,518
