,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,125,1000,0,1200,5,99,16,20626,995
1,125,1000,0,800,5,99,10,19811,288
2,125,1000,0,1200,3,103,16,20626,995
3,125,1000,0,800,3,103,10,19811,288
4,125,1000,0,1200,1,107,17,20626,995
5,125,1000,0,800,1,107,10,19811,288
6,125,1000,0,1200,5,142,14,21041,1073
7,125,1000,0,1200,3,146,14,21041,1073
8,125,1000,0,1200,5,147,13,20212,547
9,125,1000,0,1200,1,150,14,21041,1073
10,125,1000,0,200,5,150,4,19641,59
11,125,1000,0,1200,3,151,12,20212,547
12,125,1000,0,200,3,154,4,19641,59
13,125,1000,0,1200,1,155,12,20212,547
14,125,1000,0,200,1,158,4,19641,59
15,125,1000,0,1200,5,159,12,19777,480
16,125,1000,0,800,5,162,11,19892,679
17,125,1000,0,1200,3,163,12,19777,480
18,125,1000,0,800,3,166,11,19892,679
19,125,1000,0,1200,1,167,12,19777,480
20,125,1000,0,800,1,170,12,19892,679
21,125,1000,0,800,5,200,8,19390,179
22,125,1000,0,800,3,204,8,19390,179
23,125,1000,0,800,1,208,7,19390,179
24,125,1000,0,800,5,209,8,19974,491
25,125,1000,0,800,3,213,8,19974,491
26,125,1000,0,800,1,217,8,19974,491
27,125,1000,0,200,5,226,3,19862,131
28,125,1000,0,800,5,228,8,20295,647
29,125,1000,0,200,3,230,3,19862,131
30,125,1000,0,800,3,230,8,20295,647
31,125,1000,0,200,1,234,3,19862,131
32,125,1000,0,800,1,234,8,20295,647
33,125,1000,0,1200,5,242,9,20008,82
34,125,1000,0,1200,3,246,9,20008,82
35,125,1000,0,1200,1,250,9,20008,82
36,125,1000,0,800,5,259,7,20430,766
37,125,1000,0,800,3,261,7,20430,766
38,125,1000,0,800,1,263,7,20430,766
39,125,1000,0,800,5,266,11,19942,664
40,125,1000,0,800,3,270,10,19942,664
41,125,1000,0,800,5,270,13,19878,38
42,125,1000,0,400,5,273,5,19610,76
43,125,1000,0,800,1,274,10,19942,664
44,125,1000,0,800,3,274,13,19878,38
45,125,1000,0,400,3,275,5,19610,76
46,125,1000,0,800,1,278,13,19878,38
47,125,1000,0,400,1,279,5,19610,76
48,125,1000,0,1200,5,283,7,19669,518
49,125,1000,0,1200,3,287,7,19669,518
50,125,1000,0,400,5,289,7,20081,214
51,125,1000,0,1200,5,290,8,20613,939
52,125,1000,0,400,3,293,6,20081,214
53,125,1000,0,1200,3,294,9,20613,939
54,125,1000,0,1200,1,295,9,20613,939
55,125,1000,0,400,1,297,6,20081,214
56,125,1000,0,800,5,305,11,19959,396
57,125,1000,0,800,3,309,11,19959,396
58,125,1000,0,800,1,313,11,19959,396
59,125,1000,0,1200,5,334,10,21690,935
60,125,1000,0,200,5,336,2,20124,36
61,125,1000,0,1200,3,338,10,21690,935
62,125,1000,0,200,3,340,2,20124,36
63,125,1000,0,1200,1,342,10,21690,935
64,125,1000,0,200,1,344,2,20124,36
65,125,1000,0,800,5,355,9,20634,775
66,125,1000,0,800,5,357,10,19799,35
67,125,1000,0,800,3,359,9,20634,775
68,125,1000,0,800,3,361,10,19799,35
69,125,1000,0,200,5,363,3,19858,156
70,125,1000,0,800,1,365,10,19799,35
71,125,1000,0,200,3,367,3,19858,156
72,125,1000,0,200,1,371,3,19858,156
73,125,1000,0,800,1,374,9,20634,775
74,125,1000,0,1200,5,378,11,19867,97
75,125,1000,0,1200,3,382,11,19867,97
76,125,1000,0,1200,1,386,11,19867,97
77,125,1000,0,200,5,404,2,19846,91
78,125,1000,0,200,3,408,2,19846,91
79,125,1000,0,200,1,412,2,19846,91
80,125,1000,0,400,3,412,4,20184,192
81,125,1000,0,400,5,412,4,20184,192
82,125,1000,0,400,1,413,4,20184,192
83,125,1000,0,400,5,434,7,20021,345
84,125,1000,0,400,3,438,7,20021,345
85,125,1000,0,400,1,442,7,20021,345
86,125,1000,0,200,5,443,4,20163,174
87,125,1000,0,200,3,447,4,20163,174
88,125,1000,0,200,1,451,4,20163,174
89,125,1000,0,1200,5,465,10,21431,824
90,125,1000,0,800,5,467,9,20149,409
91,125,1000,0,1200,3,469,10,21431,824
92,125,1000,0,800,3,471,9,20149,409
93,125,1000,0,1200,1,473,10,21431,824
94,125,1000,0,800,1,475,9,20149,409
95,125,1000,0,400,5,478,3,20457,172
96,125,1000,0,400,5,480,4,19971,236
97,125,1000,0,400,3,482,3,20457,172
98,125,1000,0,400,3,484,4,19971,236
99,125,1000,0,400,1,486,3,20457,172
100,125,1000,0,400,1,488,4,19971,236
101,125,1000,0,200,5,499,3,20455,38
102,125,1000,0,200,5,499,9,20487,31
103,125,1000,0,200,3,503,3,20455,38
104,125,1000,0,200,3,503,8,20487,31
105,125,1000,0,200,1,507,3,20455,38
106,125,1000,0,1200,5,511,9,20804,912
107,125,1000,0,1200,3,513,9,20804,912
108,125,1000,0,1200,1,517,11,20804,912
109,125,1000,0,200,1,521,7,20487,31
110,125,1000,0,400,5,575,6,19610,175
111,125,1000,0,400,3,579,6,19610,175
112,125,1000,0,400,1,583,6,19610,175
113,125,1000,0,400,5,604,9,19964,77
114,125,1000,0,400,3,605,9,19964,77
115,125,1000,0,400,1,607,9,19964,77
116,125,1000,0,800,5,633,11,20070,461
117,125,1000,0,400,5,633,4,19798,57
118,125,1000,0,800,3,637,11,20070,461
119,125,1000,0,400,3,637,4,19798,57
120,125,1000,0,400,5,640,6,19973,87
121,125,1000,0,800,1,641,10,20070,461
122,125,1000,0,400,1,641,4,19798,57
123,125,1000,0,400,3,644,6,19973,87
124,125,1000,0,400,1,648,6,19973,87
125,125,1000,0,1200,5,670,15,20104,259
126,125,1000,0,1200,5,671,6,19529,162
127,125,1000,0,1200,3,674,6,19529,162
128,125,1000,0,1200,3,674,15,20104,259
129,125,1000,0,1200,1,678,6,19529,162
130,125,1000,0,1200,1,678,15,20104,259
131,125,1000,0,1200,5,685,10,20803,982
132,125,1000,0,1200,3,689,10,20803,982
133,125,1000,0,1200,1,693,10,20803,982
134,125,1000,0,1200,5,721,12,19974,758
135,125,1000,0,1200,3,725,12,19974,758
136,125,1000,0,1200,1,729,12,19974,758
137,125,1000,0,1200,5,751,11,19686,218
138,125,1000,0,1200,3,755,10,19686,218
139,125,1000,0,1200,1,759,10,19686,218
140,125,1000,0,1200,5,767,8,21176,952
141,125,1000,0,1200,3,771,8,21176,952
142,125,1000,0,1200,1,775,8,21176,952
143,125,1000,0,200,5,810,4,19952,168
144,125,1000,0,200,3,814,4,19952,168
145,125,1000,0,200,1,818,4,19952,168
146,125,1000,0,800,5,843,8,19953,289
147,125,1000,0,800,3,847,7,19953,289
148,125,1000,0,400,5,851,2,20232,279
149,125,1000,0,800,1,851,7,19953,289
150,125,1000,0,400,3,855,2,20232,279
151,125,1000,0,400,5,855,7,19721,139
152,125,1000,0,400,1,859,2,20232,279
153,125,1000,0,400,3,859,7,19721,139
154,125,1000,0,400,1,863,7,19721,139
155,125,1000,0,1200,5,877,13,21263,1104
156,125,1000,0,1200,3,881,13,21263,1104
157,125,1000,0,1200,1,885,13,21263,1104
158,125,1000,0,800,5,895,11,19724,351
159,125,1000,0,800,3,899,11,19724,351
160,125,1000,0,800,1,903,12,19724,351
161,125,1000,0,800,5,910,12,20045,630
162,125,1000,0,400,5,911,6,19141,188
163,125,1000,0,800,3,914,11,20045,630
164,125,1000,0,400,3,915,6,19141,188
165,125,1000,0,800,1,918,11,20045,630
166,125,1000,0,400,1,919,6,19141,188
167,125,1000,0,400,5,972,2,19786,134
168,125,1000,0,400,3,976,2,19786,134
169,125,1000,0,400,1,980,2,19786,134
170,125,1000,0,200,5,1025,4,20296,76
171,125,1000,0,200,3,1029,4,20296,76
172,125,1000,0,200,1,1033,4,20296,76
173,125,1000,0,1200,5,1056,12,21336,1167
174,125,1000,0,1200,3,1060,12,21336,1167
175,125,1000,0,1200,1,1064,12,21336,1167
176,125,1000,0,1200,5,1098,18,19079,123
177,125,1000,0,200,5,1100,5,19960,180
178,125,1000,0,1200,3,1102,17,19079,123
179,125,1000,0,200,3,1104,5,19960,180
180,125,1000,0,1200,1,1106,16,19079,123
181,125,1000,0,200,1,1108,5,19960,180
182,125,1000,0,800,5,1183,8,20042,126
183,125,1000,0,800,3,1187,8,20042,126
184,125,1000,0,800,1,1191,8,20042,126
185,125,1000,0,200,5,1193,4,19690,133
186,125,1000,0,200,3,1197,4,19690,133
187,125,1000,0,200,3,1199,5,20298,126
188,125,1000,0,200,5,1199,5,20298,126
189,125,1000,0,800,5,1200,10,20304,633
190,125,1000,0,200,1,1201,4,19690,133
191,125,1000,0,200,1,1201,5,20298,126
192,125,1000,0,800,3,1204,11,20304,633
193,125,1000,0,800,1,1208,11,20304,633
194,125,1000,0,1200,5,1302,15,20732,1085
195,125,1000,0,1200,3,1304,15,20732,1085
196,125,1000,0,1200,1,1307,15,20732,1085
197,125,1000,0,200,5,1433,3,19951,97
198,125,1000,0,200,3,1437,3,19951,97
199,125,1000,0,200,1,1441,3,19951,97
200,125,1000,0,800,5,1647,14,19703,423
201,125,1000,0,800,3,1651,14,19703,423
202,125,1000,0,800,1,1655,13,19703,423
203,125,1000,0,400,5,2605,9,20174,224
204,125,1000,0,400,3,2609,9,20174,224
205,125,1000,0,400,1,2613,9,20174,224
